sequence,answer_cause,answer_effect,switched
The floor was wet. The man sued.,The floor was wet.,The man sued.,False
The man sued. The floor was wet.,The floor was wet.,The man sued.,True
It rained. The picnic was cancelled.,It rained.,The picnic was cancelled.,False
The picnic was cancelled. It rained.,It rained.,The picnic was cancelled.,True
The girl didn't wear her sweater. The girl caught a cold.,The girl didn't wear her sweater.,The girl caught a cold.,False
The girl caught a cold. The girl didn't wear her sweater.,The girl didn't wear her sweater.,The girl caught a cold.,True
The man got lost in the woods. A search party was assembled.,The man got lost in the woods.,A search party was assembled.,False
A search party was assembled. The man got lost in the woods.,The man got lost in the woods.,A search party was assembled.,True
Ted went out drinking. Ted had a hangover.,Ted went out drinking.,Ted had a hangover.,False
Ted had a hangover. Ted went out drinking.,Ted went out drinking.,Ted had a hangover.,True
Alice ate the last cookie. Bob opened the jar and was frustrated.,Alice ate the last cookie.,Bob opened the jar and was frustrated.,False
Bob opened the jar and was frustrated. Alice ate the last cookie.,Alice ate the last cookie.,Bob opened the jar and was frustrated.,True
Jimmy took the last piece of cake. Mom rinsed the tray.,Jimmy took the last piece of cake.,Mom rinsed the tray.,False
Mom rinsed the tray. Jimmy took the last piece of cake.,Jimmy took the last piece of cake.,Mom rinsed the tray.,True
