,sequence,answer_cause,answer_effect,switched,responses_cause,responses_effect
27,Sunlight filled the room. The curtains were opened.,The curtains were opened.,Sunlight filled the room.,True,"

The sunlight caused the curtains to be opened.","

The sunlight filled the room.

The curtains were opened."
28,The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers.,Tomatoes grew on the vine.,False,"

The insect pollinated the tomato flowers.","

The insect pollinated the tomato flowers.

The effect of the other sentence is that"
29,Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers.,Tomatoes grew on the vine.,True,"

The insect pollinated the tomato flowers.","

The insect pollinated the tomato flowers."
30,The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street.,The driver hit the brakes.,False,"

The girl stepped onto the street.

The driver hit the brakes.","

The driver hit the brakes.

The girl stepped onto the street."
31,The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street.,The driver hit the brakes.,True,"

The girl stepped onto the street.","

The driver hit the brakes.

The girl stepped onto the street."
32,There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction.,The performer ran off the stage.,False,"

The performer ran off the stage.

There was a wardrobe malfunction.","

The performer ran off the stage.

The performer's clothing came off."
33,The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction.,The performer ran off the stage.,True,"

The sentence ""Which sentence caused the other?"" caused the other sentence.","

The performer ran off the stage.

The performer's clothing came off."
34,"A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light.",A bird hit the engine.,"The pilot turned on the ""fasten seatbelts"" light.",False,"

The bird hit the engine.

The pilot turned on the ""fasten seatbel","

The pilot turned on the ""fasten seatbelts"" light because a bird hit the"
35,"The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.",A bird hit the engine.,"The pilot turned on the ""fasten seatbelts"" light.",True,"

The bird hit the engine.","

The bird hitting the engine turned on the ""fasten seatbelts"" light."
36,The milk was left outside the fridge over night. The man sipped the milk and spit it out.,The milk was left outside the fridge over night.,The man sipped the milk and spit it out.,False,"

The milk was left outside the fridge over night.

The milk was left outside the","

The milk was left outside the fridge over night.

The milk was left outside the"
37,The man sipped the milk and spit it out. The milk was left outside the fridge over night.,The milk was left outside the fridge over night.,The man sipped the milk and spit it out.,True,"

The milk was left outside the fridge over night.","

The man's reaction to the milk is the effect of it being left outside the fridge over"
38,The man couldn't hear what the woman was saying. The man turned down the music volume.,The man couldn't hear what the woman was saying.,The man turned down the music volume.,False,"

The sentence ""The man turned down the music volume."" caused the other.","

The man turned down the music volume because he couldn't hear what the woman was saying."
39,The man turned down the music volume. The man couldn't hear what the woman was saying.,The man couldn't hear what the woman was saying.,The man turned down the music volume.,True,"

The man turned down the music volume.","

The man turned down the music volume, so the man could hear what the woman was saying"
40,The power was out for days. The meat spoiled.,The power was out for days.,The meat spoiled.,False,"

The meat spoiled because the power was out for days.","

The meat spoiled because the power was out for days."
41,The meat spoiled. The power was out for days.,The power was out for days.,The meat spoiled.,True,"

The meat spoiled.

The power was out for days.","

The meat spoiled because the power was out for days."
42,The gardener planted a seed. A flower grew.,The gardener planted a seed.,A flower grew.,False,"

The seed caused the flower to grow.","

The seed was planted by the gardener."
43,A flower grew. The gardener planted a seed.,The gardener planted a seed.,A flower grew.,True,"

The gardener planted a seed. A flower grew.","

A flower grew.

The gardener planted a seed."
44,The team won the game. The team won the championship.,The team won the game.,The team won the championship.,False,"

The team won the championship.","

The team won the championship."
45,The team won the championship. The team won the game.,The team won the game.,The team won the championship.,True,"

The sentence ""The team won the game."" caused the other.","

The team won the game."
46,The door was locked. The man climbed in through the window.,The door was locked.,The man climbed in through the window.,False,"

The man climbed in through the window.","

The man climbed in through the window.

The door was locked."
47,The man climbed in through the window. The door was locked.,The door was locked.,The man climbed in through the window.,True,"

The man climbed in through the window.

The door was locked.","

The man climbed in through the window.

The man's entry into the room through"
48,The wind blew strong. The ship capsized.,The wind blew strong.,The ship capsized.,False,"

The wind blew strong.

The ship capsized.","

The wind blew strong.

The ship capsized."
49,The ship capsized. The wind blew strong.,The wind blew strong.,The ship capsized.,True,"

The ship capsized because of the strong wind.","

The wind blew strong.

The ship capsized."
50,The man robbed a gas station. The man went to jail.,The man robbed a gas station.,The man went to jail.,False,"

The man robbed a gas station.

The man went to jail.","

The man robbed a gas station, so he went to jail."
51,The man went to jail. The man robbed a gas station.,The man robbed a gas station.,The man went to jail.,True,"

The man went to jail.

The man robbed a gas station.","

The man went to jail.

The man robbed a gas station."
52,Jill won the lawsuit against Acme. Acme paid Jill's legal fees.,Jill won the lawsuit against Acme.,Acme paid Jill's legal fees.,False,"

The sentence ""Acme paid Jill's legal fees"" caused the other.","

The effect of the other sentence is that Acme paid Jill's legal fees."
53,Acme paid Jill's legal fees. Jill won the lawsuit against Acme.,Jill won the lawsuit against Acme.,Acme paid Jill's legal fees.,True,"

The sentence ""Acme paid Jill's legal fees"" caused the other sentence.","

The effect of the other sentence is that Acme paid Jill's legal fees."
54,There was a snowstorm. School was cancelled.,There was a snowstorm.,School was cancelled.,False,"

The sentence ""School was cancelled."" caused the other sentence.","

The sentence ""School was cancelled."" is the effect of the other."
55,School was cancelled. There was a snowstorm.,There was a snowstorm.,School was cancelled.,True,"

The sentence ""School was cancelled."" caused the other sentence.","

The sentence is ""There was a snowstorm."""
56,The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.,The tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord.,False,"

The tenants noticed mold on the bathroom ceiling.

The tenants contacted their landlord.","

The landlord painted the bathroom ceiling.

The landlord's action was the effect of the"
57,The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.,The tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord.,True,"

The sentence ""The tenants contacted their landlord."" caused the other.","

The tenants contacted their landlord.

The landlord fixed the roof."
58,I studied hard. I got an A on the test.,I studied hard.,I got an A on the test.,False,"

The sentence ""I got an A on the test"" caused the other sentence.","

The effect of studying hard is getting an A on the test."
59,I got an A on the test. I studied hard.,I studied hard.,I got an A on the test.,True,"

The sentence ""I got an A on the test"" caused the other sentence.","

The effect of the other sentence is that I got an A on the test."
60,The boy threw a rock. The window broke.,The boy threw a rock.,The window broke.,False,"

The boy threw a rock.

The window broke.","

The boy threw a rock.

The window broke."
61,The window broke. The boy threw a rock.,The boy threw a rock.,The window broke.,True,"

The window broke.

The boy threw a rock.","

The window broke.

The boy threw a rock."
62,The driver ran a red light. The driver was pulled over and was fined.,The driver ran a red light.,The driver was pulled over and was fined.,False,"

The driver was fined.","

The driver was fined."
63,The driver was pulled over and was fined. The driver ran a red light.,The driver ran a red light.,The driver was pulled over and was fined.,True,"

The driver was fined for running a red light.","

The driver was fined for running a red light."
64,The girl skipped school. The girl got detention.,The girl skipped school.,The girl got detention.,False,"

The sentence ""The girl skipped school."" caused the other sentence ""The girl got detention.""","

The sentence ""The girl skipped school"" is the effect of the other sentence ""The girl"
65,The girl got detention. The girl skipped school.,The girl skipped school.,The girl got detention.,True,"

The girl got detention.

The girl skipped school.","

The girl got detention because she skipped school."
66,I flipped the switch. Light filled the room.,I flipped the switch.,Light filled the room.,False,"

The light filled the room.","

The light filled the room."
67,Light filled the room. I flipped the switch.,I flipped the switch.,Light filled the room.,True,"

The light filled the room.

I flipped the switch.","

The light filled the room.

The light switch caused the light to fill the room"
68,I pulled the dog's tail. The dog bit me.,I pulled the dog's tail.,The dog bit me.,False,"

The sentence that caused the other sentence is ""The dog bit me.""","

The sentence that is the effect of the other is ""The dog bit me."""
69,The dog bit me. I pulled the dog's tail.,I pulled the dog's tail.,The dog bit me.,True,"

The sentence ""I pulled the dog's tail"" caused the other.","

The sentence is the effect of the other."
70,School was on break. The family went on vacation.,School was on break.,The family went on vacation.,False,"

The family went on vacation.

School was on break.","

The family went on vacation.

School was on break."
71,The family went on vacation. School was on break.,School was on break.,The family went on vacation.,True,"

The family went on vacation.

School was on break.","

The family went on vacation.

School was on break."
72,The air conditioner broke. The family went to the beach.,The air conditioner broke.,The family went to the beach.,False,"

The family went to the beach.

The air conditioner broke.","

The family went to the beach.

The air conditioner broke."
73,The family went to the beach. The air conditioner broke.,The air conditioner broke.,The family went to the beach.,True,"

The family went to the beach.

The air conditioner broke.","

The family went to the beach.

The air conditioner broke."
74,The girl had a fever. Mom gave the girl fever medicine.,The girl had a fever.,Mom gave the girl fever medicine.,False,"

The girl had a fever.

Mom gave the girl fever medicine.","

The fever medicine made the girl feel better."
75,Mom gave the girl fever medicine. The girl had a fever.,The girl had a fever.,Mom gave the girl fever medicine.,True,"

The girl had a fever.","

The fever medicine gave the girl a fever."
76,The bread was dry. We made French toast.,The bread was dry.,We made French toast.,False,"

The bread was dry.

We made French toast.","

The bread was dry.

The French toast was dry."
77,We made French toast. The bread was dry.,The bread was dry.,We made French toast.,True,"

The bread was dry.","

The bread was dry."
78,The company's posted strong earnings. The company's stock went up.,The company's posted strong earnings.,The company's stock went up.,False,"

The company's stock went up because the company's posted strong earnings.","

The company's stock went up because the company posted strong earnings."
79,The company's stock went up. The company's posted strong earnings.,The company's posted strong earnings.,The company's stock went up.,True,"

The company's stock went up because the company's posted strong earnings.","

The company's stock went up because the company's posted strong earnings."
80,My clothes got dirty. I put my clothes in the washing machine.,My clothes got dirty.,I put my clothes in the washing machine.,False,"

My clothes got dirty.

I put my clothes in the washing machine.","

The clothes got dirty."
81,I put my clothes in the washing machine. My clothes got dirty.,My clothes got dirty.,I put my clothes in the washing machine.,True,"

The sentence ""My clothes got dirty"" caused the other.","

The sentence ""My clothes got dirty"" is the effect of the other sentence ""I put"
82,My friend got a promotion. My friend celebrated with their family.,My friend got a promotion.,My friend celebrated with their family.,False,"

My friend got a promotion.

My friend celebrated with their family.","

The promotion was celebrated with their family."
83,My friend celebrated with their family. My friend got a promotion.,My friend got a promotion.,My friend celebrated with their family.,True,"

My friend got a promotion.

This sentence caused the other.","

My friend's promotion is the effect of their family's celebration."
84,The basketball player was shoved. The basketball player took a free throw.,The basketball player was shoved.,The basketball player took a free throw.,False,"

The basketball player was shoved.

The basketball player took a free throw.","

The basketball player was shoved.

The basketball player took a free throw."
85,The basketball player took a free throw. The basketball player was shoved.,The basketball player was shoved.,The basketball player took a free throw.,True,"

The basketball player was shoved.","

The basketball player was shoved.

This is the effect of the other sentence."
86,Alice didn't wake up. Alice missed her flight.,Alice didn't wake up.,Alice missed her flight.,False,"

The sentence ""Alice didn't wake up"" caused the other sentence ""Alice missed her flight","

Alice didn't wake up.

Alice missed her flight."
87,Alice missed her flight. Alice didn't wake up.,Alice didn't wake up.,Alice missed her flight.,True,"

The sentence ""Alice didn't wake up"" caused the other.","

The effect of the other sentence is that Alice missed her flight."
88,The floor was wet. The man sued.,The floor was wet.,The man sued.,False,"

The wet floor caused the man to sue.","

The floor was wet so the man sued."
89,The man sued. The floor was wet.,The floor was wet.,The man sued.,True,"

The man sued because the floor was wet.","

The man sued because the floor was wet."
90,It rained. The picnic was cancelled.,It rained.,The picnic was cancelled.,False,"

The picnic was cancelled because it rained.","

The picnic was cancelled because it rained."
91,The picnic was cancelled. It rained.,It rained.,The picnic was cancelled.,True,"

The picnic was cancelled because it rained.","

The picnic was cancelled because of the rain."
92,The girl didn't wear her sweater. The girl caught a cold.,The girl didn't wear her sweater.,The girl caught a cold.,False,"

The girl didn't wear her sweater.

The girl caught a cold.","

The girl didn't wear her sweater.

The girl caught a cold."
93,The girl caught a cold. The girl didn't wear her sweater.,The girl didn't wear her sweater.,The girl caught a cold.,True,"

The girl caught a cold.","

The girl caught a cold because she didn't wear her sweater."
94,The man got lost in the woods. A search party was assembled.,The man got lost in the woods.,A search party was assembled.,False,"

The sentence ""A search party was assembled."" caused the other sentence.","

The search party was assembled because the man got lost in the woods."
95,A search party was assembled. The man got lost in the woods.,The man got lost in the woods.,A search party was assembled.,True,"

The man got lost in the woods.","

The man got lost in the woods.

A search party was assembled."
96,Ted went out drinking. Ted had a hangover.,Ted went out drinking.,Ted had a hangover.,False,"

The sentence ""Ted had a hangover"" caused the other.","

The sentence is ""Which sentence is the effect of the other?"""
97,Ted had a hangover. Ted went out drinking.,Ted went out drinking.,Ted had a hangover.,True,"

The sentence that caused the other is ""went out drinking.""","

The sentence is ""Ted went out drinking."""
98,Alice ate the last cookie. Bob opened the jar and was frustrated.,Alice ate the last cookie.,Bob opened the jar and was frustrated.,False,"

The sentence ""Bob opened the jar and was frustrated"" caused the other.","

The sentence ""Bob opened the jar and was frustrated"" is the effect of the other."
99,Bob opened the jar and was frustrated. Alice ate the last cookie.,Alice ate the last cookie.,Bob opened the jar and was frustrated.,True,"

The sentence ""Alice ate the last cookie"" caused the other.","

The sentence ""Alice ate the last cookie"" is the effect of the other."
100,Jimmy took the last piece of cake. Mom rinsed the tray.,Jimmy took the last piece of cake.,Mom rinsed the tray.,False,"

The last piece of cake caused Jimmy to take it.","

The last piece of cake was taken by Jimmy.

The rinsing of the"
101,Mom rinsed the tray. Jimmy took the last piece of cake.,Jimmy took the last piece of cake.,Mom rinsed the tray.,True,"

Jimmy took the last piece of cake.","

Jimmy took the last piece of cake.

The effect of this sentence is that Jimmy"
