prompts,correct_answers,cause_answers,effect_answers
The soda went flat. The bottle was left open.,The bottle was left open.,"

The soda went flat.","

The effect of the other sentence is that it creates a more positive"
The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery.,"

The laptop ran out of battery. George plugged the laptop charger in","

The laptop ran out of battery. George plugged the laptop charger in"
George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery.,"

The laptop ran out of battery.","

The laptop ran out of battery."
The curtains were opened. Sunlight filled the room.,The curtains were opened.,"

The curtains were opened. Sunlight filled the room.","

The sunlight was so bright that it was hard to look away."
Sunlight filled the room. The curtains were opened.,The curtains were opened.,"

The other sentence is the cause of the other.","

The effect of the other is that it fills the room with light"
The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers.,"

The tomato flowers are pollinated by the insect.","

The effect of the other is that the tomato flowers will grow."
Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers.,"

The tomato flowers are pollinated by the insect.","

The effect of the other sentence is that the flowers are pollinated"
The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street.,"

The girl stepped onto the street. The driver hit the brakes.","

The girl stepped onto the street. The driver hit the brakes."
The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street.,"

The driver hit the brakes.","

The driver hit the brakes."
There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction.,"

The performer ran off the stage.","

The effect of the other sentence is that the performer runs off the"
The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction.,"

The performer ran off the stage.","

The performer ran off the stage."
"A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light.",A bird hit the engine.,"

The bird hit the engine.","

The effect of the other sentence is that it makes the pilot turn"
"The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.",A bird hit the engine.,"

The pilot turned on the ""fasten seatbelts"" light","

The pilot turned on the ""fasten seatbelts"" light"
The milk was left outside the fridge over night. The man sipped the milk and spit it out.,The milk was left outside the fridge over night.,"

The milk was left outside the fridge over night.","

The milk was left outside the fridge over night. The man s"
The man sipped the milk and spit it out. The milk was left outside the fridge over night.,The milk was left outside the fridge over night.,"

The man sipped the milk and spit it out. The milk","

The milk left the fridge over night."
The man couldn't hear what the woman was saying. The man turned down the music volume.,The man couldn't hear what the woman was saying.,"

The man turned down the music volume.","

The man couldn't hear what the woman was saying. The man"
The man turned down the music volume. The man couldn't hear what the woman was saying.,The man couldn't hear what the woman was saying.,"

The man turned down the music volume. The man couldn't hear","

The man turned down the music volume. The man couldn't hear"
The power was out for days. The meat spoiled.,The power was out for days.,"

The power was out for days. The meat spoiled.","

The meat spoiled."
The meat spoiled. The power was out for days.,The power was out for days.,"

The power was out for days.","

The meat spoiled. The power was out for days."
The gardener planted a seed. A flower grew.,The gardener planted a seed.,"

The other flower is a seed.","

The flower grew."
A flower grew. The gardener planted a seed.,The gardener planted a seed.,"

The flower grew.","

The seed will grow and produce a flower."
The team won the game. The team won the championship.,The team won the game.,"

The team won the championship.","

The team won the game."
The team won the championship. The team won the game.,The team won the game.,"

The team won the championship.","

The team won the championship."
The door was locked. The man climbed in through the window.,The door was locked.,"

The man climbed in through the window.","

The effect of the other sentence is that the door is locked."
The man climbed in through the window. The door was locked.,The door was locked.,"

The man climbed in through the window.","

The effect of the other sentence is that the man climbs in through"
The wind blew strong. The ship capsized.,The wind blew strong.,"

The other sentence is not the cause of the other.","

The ship capsized."
The ship capsized. The wind blew strong.,The wind blew strong.,"

The ship capsized.","

The ship capsized."
The man robbed a gas station. The man went to jail.,The man robbed a gas station.,"

The man robbed a gas station. The man went to jail.","

The man robbed a gas station. The man went to jail."
The man went to jail. The man robbed a gas station.,The man robbed a gas station.,"

The man went to jail.","

The man went to jail."
Jill won the lawsuit against Acme. Acme paid Jill's legal fees.,Jill won the lawsuit against Acme.,"

The lawsuit against Acme was because Acme was caught within a","

The sentence without the comma is the effect of the comma."
Acme paid Jill's legal fees. Jill won the lawsuit against Acme.,Jill won the lawsuit against Acme.,"

The sentence is ""Jill won the lawsuit against Acme.""","

The sentence without the comma is the effect of the comma."
There was a snowstorm. School was cancelled.,There was a snowstorm.,"

The snowstorm caused the school to be cancelled.","

The effect of the other sentence is that it interrupts the main clause"
School was cancelled. There was a snowstorm.,There was a snowstorm.,"

The snowstorm caused the fire.","

The effect of the other sentence is that the school is cancelled."
The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.,The tenants noticed mold on the bathroom ceiling.,"

The tenants contacted their landlord to report the mold.","

The tenants contacted their landlord."
The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.,The tenants noticed mold on the bathroom ceiling.,"

The tenants contacted their landlord. The tenants noticed mold on the bathroom","

The tenants contacted their landlord. The tenants noticed mold on the bathroom"
I studied hard. I got an A on the test.,I studied hard.,"

The other sentence is the cause of the other.","

The effect of the other sentence is that it makes the first sentence"
I got an A on the test. I studied hard.,I studied hard.,"

The other sentence is the cause of the other.","

The effect of the other sentence is that it makes the A more"
The boy threw a rock. The window broke.,The boy threw a rock.,"

The boy threw a rock. The window broke.","

The boy threw a rock. The window broke."
The window broke. The boy threw a rock.,The boy threw a rock.,"

The window broke.","

The boy threw a rock."
The driver ran a red light. The driver was pulled over and was fined.,The driver ran a red light.,"

The driver ran a red light.","

The driver was pulled over and was fined."
The driver was pulled over and was fined. The driver ran a red light.,The driver ran a red light.,"

The driver ran a red light.","

The driver ran a red light which resulted in a fine."
The girl skipped school. The girl got detention.,The girl skipped school.,"

The girl got detention because she skipped school.","

The girl got detention because she skipped school."
The girl got detention. The girl skipped school.,The girl skipped school.,"

The girl got detention.","

The girl got detention. The girl skipped school."
I flipped the switch. Light filled the room.,I flipped the switch.,"

The other sentence is the cause of the other.","

The effect of the other is that the light fills the room."
Light filled the room. I flipped the switch.,I flipped the switch.,"

The other sentence is the cause of the other.","

The effect of the other sentence is that the room becomes very dark"
I pulled the dog's tail. The dog bit me.,I pulled the dog's tail.,"

The dog bit me.","

The dog bit me and the effect of the other sentence is that"
The dog bit me. I pulled the dog's tail.,I pulled the dog's tail.,"

The dog bit me.","

The effect of the other sentence is that it makes the first sentence"
School was on break. The family went on vacation.,School was on break.,"

The family went on vacation.","

The family went on vacation. The effect of the other sentence is"
The family went on vacation. School was on break.,School was on break.,"

The family went on vacation. School was on break.","

The family went on vacation. School was on break."
The air conditioner broke. The family went to the beach.,The air conditioner broke.,"

The air conditioner broke.","

The air conditioner broke."
The family went to the beach. The air conditioner broke.,The air conditioner broke.,"

The family went to the beach. The air conditioner broke.","

The family went to the beach. The air conditioner broke."
The girl had a fever. Mom gave the girl fever medicine.,The girl had a fever.,"

The girl had a fever.","

The girl had a fever."
Mom gave the girl fever medicine. The girl had a fever.,The girl had a fever.,"

The girl had a fever.","

The girl had a fever."
The bread was dry. We made French toast.,The bread was dry.,"

The bread was dry.","

The bread was dry."
We made French toast. The bread was dry.,The bread was dry.,"

The other sentence is the cause of the other.","

The other sentence makes the bread more bread-y and crispy."
The company's posted strong earnings. The company's stock went up.,The company's posted strong earnings.,"

The company's posted strong earnings. The company's stock went up","

The company's posted strong earnings."
The company's stock went up. The company's posted strong earnings.,The company's posted strong earnings.,"

The company's stock went up.","

The company's stock went up."
My clothes got dirty. I put my clothes in the washing machine.,My clothes got dirty.,"

The other sentence is the cause of the other.","

The clothes get dirty and put their clothes in the washing machine."
I put my clothes in the washing machine. My clothes got dirty.,My clothes got dirty.,"

The other sentence is the cause of the other.","

The effect of the other sentence is that it makes the first sentence"
My friend got a promotion. My friend celebrated with their family.,My friend got a promotion.,"

The promotion was what made my friend happy.","

The effect of the other sentence is that the friend gets a promotion"
My friend celebrated with their family. My friend got a promotion.,My friend got a promotion.,"

The other sentence is the cause of the other.","

The effect of the other sentence is that the friend gets a promotion"
The basketball player was shoved. The basketball player took a free throw.,The basketball player was shoved.,"

The basketball player took a free throw.","

The basketball player took a free throw."
The basketball player took a free throw. The basketball player was shoved.,The basketball player was shoved.,"

The basketball player took a free throw.","

The basketball player was shoved."
Alice didn't wake up. Alice missed her flight.,Alice didn't wake up.,"

The other sentence is the cause of the other. Alice missed her","

The effect of the other is that Alice doesn't wake up."
Alice missed her flight. Alice didn't wake up.,Alice didn't wake up.,"

The other sentence is the cause of the other.","

The effect of the other sentence is that Alice wakes up and realizes"
The floor was wet. The man sued.,The floor was wet.,"

The floor was wet. The man sued.","

The floor was wet. The man sued."
The man sued. The floor was wet.,The floor was wet.,"

The man sued because he was wet.","

The floor was wet."
It rained. The picnic was cancelled.,It rained.,"

The other sentence is the cause of the other.","

The other sentence is the effect of the other."
The picnic was cancelled. It rained.,It rained.,"

The picnic was cancelled.","

The picnic was cancelled."
The girl didn't wear her sweater. The girl caught a cold.,The girl didn't wear her sweater.,"

The girl didn't wear her sweater.","

The girl didn't wear her sweater.

The girl caught"
The girl caught a cold. The girl didn't wear her sweater.,The girl didn't wear her sweater.,"

The girl caught a cold.","

The girl caught a cold."
The man got lost in the woods. A search party was assembled.,The man got lost in the woods.,"

The man got lost in the woods. 

A search","

The man got lost in the woods. A search party was assembled"
A search party was assembled. The man got lost in the woods.,The man got lost in the woods.,"

The man got lost in the woods.","

The man got lost in the woods."
Ted went out drinking. Ted had a hangover.,Ted went out drinking.,"

The other sentence is the cause of the other.","

The effect of the other sentence is that the speaker is more likely"
Ted had a hangover. Ted went out drinking.,Ted went out drinking.,"

The other sentence is the cause of the other.","

The effect of the other sentence is that it makes the speaker more"
Alice ate the last cookie. Bob opened the jar and was frustrated.,Alice ate the last cookie.,"

The other sentence is the cause of the other.","

The effect of the other is that the other eats the other."
Bob opened the jar and was frustrated. Alice ate the last cookie.,Alice ate the last cookie.,"

The other sentence is the cause of the other.","

The effect of the other is that the other becomes more hungry."
Jimmy took the last piece of cake. Mom rinsed the tray.,Jimmy took the last piece of cake.,"

The other sentence is the cause of the other.","

The effect of the other is that the other becomes more important."
Mom rinsed the tray. Jimmy took the last piece of cake.,Jimmy took the last piece of cake.,"

The other sentence is the cause of the other.","

The effect of the other is that the other becomes more important."
