,sequence,answer_cause,answer_effect,switched,responses_cause,responses_effect
45,The team won the championship. The team won the game.,The team won the game.,The team won the championship.,True,"

The team won the championship.

The team won the game.","

The team won the championship.

The team won the game."
46,The door was locked. The man climbed in through the window.,The door was locked.,The man climbed in through the window.,False,"

The man climbed in through the window.

The man climbed in through the window.","

The man climbed in through the window.

The man entered the room through the window"
47,The man climbed in through the window. The door was locked.,The door was locked.,The man climbed in through the window.,True,"

The man climbed in through the window.

The man climbed in.","

The man climbed in through the window.

The man broke the window and climbed in"
48,The wind blew strong. The ship capsized.,The wind blew strong.,The ship capsized.,False,"

The wind blew strong.

The ship capsized.","

The wind blew strong. The ship capsized.

The wind blew strong. This"
49,The ship capsized. The wind blew strong.,The wind blew strong.,The ship capsized.,True,"

The ship capsized.

The wind blew strong.","

The ship capsized.

The wind blew strong."
50,The man robbed a gas station. The man went to jail.,The man robbed a gas station.,The man went to jail.,False,"

The man robbed a gas station. He was arrested.","

The man robbed a gas station. He was sentenced to jail."
51,The man went to jail. The man robbed a gas station.,The man robbed a gas station.,The man went to jail.,True,"

The man went to jail. The man robbed a gas station.","

The man went to jail. The man robbed a gas station.

The man went"
52,Jill won the lawsuit against Acme. Acme paid Jill's legal fees.,Jill won the lawsuit against Acme.,Acme paid Jill's legal fees.,False,"

Acme paid Jill's legal fees.

The sentence that caused the other is ""","

Acme paid Jill's legal fees.

This sentence has the effect of stating that"
53,Acme paid Jill's legal fees. Jill won the lawsuit against Acme.,Jill won the lawsuit against Acme.,Acme paid Jill's legal fees.,True,"

Acme paid Jill's legal fees.

This sentence caused the other.","

Acme paid Jill's legal fees.

This sentence has the effect of Jill winning"
54,There was a snowstorm. School was cancelled.,There was a snowstorm.,School was cancelled.,False,"

The snowstorm caused the school to be cancelled.","

The snowstorm caused the school to be cancelled."
55,School was cancelled. There was a snowstorm.,There was a snowstorm.,School was cancelled.,True," School was cancelled.

The snowstorm caused the school to be cancelled."," School was cancelled.

The effect of the other sentence is that there was a snowstorm."
56,The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.,The tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord.,False,"

The tenants noticed mold on the bathroom ceiling.

The tenants contacted their landlord.","

The tenants noticed mold on the bathroom ceiling.

The tenants contacted their landlord."
57,The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.,The tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord.,True,"

The tenants contacted their landlord.

The tenants noticed mold on the bathroom ceiling.","

The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.

The"
58,I studied hard. I got an A on the test.,I studied hard.,I got an A on the test.,False,"

I studied hard.

I got an A on the test.","

I studied hard. I got an A on the test.

The effect of the"
59,I got an A on the test. I studied hard.,I studied hard.,I got an A on the test.,True,"

I got an A on the test.

The first sentence caused the second sentence.","

I got an A on the test.

The sentence is the effect of the other"
60,The boy threw a rock. The window broke.,The boy threw a rock.,The window broke.,False,"

The boy threw a rock.

The window broke.","

The boy threw a rock. The window broke.

The window broke is the effect"
61,The window broke. The boy threw a rock.,The boy threw a rock.,The window broke.,True,"

The window broke.

The boy threw a rock.","

The window broke.

The boy threw a rock."
62,The driver ran a red light. The driver was pulled over and was fined.,The driver ran a red light.,The driver was pulled over and was fined.,False,"

The driver ran a red light.

The driver was pulled over and was fined.","

The driver was pulled over and was fined.

The driver was fined."
63,The driver was pulled over and was fined. The driver ran a red light.,The driver ran a red light.,The driver was pulled over and was fined.,True,"

The driver was pulled over and was fined.

The driver ran a red light.","

The driver was pulled over and was fined.

The driver ran a red light."
64,The girl skipped school. The girl got detention.,The girl skipped school.,The girl got detention.,False,"

The girl skipped school.

The girl got detention.","

The girl skipped school.

The girl got detention."
65,The girl got detention. The girl skipped school.,The girl skipped school.,The girl got detention.,True,"

The girl got detention.

The girl skipped school.","

The girl got detention.

The girl skipped school."
66,I flipped the switch. Light filled the room.,I flipped the switch.,Light filled the room.,False,"

The light filled the room.

The switch caused the light to fill the room.","

The light filled the room.

The light filled the room."
67,Light filled the room. I flipped the switch.,I flipped the switch.,Light filled the room.,True,"

The light filled the room.

The switch was flipped.","

The light filled the room.

The light was turned on."
68,I pulled the dog's tail. The dog bit me.,I pulled the dog's tail.,The dog bit me.,False," I pulled the dog's tail. The dog bit me.

The first sentence caused the second","

I pulled the dog's tail.

The dog bit me."
69,The dog bit me. I pulled the dog's tail.,I pulled the dog's tail.,The dog bit me.,True," I pulled the dog's tail.

The sentence that caused the other is ""I pulled the","

I pulled the dog's tail.

The sentence is the effect of the other."
70,School was on break. The family went on vacation.,School was on break.,The family went on vacation.,False,"

The family went on vacation.

The break caused the school to be on break.","

The family went on vacation.

The family went on vacation and school was on break"
71,The family went on vacation. School was on break.,School was on break.,The family went on vacation.,True,"

The family went on vacation.

The family went on vacation. School was on break","

The family went on vacation. School was on break.

The family went on vacation"
72,The air conditioner broke. The family went to the beach.,The air conditioner broke.,The family went to the beach.,False,"

The family went to the beach.

The air conditioner broke.","

The family went to the beach.

The family went to the beach and the air"
73,The family went to the beach. The air conditioner broke.,The air conditioner broke.,The family went to the beach.,True,"

The family went to the beach.

The air conditioner broke.","

The family went to the beach. The air conditioner broke.

The family went"
74,The girl had a fever. Mom gave the girl fever medicine.,The girl had a fever.,Mom gave the girl fever medicine.,False,"

Mom gave the girl fever medicine.

The sentence that caused the other is ""Mom","

The girl had a fever. Mom gave her fever medicine.

The sentence after the"
75,Mom gave the girl fever medicine. The girl had a fever.,The girl had a fever.,Mom gave the girl fever medicine.,True,"

Mom gave the girl fever medicine.

The girl had a fever.","

The girl had a fever and Mom gave her fever medicine.

The sentence after the"
76,The bread was dry. We made French toast.,The bread was dry.,We made French toast.,False,"

The bread was dry.

We made French toast.","

The bread was dry. We made French toast.

The sentence after the comma is"
77,We made French toast. The bread was dry.,The bread was dry.,We made French toast.,True,"

We made French toast.

The bread was dry.","

We made French toast.

The bread was dry."
78,The company's posted strong earnings. The company's stock went up.,The company's posted strong earnings.,The company's stock went up.,False,"

The company's posted strong earnings. The stock went up.

The company's posted","

The company's posted strong earnings. The stock went up.

The company's posted"
79,The company's stock went up. The company's posted strong earnings.,The company's posted strong earnings.,The company's stock went up.,True,"

The company's stock went up. The company's posted strong earnings.

The company","

The company's stock went up. The company's posted strong earnings.

The company"
80,My clothes got dirty. I put my clothes in the washing machine.,My clothes got dirty.,I put my clothes in the washing machine.,False," My clothes got dirty. I put my clothes in the washing machine.

The washing machine caused","

My clothes got dirty. I put them in the washing machine."
81,I put my clothes in the washing machine. My clothes got dirty.,My clothes got dirty.,I put my clothes in the washing machine.,True, I put my clothes in the washing machine. The clothes got dirty.,"

I put my clothes in the washing machine.

The sentence after ""I"" is"
82,My friend got a promotion. My friend celebrated with their family.,My friend got a promotion.,My friend celebrated with their family.,False,"

My friend got a promotion.

The sentence ""My friend celebrated with their family.""","

My friend got a promotion.

The sentence after the comma is the effect of the"
83,My friend celebrated with their family. My friend got a promotion.,My friend got a promotion.,My friend celebrated with their family.,True,"

My friend celebrated with their family. Their promotion caused them to be very happy.","

My friend celebrated with their family. Their family got a promotion."
84,The basketball player was shoved. The basketball player took a free throw.,The basketball player was shoved.,The basketball player took a free throw.,False,"

The basketball player was shoved.

The basketball player took a free throw.","

The basketball player was shoved.

The basketball player took a free throw."
85,The basketball player took a free throw. The basketball player was shoved.,The basketball player was shoved.,The basketball player took a free throw.,True,"

The basketball player took a free throw.

The basketball player was shoved.","

The basketball player took a free throw.

The basketball player was shoved."
86,Alice didn't wake up. Alice missed her flight.,Alice didn't wake up.,Alice missed her flight.,False,"

Alice didn't wake up.

The sentence ""Alice didn't wake up."" caused","

Alice didn't wake up.

The sentence that Alice didn't wake up is the"
87,Alice missed her flight. Alice didn't wake up.,Alice didn't wake up.,Alice missed her flight.,True,"

Alice didn't wake up.

The sentence ""Alice didn't wake up."" caused","

Alice didn't wake up.

The sentence that is the effect of the other is"
88,The floor was wet. The man sued.,The floor was wet.,The man sued.,False,"

The floor was wet.

The man sued.","

The floor was wet.

The man sued."
89,The man sued. The floor was wet.,The floor was wet.,The man sued.,True,"

The man sued.

The floor was wet.","

The man sued.

The man sued the floor."
90,It rained. The picnic was cancelled.,It rained.,The picnic was cancelled.,False,"

It rained.

The picnic was cancelled.","

The picnic was cancelled because it rained."
91,The picnic was cancelled. It rained.,It rained.,The picnic was cancelled.,True,"

The picnic was cancelled because it rained.","

The picnic was cancelled.

The picnic was cancelled because it rained."
92,The girl didn't wear her sweater. The girl caught a cold.,The girl didn't wear her sweater.,The girl caught a cold.,False,"

The girl didn't wear her sweater.

The girl caught a cold.","

The girl didn't wear her sweater. She caught a cold."
93,The girl caught a cold. The girl didn't wear her sweater.,The girl didn't wear her sweater.,The girl caught a cold.,True,"

The girl caught a cold.

The girl didn't wear her sweater.","

The girl caught a cold.

The girl didn't wear her sweater."
94,The man got lost in the woods. A search party was assembled.,The man got lost in the woods.,A search party was assembled.,False,"

The man got lost in the woods.

A search party was assembled.","

The man got lost in the woods. A search party was assembled.

The man"
95,A search party was assembled. The man got lost in the woods.,The man got lost in the woods.,A search party was assembled.,True,"

A search party was assembled.

The man got lost in the woods.","

The man got lost in the woods.

The search party was assembled."
96,Ted went out drinking. Ted had a hangover.,Ted went out drinking.,Ted had a hangover.,False,"

Ted had a hangover.

The first sentence caused the second.","

Ted had a hangover.

This is the effect of the other sentence."
97,Ted had a hangover. Ted went out drinking.,Ted went out drinking.,Ted had a hangover.,True,"

Ted had a hangover.

This caused the other.","

Ted had a hangover.

This is the effect of the other sentence."
98,Alice ate the last cookie. Bob opened the jar and was frustrated.,Alice ate the last cookie.,Bob opened the jar and was frustrated.,False,"

Bob opened the jar and was frustrated.

The sentence ""Bob opened the jar""","

Bob opened the jar and was frustrated.

The sentence is the effect of the other"
99,Bob opened the jar and was frustrated. Alice ate the last cookie.,Alice ate the last cookie.,Bob opened the jar and was frustrated.,True,"

Alice ate the last cookie.

The sentence ""Alice ate the last cookie."" caused","

Alice ate the last cookie.

The sentence is the effect of the other."
100,Jimmy took the last piece of cake. Mom rinsed the tray.,Jimmy took the last piece of cake.,Mom rinsed the tray.,False,"

Jimmy took the last piece of cake.

The sentence ""Jimmy took the last piece","

Jimmy took the last piece of cake.

The sentence Jimmy took the last piece of"
101,Mom rinsed the tray. Jimmy took the last piece of cake.,Jimmy took the last piece of cake.,Mom rinsed the tray.,True,"

Mom rinsed the tray.

Jimmy took the last piece of cake.","

Jimmy took the last piece of cake.

The sentence is the effect of the other"
