,sequence,answer_cause,answer_effect,switched,responses_cause,responses_effect
11,The boy lifted his eyes from the book. There was a loud noise.,There was a loud noise.,The boy lifted his eyes from the book.,True,"

The boy lifted his eyes from the book and saw a large, green, snake slithering","

The boy lifted his eyes from the book and saw a large, angry cat.

"
12,The girl had a nightmare. The girl woke up covered in cold sweat.,The girl had a nightmare.,The girl woke up covered in cold sweat.,False,"

The girl had a nightmare. The girl woke up covered in cold sweat.","

The girl had a nightmare and the girl woke up covered in cold sweat."
13,The girl woke up covered in cold sweat. The girl had a nightmare.,The girl had a nightmare.,The girl woke up covered in cold sweat.,True,"

The girl woke up covered in cold sweat. The girl had a nightmare.","

The girl woke up covered in cold sweat. The girl had a nightmare.

The"
14,It started raining. The driver turned the wipers on.,It started raining.,The driver turned the wipers on.,False,"

The driver turned the wipers on and the rain started to fall.","

The driver turned the wipers on and the rain started to fall."
15,The driver turned the wipers on. It started raining.,It started raining.,The driver turned the wipers on.,True,"

The driver turned the wipers on. It started raining.","

The driver turned the wipers off. It started raining."
16,A watermelon exploded. A man was covered in sticky red goo.,A watermelon exploded.,A man was covered in sticky red goo.,False,"

A watermelon exploded. A man was covered in sticky red goo.

A","

A watermelon exploded and a man was covered in sticky red goo.

The"
17,A man was covered in sticky red goo. A watermelon exploded.,A watermelon exploded.,A man was covered in sticky red goo.,True,"

A man was covered in sticky red goo. A watermelon exploded.

A","

A man was covered in sticky red goo. A watermelon exploded.

A"
18,She noticed that she was out of toilet paper. She went to the store and bought toilet paper.,She noticed that she was out of toilet paper.,She went to the store and bought toilet paper.,False,"

She noticed that she was out of toilet paper. She went to the store and bought toilet","

The effect of the other sentence is to make the speaker feel embarrassed."
19,She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper.,She went to the store and bought toilet paper.,True,"

She went to the store and bought toilet paper. She noticed that she was out of toilet","

The store bought a new set of toilet paper, but the effect of the other sentence is"
20,A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth.,The dinosaurs became extinct.,False,"

A large object hit the Earth. The dinosaurs became extinct.

A large object hit","

The Earth was hit by a large object and the dinosaurs became extinct."
21,The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth.,The dinosaurs became extinct.,True,"

A large object hit the Earth.

A large object hit the Earth and caused the","

The dinosaurs became extinct because of the large object that hit the Earth."
22,The bottle was left open. The soda went flat.,The bottle was left open.,The soda went flat.,False,"

The bottle was left open. The soda went flat.

The bottle was left open","

The bottle was left open. The soda went flat.

The effect of the other"
23,The soda went flat. The bottle was left open.,The bottle was left open.,The soda went flat.,True,"

The soda went flat. The bottle was left open.","

The soda went flat. The bottle was left open."
24,The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery.,George plugged the laptop charger in.,False,"

George plugged the laptop charger in.

The laptop ran out of battery.","

The laptop ran out of battery. George plugged the laptop charger in.

The effect"
25,George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery.,George plugged the laptop charger in.,True,"

The laptop ran out of battery.

The laptop ran out of battery because it was","

The laptop ran out of battery.

The effect of the other sentence is that the"
26,The curtains were opened. Sunlight filled the room.,The curtains were opened.,Sunlight filled the room.,False,"

The curtains were opened. Sunlight filled the room.

The curtains were opened.","

The curtains were opened. Sunlight filled the room.

The effect of the other"
27,Sunlight filled the room. The curtains were opened.,The curtains were opened.,Sunlight filled the room.,True,"

The light filled the room. The curtains were opened.","

The light filled the room. The curtains were opened."
28,The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers.,Tomatoes grew on the vine.,False,"

The insect pollinated the tomato flowers. The tomato flowers grew on the vine.","

The tomato flowers were pollinated by the bug."
29,Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers.,Tomatoes grew on the vine.,True,"

The tomato flowers were pollinated by an insect.","

The tomato flowers were pollinated by an insect."
30,The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street.,The driver hit the brakes.,False,"

The girl stepped onto the street. The driver hit the brakes.

The girl stepped","

The girl stepped onto the street. The driver hit the brakes.

The girl stepped"
31,The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street.,The driver hit the brakes.,True,"

The driver hit the brakes. The girl stepped onto the street.

The driver hit","

The girl stepped onto the street. The car hit the brakes."
32,There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction.,The performer ran off the stage.,False,"

The performer ran off the stage.","

The performer ran off the stage.

The effect of the other sentence is that the"
33,The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction.,The performer ran off the stage.,True,"

The performer ran off the stage. There was a wardrobe malfunction.

The performer ran","

The performer ran off the stage. There was a wardrobe malfunction.

The performer ran"
34,"A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light.",A bird hit the engine.,"The pilot turned on the ""fasten seatbelts"" light.",False,"

The bird hit the engine. The pilot turned on the ""fasten seatbelts""","

The bird hit the engine. The pilot turned on the ""fasten seatbelts"""
35,"The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.",A bird hit the engine.,"The pilot turned on the ""fasten seatbelts"" light.",True,"

The pilot turned on the ""fasten seatbelts"" light. A bird hit the","

The pilot turned on the ""fasten seatbelts"" light. A bird hit the"
36,The milk was left outside the fridge over night. The man sipped the milk and spit it out.,The milk was left outside the fridge over night.,The man sipped the milk and spit it out.,False,"

The milk was left outside the fridge over night. The man spat it out.","

The milk was left outside the fridge over night. The man spat it out."
37,The man sipped the milk and spit it out. The milk was left outside the fridge over night.,The milk was left outside the fridge over night.,The man sipped the milk and spit it out.,True,"

The man spat the milk out.

The man sipped the milk and spit it","

The man spat the milk out.

The milk was left outside the fridge over night"
38,The man couldn't hear what the woman was saying. The man turned down the music volume.,The man couldn't hear what the woman was saying.,The man turned down the music volume.,False,"

The man couldn't hear what the woman was saying. The man turned down the music volume","

The man couldn't hear what the woman was saying. The man turned down the music volume"
39,The man turned down the music volume. The man couldn't hear what the woman was saying.,The man couldn't hear what the woman was saying.,The man turned down the music volume.,True,"

The man turned down the music volume.

The woman turned down the music volume.","

The man turned down the music volume. The woman couldn't hear what the man was saying"
40,The power was out for days. The meat spoiled.,The power was out for days.,The meat spoiled.,False,"

The power was out for days. The meat spoiled.

The power was out for","

The power was out for days. The meat spoiled.

The power was out for"
41,The meat spoiled. The power was out for days.,The power was out for days.,The meat spoiled.,True,"

The meat spoiled. The power was out for days.

The power was out for","

The meat spoiled. The power was out for days.

The meat spoiled. The"
42,The gardener planted a seed. A flower grew.,The gardener planted a seed.,A flower grew.,False,"

The gardener planted a seed. A flower grew.

The gardener planted a","

The gardener watered the seed. A flower grew."
43,A flower grew. The gardener planted a seed.,The gardener planted a seed.,A flower grew.,True,"

The gardener planted a seed. The seed grew.","

The flower grew. The gardener watered it.

The effect of the other sentence"
44,The team won the game. The team won the championship.,The team won the game.,The team won the championship.,False,"

The team won the game. The team won the championship.","

The team won the game. The team won the championship.

The effect of the"
45,The team won the championship. The team won the game.,The team won the game.,The team won the championship.,True,"

The team won the championship. The game caused the team to win the championship.","

The team won the championship. The team won the game."
46,The door was locked. The man climbed in through the window.,The door was locked.,The man climbed in through the window.,False,"

The man climbed in through the window and then left.

The man climbed in through","

The man climbed in through the window and then the door was locked."
47,The man climbed in through the window. The door was locked.,The door was locked.,The man climbed in through the window.,True,"

The man climbed in through the window. The door was locked.

The man climbed","

The man climbed out of the window.

The man climbed out of the window and"
48,The wind blew strong. The ship capsized.,The wind blew strong.,The ship capsized.,False,"

The wind blew strong and the ship capsized.","

The wind blew strong and the ship capsized."
49,The ship capsized. The wind blew strong.,The wind blew strong.,The ship capsized.,True,"

The ship capsized. The wind blew strong.

The ship capsized. The","

The ship capsized and the wind blew strong."
50,The man robbed a gas station. The man went to jail.,The man robbed a gas station.,The man went to jail.,False,"

The man robbed a gas station. The man went to jail.

The man robbed","

The man robbed a gas station. The man went to jail and was sentenced to 5 years"
51,The man went to jail. The man robbed a gas station.,The man robbed a gas station.,The man went to jail.,True,"

The man went to jail. The man robbed a gas station.

The man went","

The man went to jail and the man robbed a gas station."
52,Jill won the lawsuit against Acme. Acme paid Jill's legal fees.,Jill won the lawsuit against Acme.,Acme paid Jill's legal fees.,False,"

""The other sentence caused the other.""","

The sentence ""The sentence ""The sentence is the effect of the other"" is the effect"
53,Acme paid Jill's legal fees. Jill won the lawsuit against Acme.,Jill won the lawsuit against Acme.,Acme paid Jill's legal fees.,True,"

""Jill won the lawsuit against Acme.""","

The sentence after the comma is the effect of the other."
54,There was a snowstorm. School was cancelled.,There was a snowstorm.,School was cancelled.,False,"

The snowstorm caused the school to be cancelled.","

The sentence after the snowstorm is the effect of the other."
55,School was cancelled. There was a snowstorm.,There was a snowstorm.,School was cancelled.,True,"

The school was cancelled. There was a snowstorm.

The school was cancelled.","

The school was cancelled. There was a snowstorm.

The school was cancelled."
56,The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.,The tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord.,False,"

The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.

The","

The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.

The"
57,The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.,The tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord.,True,"

The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.

The","

The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.

The"
58,I studied hard. I got an A on the test.,I studied hard.,I got an A on the test.,False,"

I studied hard. I got an A on the test.

The other sentence caused","

The effect of the other is to make the student feel uncomfortable.

The other makes"
59,I got an A on the test. I studied hard.,I studied hard.,I got an A on the test.,True,"

I got an A on the test. I studied hard.

I got an A","

I got an A on the test. I studied hard.

The effect of the"
60,The boy threw a rock. The window broke.,The boy threw a rock.,The window broke.,False,"

The boy threw a rock and the window broke.","

The boy threw a rock and the window broke."
61,The window broke. The boy threw a rock.,The boy threw a rock.,The window broke.,True,"

The window broke. The boy threw a rock out the window.","

The window broke and the boy threw a rock.

The window broke and the boy"
62,The driver ran a red light. The driver was pulled over and was fined.,The driver ran a red light.,The driver was pulled over and was fined.,False,"

The driver ran a red light. The driver was pulled over and was fined.","

The driver was pulled over and was fined.

The driver was pulled over and was"
63,The driver was pulled over and was fined. The driver ran a red light.,The driver ran a red light.,The driver was pulled over and was fined.,True,"

The driver was pulled over and was fined. The driver ran a red light.","

The driver was pulled over and was fined. The driver ran a red light.

"
64,The girl skipped school. The girl got detention.,The girl skipped school.,The girl got detention.,False,"

The girl skipped school. The girl got detention.

The girl skipped school. The","

The girl skipped school. The girl got detention.

The girl got detention because she"
65,The girl got detention. The girl skipped school.,The girl skipped school.,The girl got detention.,True,"

The girl got detention. The girl skipped school.

The girl got detention because she","

The girl got detention. The girl skipped school.

The girl got detention because she"
66,I flipped the switch. Light filled the room.,I flipped the switch.,Light filled the room.,False,"

The light filled the room.

The light filled the room and the switch was flipped","

The light filled the room.

The effect of the other is that the room became"
67,Light filled the room. I flipped the switch.,I flipped the switch.,Light filled the room.,True,"

The light filled the room. I turned the switch.","

The room filled with light."
68,I pulled the dog's tail. The dog bit me.,I pulled the dog's tail.,The dog bit me.,False,"

I pulled the dog's tail. The dog bit me.

The dog bit me","

The dog bit me.

The effect of the other is to make me angry."
69,The dog bit me. I pulled the dog's tail.,I pulled the dog's tail.,The dog bit me.,True,"

The dog bit me. I pulled the dog's tail.

The dog bit me","

The dog bit me. I pulled the dog's tail.

The dog bit me"
70,School was on break. The family went on vacation.,School was on break.,The family went on vacation.,False,"

The family went on vacation.

The family went on vacation.","

The family went on vacation. The effect of the other is that the family is not at"
71,The family went on vacation. School was on break.,School was on break.,The family went on vacation.,True,"

The family went on vacation. School was on break.

The family went on vacation","

The family went on vacation. School was on break.

The family went on vacation"
72,The air conditioner broke. The family went to the beach.,The air conditioner broke.,The family went to the beach.,False,"

The family went to the beach.

The family went to the beach.","

The family went to the beach.

The effect of the other sentence is that the"
73,The family went to the beach. The air conditioner broke.,The air conditioner broke.,The family went to the beach.,True,"

The family went to the beach. The air conditioner broke.

The family went","

The family went to the beach. The air conditioner broke.

The family went"
74,The girl had a fever. Mom gave the girl fever medicine.,The girl had a fever.,Mom gave the girl fever medicine.,False,"

The girl had a fever. Mom gave the girl fever medicine.

The girl had","

The girl had a fever. The fever medicine made the girl feel better."
75,Mom gave the girl fever medicine. The girl had a fever.,The girl had a fever.,Mom gave the girl fever medicine.,True,"

The girl had a fever. The fever caused the girl to have the medicine.","

The girl had a fever. The fever was lowered."
76,The bread was dry. We made French toast.,The bread was dry.,We made French toast.,False,"

The bread was dry. We made French toast.

The sentence ""The bread was","

The bread was dry. We made French toast.

The effect of the other sentence"
77,We made French toast. The bread was dry.,The bread was dry.,We made French toast.,True,"

We made French toast. The bread was too dry.","

The bread was dry.

The effect of the other sentence is that the bread is"
78,The company's posted strong earnings. The company's stock went up.,The company's posted strong earnings.,The company's stock went up.,False,"

The company's posted strong earnings. The company's stock went up.","

The company's stock went up.

The company's stock went up because the company"
79,The company's stock went up. The company's posted strong earnings.,The company's posted strong earnings.,The company's stock went up.,True,"

The company's stock went up because it posted strong earnings.","

The company's stock went up. The company's posted strong earnings.

The effect"
80,My clothes got dirty. I put my clothes in the washing machine.,My clothes got dirty.,I put my clothes in the washing machine.,False,"

My clothes got dirty. I put them in the dryer.","

My clothes got dirty. I put them in the dryer."
81,I put my clothes in the washing machine. My clothes got dirty.,My clothes got dirty.,I put my clothes in the washing machine.,True,"

I put my clothes in the dryer. My clothes got clean.","

My clothes got dirty.

The effect of the other sentence is to make the clothes"
82,My friend got a promotion. My friend celebrated with their family.,My friend got a promotion.,My friend celebrated with their family.,False,"

My friend got a promotion and their family celebrated.","

My friend got a promotion and their family celebrated.

The effect of the other sentence"
83,My friend celebrated with their family. My friend got a promotion.,My friend got a promotion.,My friend celebrated with their family.,True,"

My friend celebrated with their family. My friend got a promotion.

My friend got","

My friend celebrated with their family. Their family got a promotion."
84,The basketball player was shoved. The basketball player took a free throw.,The basketball player was shoved.,The basketball player took a free throw.,False,"

The basketball player was shoved. The basketball player took a free throw.","

The basketball player was pushed. The basketball player took a free throw.

The basketball"
85,The basketball player took a free throw. The basketball player was shoved.,The basketball player was shoved.,The basketball player took a free throw.,True,"

The basketball player took a free throw. The basketball player was shoved.","

The basketball player was pushed.

The basketball player took a free throw."
86,Alice didn't wake up. Alice missed her flight.,Alice didn't wake up.,Alice missed her flight.,False,"

Which sentence caused the other?

The other sentence caused the other.","

The other sentence has an effect."
87,Alice missed her flight. Alice didn't wake up.,Alice didn't wake up.,Alice missed her flight.,True,"

Alice didn't wake up.","

Alice missed her flight and woke up late.

The effect of the other sentence is"
88,The floor was wet. The man sued.,The floor was wet.,The man sued.,False,"

The floor was wet. The man sued.

The man sued because the floor was","

The floor was wet. The man was sued."
89,The man sued. The floor was wet.,The floor was wet.,The man sued.,True,"

The man sued. The floor was wet.

The man sued. The floor was","

The man sued. The floor was wet.

The man sued. The floor was"
90,It rained. The picnic was cancelled.,It rained.,The picnic was cancelled.,False,"

The picnic was cancelled because it rained.","

The picnic was cancelled because of the rain."
91,The picnic was cancelled. It rained.,It rained.,The picnic was cancelled.,True,"

The picnic was cancelled because it rained.","

The picnic was cancelled because it rained."
92,The girl didn't wear her sweater. The girl caught a cold.,The girl didn't wear her sweater.,The girl caught a cold.,False,"

The girl didn't wear her sweater. The girl caught a cold.

The girl","

The girl didn't wear her sweater, and she caught a cold."
93,The girl caught a cold. The girl didn't wear her sweater.,The girl didn't wear her sweater.,The girl caught a cold.,True,"

The girl caught a cold and didn't wear her sweater.","

The girl caught a cold and the girl didn't wear her sweater."
94,The man got lost in the woods. A search party was assembled.,The man got lost in the woods.,A search party was assembled.,False,"

The man got lost in the woods and was lost for hours.

The man got","

The man got lost in the woods and was lost for hours.

The man got"
95,A search party was assembled. The man got lost in the woods.,The man got lost in the woods.,A search party was assembled.,True,"

The man got lost in the woods and didn't find his way back.","

The search party was assembled. The man got lost in the woods.

The search"
96,Ted went out drinking. Ted had a hangover.,Ted went out drinking.,Ted had a hangover.,False,"

Ted went out drinking and had a hangover.","

The effect of the other is to make Ted drunk."
97,Ted had a hangover. Ted went out drinking.,Ted went out drinking.,Ted had a hangover.,True,"

Ted had a hangover. He went out drinking.","

Ted had a hangover. He went out drinking."
98,Alice ate the last cookie. Bob opened the jar and was frustrated.,Alice ate the last cookie.,Bob opened the jar and was frustrated.,False,"

Bob opened the jar and was frustrated.

The other sentence caused Bob to be frustrated","

Bob opened the jar and was frustrated.

The effect of the other sentence is that"
99,Bob opened the jar and was frustrated. Alice ate the last cookie.,Alice ate the last cookie.,Bob opened the jar and was frustrated.,True,"

Alice ate the last cookie.

The other sentence caused the other.","

The jar was frustrated because Alice ate the last cookie."
100,Jimmy took the last piece of cake. Mom rinsed the tray.,Jimmy took the last piece of cake.,Mom rinsed the tray.,False,"

""Mom, can I have the last piece of cake?""

""Yes, you","

After taking the last piece of cake, Jimmy ate it.

The effect of the"
101,Mom rinsed the tray. Jimmy took the last piece of cake.,Jimmy took the last piece of cake.,Mom rinsed the tray.,True,"

Jimmy took the last piece of cake.

The sentence caused the other because it is","

The effect of the other is to make Jimmy happy."
