prompts,correct_answers,answers
The bottle was left open because the soda went flat. The soda went flat because the bottle was left open.,The soda went flat because the bottle was left open.,"

The sentence that gets cause and effect right is ""The soda went flat because the bottle was"
George plugged the laptop charger in because the laptop ran out of battery. The laptop ran out of battery because George plugged the laptop charger in.,George plugged the laptop charger in because the laptop ran out of battery.,"

The sentence that gets cause and effect right is ""The laptop ran out of battery because George"
The laptop ran out of battery because George plugged the laptop charger in. George plugged the laptop charger in because the laptop ran out of battery.,George plugged the laptop charger in because the laptop ran out of battery.,"

The laptop ran out of battery because George plugged the laptop charger in."
Sunlight filled the room because the curtains were opened. The curtains were opened because sunlight filled the room.,Sunlight filled the room because the curtains were opened.,"

The curtains were opened because sunlight filled the room."
The curtains were opened because sunlight filled the room. Sunlight filled the room because the curtains were opened.,Sunlight filled the room because the curtains were opened.,"

The curtains were opened because the sunlight filled the room."
Tomatoes grew on the vine because the insect pollinated the tomato flowers. The insect pollinated the tomato flowers because tomatoes grew on the vine.,Tomatoes grew on the vine because the insect pollinated the tomato flowers.,"

The insect pollinated the tomato flowers because tomatoes grew on the vine."
The insect pollinated the tomato flowers because tomatoes grew on the vine. Tomatoes grew on the vine because the insect pollinated the tomato flowers.,Tomatoes grew on the vine because the insect pollinated the tomato flowers.,"

The insect pollinated the tomato flowers because tomatoes grew on the vine."
The driver hit the brakes because the girl stepped onto the street. The girl stepped onto the street because the driver hit the brakes.,The driver hit the brakes because the girl stepped onto the street.,"

The driver hit the brakes because the girl stepped onto the street."
The girl stepped onto the street because the driver hit the brakes. The driver hit the brakes because the girl stepped onto the street.,The driver hit the brakes because the girl stepped onto the street.,"

The driver hit the brakes because the girl stepped onto the street."
The performer ran off the stage because there was a wardrobe malfunction. There was a wardrobe malfunction because the performer ran off the stage.,The performer ran off the stage because there was a wardrobe malfunction.,"

The performer ran off the stage because there was a wardrobe malfunction."
There was a wardrobe malfunction because the performer ran off the stage. The performer ran off the stage because there was a wardrobe malfunction.,The performer ran off the stage because there was a wardrobe malfunction.,"

The performer ran off the stage because there was a wardrobe malfunction."
"The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine. A bird hit the engine because the pilot turned on the ""fasten seatbelts"" light.","The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine.","

The sentence that gets cause and effect right is ""The sentence that gets cause and effect right"
"A bird hit the engine because the pilot turned on the ""fasten seatbelts"" light. The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine.","The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine.","

The sentence that gets cause and effect right is ""The bird hit the engine because the pilot"
The man sipped the milk and spit it out because the milk was left outside the fridge over night. The milk was left outside the fridge over night because the man sipped the milk and spit it out.,The man sipped the milk and spit it out because the milk was left outside the fridge over night.,"

The man sipped the milk and spit it out because the milk was left outside the fridge"
The milk was left outside the fridge over night because the man sipped the milk and spit it out. The man sipped the milk and spit it out because the milk was left outside the fridge over night.,The man sipped the milk and spit it out because the milk was left outside the fridge over night.,"

The milk was left outside the fridge over night because the man sipped the milk and spit"
The man turned down the music volume because the man couldn't hear what the woman was saying. The man couldn't hear what the woman was saying because the man turned down the music volume.,The man turned down the music volume because the man couldn't hear what the woman was saying.,"

The sentence that gets cause and effect right is the sentence that turns down the music volume."
The man couldn't hear what the woman was saying because the man turned down the music volume. The man turned down the music volume because the man couldn't hear what the woman was saying.,The man turned down the music volume because the man couldn't hear what the woman was saying.,"

The sentence that gets cause and effect right is the first sentence. The man turned down the"
The meat spoiled because the power was out for days. The power was out for days because the meat spoiled.,The meat spoiled because the power was out for days.,"

The meat spoiled because the power was out for days."
The power was out for days because the meat spoiled. The meat spoiled because the power was out for days.,The meat spoiled because the power was out for days.,"

The power was out for days because the meat spoiled."
A flower grew because the gardener planted a seed. The gardener planted a seed because a flower grew.,A flower grew because the gardener planted a seed.,"

The flower grew because the gardener planted a seed."
The gardener planted a seed because a flower grew. A flower grew because the gardener planted a seed.,A flower grew because the gardener planted a seed.,"

The gardener planted a seed because a flower grew."
The team won the championship because the team won the game. The team won the game because the team won the championship.,The team won the championship because the team won the game.,"

The team won the championship because the team won the game."
The team won the game because the team won the championship. The team won the championship because the team won the game.,The team won the championship because the team won the game.,"

The team won the game because the team won the championship."
The man climbed in through the window because the door was locked. The door was locked because the man climbed in through the window.,The man climbed in through the window because the door was locked.,"

The man climbed in through the window because the door was locked."
The door was locked because the man climbed in through the window. The man climbed in through the window because the door was locked.,The man climbed in through the window because the door was locked.,"

The man climbed in through the window because the door was locked."
The ship capsized because the wind blew strong. The wind blew strong because the ship capsized.,The ship capsized because the wind blew strong.,"

The sentence that gets cause and effect right is ""The wind blew strong because the ship caps"
The wind blew strong because the ship capsized. The ship capsized because the wind blew strong.,The ship capsized because the wind blew strong.,"

The wind blew strong because the ship capsized."
The man went to jail because the man robbed a gas station. The man robbed a gas station because the man went to jail.,The man went to jail because the man robbed a gas station.,"
The man went to jail because the man robbed a gas station."
The man robbed a gas station because the man went to jail. The man went to jail because the man robbed a gas station.,The man went to jail because the man robbed a gas station.,"

The sentence that gets cause and effect right is the sentence that says the man went to jail"
Acme paid Jill's legal fees because Jill won the lawsuit against Acme. Jill won the lawsuit against Acme because acme paid Jill's legal fees.,Acme paid Jill's legal fees because Jill won the lawsuit against Acme.,"

The sentence that gets cause and effect right is ""Acme paid Jill's legal fees because"
Jill won the lawsuit against Acme because acme paid Jill's legal fees. Acme paid Jill's legal fees because Jill won the lawsuit against Acme.,Acme paid Jill's legal fees because Jill won the lawsuit against Acme.,"

The sentence that gets cause and effect right is ""The sentence that gets cause and effect right"
School was cancelled because there was a snowstorm. There was a snowstorm because school was cancelled.,School was cancelled because there was a snowstorm.,"

The sentence that gets cause and effect right is ""There was a snowstorm because school was"
There was a snowstorm because school was cancelled. School was cancelled because there was a snowstorm.,School was cancelled because there was a snowstorm.,"

The sentence that gets cause and effect right is ""There was a snowstorm because school was"
The tenants contacted their landlord because the tenants noticed mold on the bathroom ceiling. The tenants noticed mold on the bathroom ceiling because the tenants contacted their landlord.,The tenants contacted their landlord because the tenants noticed mold on the bathroom ceiling.,"

The tenants contacted their landlord because the tenants noticed mold on the bathroom ceiling."
The tenants noticed mold on the bathroom ceiling because the tenants contacted their landlord. The tenants contacted their landlord because the tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord because the tenants noticed mold on the bathroom ceiling.,"

The tenants contacted their landlord because the tenants noticed mold on the bathroom ceiling."
I got an A on the test because i studied hard. I studied hard because i got an A on the test.,I got an A on the test because i studied hard.,"

The sentence that gets cause and effect right is ""I got an A on the test because"
I studied hard because i got an A on the test. I got an A on the test because i studied hard.,I got an A on the test because i studied hard.,"

The sentence that gets cause and effect right is ""I studied hard because i got an A"
The window broke because the boy threw a rock. The boy threw a rock because the window broke.,The window broke because the boy threw a rock.,"

The window broke because the boy threw a rock."
The boy threw a rock because the window broke. The window broke because the boy threw a rock.,The window broke because the boy threw a rock.,"

The window broke because the boy threw a rock."
The driver was pulled over and was fined because the driver ran a red light. The driver ran a red light because the driver was pulled over and was fined.,The driver was pulled over and was fined because the driver ran a red light.,"

The sentence that gets cause and effect right is the first sentence."
The driver ran a red light because the driver was pulled over and was fined. The driver was pulled over and was fined because the driver ran a red light.,The driver was pulled over and was fined because the driver ran a red light.,"

The sentence that gets cause and effect right is ""The driver ran a red light because the"
The girl got detention because the girl skipped school. The girl skipped school because the girl got detention.,The girl got detention because the girl skipped school.,"

The sentence that gets cause and effect right is ""The girl skipped school because she got detention"
The girl skipped school because the girl got detention. The girl got detention because the girl skipped school.,The girl got detention because the girl skipped school.,"

The girl skipped school because the girl got detention."
Light filled the room because i flipped the switch. I flipped the switch because light filled the room.,Light filled the room because i flipped the switch.,"

The sentence that gets cause and effect right is ""I flipped the switch."""
I flipped the switch because light filled the room. Light filled the room because i flipped the switch.,Light filled the room because i flipped the switch.,"

The sentence that gets cause and effect right is ""The sentence that gets cause and effect right"
The dog bit me because i pulled the dog's tail. I pulled the dog's tail because the dog bit me.,The dog bit me because i pulled the dog's tail.,"

The dog bit me because I pulled the dog's tail."
I pulled the dog's tail because the dog bit me. The dog bit me because i pulled the dog's tail.,The dog bit me because i pulled the dog's tail.,"

The sentence that gets cause and effect right is ""The dog bit me because i pulled the"
The family went on vacation because school was on break. School was on break because the family went on vacation.,The family went on vacation because school was on break.,"

The family went on vacation because school was on break."
School was on break because the family went on vacation. The family went on vacation because school was on break.,The family went on vacation because school was on break.,"

The family went on vacation because school was on break."
The family went to the beach because the air conditioner broke. The air conditioner broke because the family went to the beach.,The family went to the beach because the air conditioner broke.,"

The family went to the beach because the air conditioner broke."
The air conditioner broke because the family went to the beach. The family went to the beach because the air conditioner broke.,The family went to the beach because the air conditioner broke.,"

The air conditioner broke because the family went to the beach."
Mom gave the girl fever medicine because the girl had a fever. The girl had a fever because mom gave the girl fever medicine.,Mom gave the girl fever medicine because the girl had a fever.,"

The sentence that gets cause and effect right is the sentence that says ""The girl had a"
The girl had a fever because mom gave the girl fever medicine. Mom gave the girl fever medicine because the girl had a fever.,Mom gave the girl fever medicine because the girl had a fever.,"

The sentence that gets cause and effect right is ""The girl had a fever because mom gave"
We made French toast because the bread was dry. The bread was dry because we made French toast.,We made French toast because the bread was dry.,"

The sentence that gets cause and effect right is ""The bread was dry because we made French"
The bread was dry because we made French toast. We made French toast because the bread was dry.,We made French toast because the bread was dry.,"

The bread was dry because we made French toast."
The company's stock went up because the company's posted strong earnings. The company's posted strong earnings because the company's stock went up.,The company's stock went up because the company's posted strong earnings.,"

The company's stock went up because the company's posted strong earnings."
The company's posted strong earnings because the company's stock went up. The company's stock went up because the company's posted strong earnings.,The company's stock went up because the company's posted strong earnings.,"

The company's stock went up because the company's posted strong earnings."
I put my clothes in the washing machine because my clothes got dirty. My clothes got dirty because i put my clothes in the washing machine.,I put my clothes in the washing machine because my clothes got dirty.,"

The sentence that gets cause and effect right is ""My clothes got dirty because i put my"
My clothes got dirty because i put my clothes in the washing machine. I put my clothes in the washing machine because my clothes got dirty.,I put my clothes in the washing machine because my clothes got dirty.,"

The sentence that gets cause and effect right is ""My clothes got dirty because i put my"
My friend celebrated with their family because my friend got a promotion. My friend got a promotion because my friend celebrated with their family.,My friend celebrated with their family because my friend got a promotion.,"

The sentence that gets cause and effect right is ""My friend celebrated with their family because my"
My friend got a promotion because my friend celebrated with their family. My friend celebrated with their family because my friend got a promotion.,My friend celebrated with their family because my friend got a promotion.,"

The sentence that gets cause and effect right is ""My friend got a promotion because my friend"
The basketball player took a free throw because the basketball player was shoved. The basketball player was shoved because the basketball player took a free throw.,The basketball player took a free throw because the basketball player was shoved.,"

The basketball player took a free throw because the basketball player was shoved."
The basketball player was shoved because the basketball player took a free throw. The basketball player took a free throw because the basketball player was shoved.,The basketball player took a free throw because the basketball player was shoved.,"

The basketball player was shoved because the basketball player took a free throw."
Alice missed her flight because Alice didn't wake up. Alice didn't wake up because Alice missed her flight.,Alice missed her flight because Alice didn't wake up.,"

The sentence that gets cause and effect right is ""Alice missed her flight because Alice didn't"
Alice didn't wake up because Alice missed her flight. Alice missed her flight because Alice didn't wake up.,Alice missed her flight because Alice didn't wake up.,"

The sentence that gets cause and effect right is ""Alice didn't wake up because Alice missed"
The man sued because the floor was wet. The floor was wet because the man sued.,The man sued because the floor was wet.,"

The man sued because the floor was wet."
The floor was wet because the man sued. The man sued because the floor was wet.,The man sued because the floor was wet.,"

The sentence that gets cause and effect right is the sentence that states the man sued because the"
The picnic was cancelled because it rained. It rained because the picnic was cancelled.,The picnic was cancelled because it rained.,"

The picnic was cancelled because it rained."
It rained because the picnic was cancelled. The picnic was cancelled because it rained.,The picnic was cancelled because it rained.,"

The picnic was cancelled because it rained."
The girl caught a cold because the girl didn't wear her sweater. The girl didn't wear her sweater because the girl caught a cold.,The girl caught a cold because the girl didn't wear her sweater.,"

The girl caught a cold because she didn't wear her sweater."
The girl didn't wear her sweater because the girl caught a cold. The girl caught a cold because the girl didn't wear her sweater.,The girl caught a cold because the girl didn't wear her sweater.,"

The girl didn't wear her sweater because the girl caught a cold. The girl caught a"
A search party was assembled because the man got lost in the woods. The man got lost in the woods because a search party was assembled.,A search party was assembled because the man got lost in the woods.,"

The sentence that gets cause and effect right is the sentence that states that a search party was"
The man got lost in the woods because a search party was assembled. A search party was assembled because the man got lost in the woods.,A search party was assembled because the man got lost in the woods.,"

The man got lost in the woods because a search party was assembled."
Ted had a hangover because Ted went out drinking. Ted went out drinking because Ted had a hangover.,Ted had a hangover because Ted went out drinking.,"

The sentence that gets cause and effect right is the first sentence, which states that Ted had"
Ted went out drinking because Ted had a hangover. Ted had a hangover because Ted went out drinking.,Ted had a hangover because Ted went out drinking.,"

The sentence that gets cause and effect right is ""Ted had a hangover because Ted went"
Bob opened the jar and was frustrated because Alice ate the last cookie. Alice ate the last cookie because Bob opened the jar and was frustrated.,Bob opened the jar and was frustrated because Alice ate the last cookie.,"

The sentence that gets cause and effect right is ""Alice ate the last cookie because Bob opened"
Alice ate the last cookie because Bob opened the jar and was frustrated. Bob opened the jar and was frustrated because Alice ate the last cookie.,Bob opened the jar and was frustrated because Alice ate the last cookie.,"

The sentence that gets cause and effect right is ""Bob opened the jar and was frustrated because"
Mom rinsed the tray because Jimmy took the last piece of cake. Jimmy took the last piece of cake because mom rinsed the tray.,Mom rinsed the tray because Jimmy took the last piece of cake.,"

The sentence that gets cause and effect right is ""Jimmy took the last piece of cake because"
Jimmy took the last piece of cake because mom rinsed the tray. Mom rinsed the tray because Jimmy took the last piece of cake.,Mom rinsed the tray because Jimmy took the last piece of cake.,"

The sentence that gets cause and effect right is ""Jimmy took the last piece of cake because"
