,sequence,answer_cause,answer_effect,switched,responses_cause,responses_effect,responses_cause_ss,responses_effect_ss
19,She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper.,She went to the store and bought toilet paper.,True, She went to the store and bought toilet paper. She noticed that she was out of toilet paper., She went to the store and bought toilet paper. She noticed that she was out of toilet paper., She went to the store and bought toilet paper. She noticed that she was out of toilet paper., She went to the store and bought toilet paper. She noticed that she was out of toilet paper.
20,A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth.,The dinosaurs became extinct.,False, A large object hit the Earth. The dinosaurs became extinct., The large object hit the Earth. The dinosaurs became extinct.," The dinosaurs became extinct.

The Earth became a very cold place.", A large object hit the Earth. The dinosaurs became extinct.
21,The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth.,The dinosaurs became extinct.,True, A large object hit the Earth., A large object hit the Earth., A large object hit the Earth., A large object hit the Earth.
22,The bottle was left open. The soda went flat.,The bottle was left open.,The soda went flat.,False, The bottle was left open. The soda went flat., The bottle was left open. The soda went flat., The man robbed a gas station. The man left the bottle open., The team won the championship. The bottle was left open. The soda went flat.
23,The soda went flat. The bottle was left open.,The bottle was left open.,The soda went flat.,True, The bottle was left open., The family went to the beach. The soda went flat. The bottle was left open., The soda went flat. The bottle was left open., The soda went flat. The bottle was left open.
24,The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery.,George plugged the laptop charger in.,False, George plugged the laptop charger in., George plugged the laptop charger in., George plugged the laptop charger in., George plugged the laptop charger in.
25,George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery.,George plugged the laptop charger in.,True, George plugged the laptop charger in. The laptop ran out of battery., George plugged the laptop charger in. The laptop ran out of battery., George plugged the laptop charger in. The laptop ran out of battery., George plugged the laptop charger in. The laptop ran out of battery.
26,The curtains were opened. Sunlight filled the room.,The curtains were opened.,Sunlight filled the room.,False," Sunlight filled the room.

The man got lost in the woods. A search party was"," Sunlight filled the room.

The girl caught a cold."," Sunlight filled the room.
Sunlight filled the room.", Sunlight filled the room.
27,Sunlight filled the room. The curtains were opened.,The curtains were opened.,Sunlight filled the room.,True, Sunlight filled the room. The curtains were opened., Sunlight filled the room. The curtains were opened., Sunlight filled the room. The curtains were opened., The curtains were opened.
28,The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers.,Tomatoes grew on the vine.,False, The insect pollinated the tomato flowers. Tomatoes grew on the vine., The insect pollinated the tomato flowers. Tomatoes grew on the vine., The insect pollinated the tomato flowers. Tomatoes grew on the vine., The family went to the beach. The insect pollinated the tomato flowers. Tomatoes grew on the
29,Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers.,Tomatoes grew on the vine.,True, Tomatoes grew on the vine. The insect pollinated the tomato flowers., Tomatoes grew on the vine. The insect pollinated the tomato flowers., Tomatoes grew on the vine. The insect pollinated the tomato flowers., The tomato flowers grew on the vine.
30,The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street.,The driver hit the brakes.,False, The girl stepped onto the street. The driver hit the brakes., The girl stepped onto the street. The driver hit the brakes., The girl stepped onto the street. The driver hit the brakes., The girl stepped onto the street. The driver hit the brakes.
31,The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street.,The driver hit the brakes.,True, The girl stepped onto the street., The driver hit the brakes. The girl stepped onto the street., The girl stepped onto the street., The girl stepped onto the street.
32,There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction.,The performer ran off the stage.,False, There was a wardrobe malfunction. The performer ran off the stage., There was a wardrobe malfunction. The performer ran off the stage., There was a wardrobe malfunction. The performer ran off the stage., There was a wardrobe malfunction. The performer ran off the stage.
33,The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction.,The performer ran off the stage.,True, There was a wardrobe malfunction., There was a wardrobe malfunction., There was a wardrobe malfunction., There was a wardrobe malfunction.
34,"A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light.",A bird hit the engine.,"The pilot turned on the ""fasten seatbelts"" light.",False," The pilot turned on the ""fasten seatbelts"" light."," The bird hit the engine. The pilot turned on the ""fasten seatbelts"" light."," The bird hit the engine. The pilot turned on the ""fasten seatbelts"" light."," A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light."
35,"The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.",A bird hit the engine.,"The pilot turned on the ""fasten seatbelts"" light.",True," The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.","

The pilot turned on the ""fasten seatbelts"" light. A bird hit the"," A large object hit the Earth. The pilot turned on the ""fasten seatbelts"" light","

The pilot turned on the ""fasten seatbelts"" light. A bird hit the"
36,The milk was left outside the fridge over night. The man sipped the milk and spit it out.,The milk was left outside the fridge over night.,The man sipped the milk and spit it out.,False, The man sipped the milk and spit it out., The milk was left outside the fridge over night. The man sipped the milk and spit it out, The man spat the milk out., The milk was left outside the fridge over night. The man sipped the milk and spit it out
37,The man sipped the milk and spit it out. The milk was left outside the fridge over night.,The milk was left outside the fridge over night.,The man sipped the milk and spit it out.,True," The man spat the milk out.

The man sipped the milk and spit it out.", The man spat the milk out.," The man spat the milk out.

The man got lost in the woods. A search party"," The man spat the milk out.

The man sipped the milk and spit it out."
38,The man couldn't hear what the woman was saying. The man turned down the music volume.,The man couldn't hear what the woman was saying.,The man turned down the music volume.,False, The man couldn't hear what the woman was saying. The man turned down the music volume., The man turned down the music volume., The man turned down the music volume., The man couldn't hear what the woman was saying.
39,The man turned down the music volume. The man couldn't hear what the woman was saying.,The man couldn't hear what the woman was saying.,The man turned down the music volume.,True," The man turned down the music volume.

The man's silence caused the woman to become worried", The man turned down the music volume. The man couldn't hear what the woman was saying., The man turned down the music volume. The man couldn't hear what the woman was saying., The man turned down the music volume. The man couldn't hear what the woman was saying.
40,The power was out for days. The meat spoiled.,The power was out for days.,The meat spoiled.,False, The power was out for days. The meat spoiled., The meat spoiled., A power was out for days. The meat spoiled., The power was out for days. The meat spoiled.
41,The meat spoiled. The power was out for days.,The power was out for days.,The meat spoiled.,True, The power was out for days., The meat spoiled. The power was out for days., The meat spoiled. The power was out for days., The power was out for days.
42,The gardener planted a seed. A flower grew.,The gardener planted a seed.,A flower grew.,False, A man accidently pushed the vase off a counter. The gardener planted a seed. A, A flower grew., The gardener watered the seed., A flower grew.
43,A flower grew. The gardener planted a seed.,The gardener planted a seed.,A flower grew.,True, A flower grew. The gardener planted a seed., A flower grew. The gardener planted a seed., A flower grew. The gardener planted a seed.," Sunlight filled the room.
A seed grew. The gardener planted a flower."
44,The team won the game. The team won the championship.,The team won the game.,The team won the championship.,False, The team won the game. The team won the championship., The team won the game. The team won the championship., The team won the game., The team won the game. The team won the championship.
45,The team won the championship. The team won the game.,The team won the game.,The team won the championship.,True, The team won the championship., A man was covered in sticky red goo. The team won the championship., The team won the championship.," Sunlight filled the room.

The team won the championship. Sunlight filled the room."
46,The door was locked. The man climbed in through the window.,The door was locked.,The man climbed in through the window.,False, The door was locked. The man climbed in through the window., The man climbed in through the window., The man climbed in through the window.," The man climbed in through the window.

The man climbed in through the window."
47,The man climbed in through the window. The door was locked.,The door was locked.,The man climbed in through the window.,True, The man climbed in through the window. The door was locked.," The man climbed in through the window.

The man climbed in through the window.", The man climbed in through the window. The door was locked., The man climbed in through the window. The door was locked.
48,The wind blew strong. The ship capsized.,The wind blew strong.,The ship capsized.,False, A man accidently pushed the vase off a counter. The wind blew strong. The ship caps, The ship capsized., The wind blew strong. The ship capsized., The wind blew strong. The ship capsized.
49,The ship capsized. The wind blew strong.,The wind blew strong.,The ship capsized.,True, The wind blew strong., The ship capsized. The wind blew strong., The ship capsized. The wind blew strong., The ship capsized. The wind blew strong.
50,The man robbed a gas station. The man went to jail.,The man robbed a gas station.,The man went to jail.,False, The man robbed a gas station. The man went to jail., The man robbed a gas station. The man went to jail., The man robbed a gas station. The man went to jail., The man robbed a gas station. The man went to jail.
51,The man went to jail. The man robbed a gas station.,The man robbed a gas station.,The man went to jail.,True, The man went to jail. The man robbed a gas station., The man went to jail. The man robbed a gas station.," The man went to jail.

The man robbed a gas station.", The man robbed a gas station.
52,Jill won the lawsuit against Acme. Acme paid Jill's legal fees.,Jill won the lawsuit against Acme.,Acme paid Jill's legal fees.,False, Jill won the lawsuit against Acme. Acme paid Jill's legal fees., Jill won the lawsuit against Acme. Acme paid Jill's legal fees., Jill won the lawsuit against Acme. Acme paid Jill's legal fees., Jill won the lawsuit against Acme. Acme paid Jill's legal fees.
53,Acme paid Jill's legal fees. Jill won the lawsuit against Acme.,Jill won the lawsuit against Acme.,Acme paid Jill's legal fees.,True, Jill won the lawsuit against Acme., Jill won the lawsuit against Acme., Jill won the lawsuit against Acme.," Jill won the lawsuit against Acme.

The man sued."
54,There was a snowstorm. School was cancelled.,There was a snowstorm.,School was cancelled.,False, There was a snowstorm. School was cancelled.," The boy lifted his eyes from the book.

The boy lifted his eyes from the book to", There was a snowstorm. School was cancelled., There was a snowstorm. School was cancelled.
55,School was cancelled. There was a snowstorm.,There was a snowstorm.,School was cancelled.,True, School was cancelled. There was a snowstorm., School was cancelled. There was a snowstorm., School was cancelled. There was a snowstorm., School was cancelled. There was a snowstorm.
56,The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.,The tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord.,False, The tenants contacted their landlord., The tenants contacted their landlord., The tenants contacted their landlord.,"

The tenants contacted their landlord."
57,The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.,The tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord.,True," The tenants contacted their landlord.

The tenants contacted their landlord."," The tenants contacted their landlord.

The tenants noticed mold on the bathroom ceiling."," The tenants contacted their landlord.

The tenants noticed mold on the bathroom ceiling."," The tenants contacted their landlord.

The tenants noticed mold on the bathroom ceiling."
58,I studied hard. I got an A on the test.,I studied hard.,I got an A on the test.,False, I studied hard. I got an A on the test., I studied hard. I got an A on the test., I studied hard. I got an A on the test., I studied hard. I got an A on the test.
59,I got an A on the test. I studied hard.,I studied hard.,I got an A on the test.,True, I studied hard., I got an A on the test. I studied hard., I studied hard., I studied hard.
60,The boy threw a rock. The window broke.,The boy threw a rock.,The window broke.,False, The boy threw a rock. The window broke., The boy threw a rock. The window broke., The boy threw a rock. The window broke., The boy threw a rock. The window broke.
61,The window broke. The boy threw a rock.,The boy threw a rock.,The window broke.,True, The window broke. The boy threw a rock., A man was covered in sticky red goo. The window broke. The boy threw a rock., There was a wardrobe malfunction. The window broke. The boy threw a rock., The window broke. The boy threw a rock.
62,The driver ran a red light. The driver was pulled over and was fined.,The driver ran a red light.,The driver was pulled over and was fined.,False, The driver ran a red light. The driver was pulled over and was fined., The driver was pulled over and was fined., The driver ran a red light. The driver was pulled over and was fined., The driver ran a red light. The driver was pulled over and was fined.
63,The driver was pulled over and was fined. The driver ran a red light.,The driver ran a red light.,The driver was pulled over and was fined.,True, The driver was pulled over and was fined. The driver ran a red light., The driver was pulled over and was fined. The driver ran a red light., The man robbed a gas station. The driver was pulled over and was fined. The driver ran a, The driver was pulled over and was fined. The driver ran a red light.
64,The girl skipped school. The girl got detention.,The girl skipped school.,The girl got detention.,False, The girl skipped school. The girl got detention., The girl skipped school. The girl got detention., The girl got detention., The girl skipped school. The girl got detention.
65,The girl got detention. The girl skipped school.,The girl skipped school.,The girl got detention.,True, The girl skipped school., The girl got detention. The girl skipped school., The girl got detention. The girl skipped school., The girl got detention. The girl skipped school.
66,I flipped the switch. Light filled the room.,I flipped the switch.,Light filled the room.,False, I flipped the switch. Light filled the room., I flipped the switch. Light filled the room., I flipped the switch. Light filled the room.," I flipped the switch.
The room filled with light."
67,Light filled the room. I flipped the switch.,I flipped the switch.,Light filled the room.,True, I flipped the switch., A search party was assembled. The man got lost in the woods., I flipped the switch., A light filled the room. I flipped the switch.
68,I pulled the dog's tail. The dog bit me.,I pulled the dog's tail.,The dog bit me.,False, I pulled the dog's tail. The dog bit me., I pulled the dog's tail. The dog bit me., The dog bit me., I pulled the dog's tail. The dog bit me.
69,The dog bit me. I pulled the dog's tail.,I pulled the dog's tail.,The dog bit me.,True, I pulled the dog's tail., The dog bit me. I pulled the dog's tail., The dog bit me. I pulled the dog's tail., I pulled the dog's tail.
70,School was on break. The family went on vacation.,School was on break.,The family went on vacation.,False, School was on break. The family went on vacation., School was on break. The family went on vacation., The family went on vacation., The family went on vacation.
71,The family went on vacation. School was on break.,School was on break.,The family went on vacation.,True, The family went on vacation. School was on break., The family went on vacation. School was on break., The family went on vacation. School was on break., The family went on vacation. School was on break.
72,The air conditioner broke. The family went to the beach.,The air conditioner broke.,The family went to the beach.,False, The family went to the beach., The family went to the beach., The family went to the beach., The family went to the beach.
73,The family went to the beach. The air conditioner broke.,The air conditioner broke.,The family went to the beach.,True," The family went to the beach.

The girl woke up covered in cold sweat. The girl", The family went to the beach. The air conditioner broke.," The family went to the beach.

The family went to the beach.", The family went to the beach. The air conditioner broke.
74,The girl had a fever. Mom gave the girl fever medicine.,The girl had a fever.,Mom gave the girl fever medicine.,False, Mom gave the girl fever medicine., Mom gave the girl fever medicine., Mom gave the girl fever medicine., Mom gave the girl fever medicine.
75,Mom gave the girl fever medicine. The girl had a fever.,The girl had a fever.,Mom gave the girl fever medicine.,True, Mom gave the girl fever medicine. The girl had a fever., Mom gave the girl fever medicine. The girl had a fever., Mom gave the girl fever medicine. The girl had a fever., Mom gave the girl fever medicine. The girl had a fever.
76,The bread was dry. We made French toast.,The bread was dry.,We made French toast.,False, The bread was dry. We made French toast.,"

The bread was dry. We made French toast.", We made French toast.,"

A man was covered in sticky red goo. A watermelon exploded."
77,We made French toast. The bread was dry.,The bread was dry.,We made French toast.,True, We made French toast. The bread was dry., We made French toast. The bread was dry., We made French toast. The bread was dry., We made French toast. The bread was dry.
78,The company's posted strong earnings. The company's stock went up.,The company's posted strong earnings.,The company's stock went up.,False, The company's stock went up., The company's stock went up., The company's stock went up.,"

The company's posted strong earnings. The company's stock went up."
79,The company's stock went up. The company's posted strong earnings.,The company's posted strong earnings.,The company's stock went up.,True, The company's stock went up., A search party was assembled. The company's stock went up. The company's posted strong earnings.," The company's stock went up.

The company's stock went up because of the snowstorm", The company's stock went up. The company's posted strong earnings.
80,My clothes got dirty. I put my clothes in the washing machine.,My clothes got dirty.,I put my clothes in the washing machine.,False, My clothes got dirty. I put my clothes in the washing machine., My clothes got dirty. I put my clothes in the washing machine., My clothes got dirty. I put my clothes in the washing machine., My clothes got dirty. I put my clothes in the washing machine.
81,I put my clothes in the washing machine. My clothes got dirty.,My clothes got dirty.,I put my clothes in the washing machine.,True, I put my clothes in the washing machine. My clothes got dirty., I put my clothes in the washing machine. My clothes got dirty., I put my clothes in the washing machine. My clothes got dirty., I put my clothes in the washing machine. My clothes got dirty.
82,My friend got a promotion. My friend celebrated with their family.,My friend got a promotion.,My friend celebrated with their family.,False, My friend got a promotion. My friend celebrated with their family., My friend got a promotion. My friend celebrated with their family., My friend got a promotion. My friend celebrated with their family., My friend got a promotion. My friend celebrated with their family.
83,My friend celebrated with their family. My friend got a promotion.,My friend got a promotion.,My friend celebrated with their family.,True, My friend celebrated with their family. My friend got a promotion., My friend celebrated with their family. My friend got a promotion., My friend celebrated with their family. My friend got a promotion., My friend got a promotion.
84,The basketball player was shoved. The basketball player took a free throw.,The basketball player was shoved.,The basketball player took a free throw.,False, The basketball player was shoved. The basketball player took a free throw., The basketball player was shoved. The basketball player took a free throw., The basketball player was shoved. The basketball player took a free throw., The basketball player was shoved. The basketball player took a free throw.
85,The basketball player took a free throw. The basketball player was shoved.,The basketball player was shoved.,The basketball player took a free throw.,True, The basketball player took a free throw. The basketball player was shoved., The basketball player took a free throw. The basketball player was shoved., The basketball player took a free throw. The basketball player was shoved., The basketball player was shoved.
86,Alice didn't wake up. Alice missed her flight.,Alice didn't wake up.,Alice missed her flight.,False, George plugged the laptop charger in.," The pilot turned on the ""fasten seatbelts"" light.

The effect of the", Alice didn't wake up., The soda went flat. Alice didn't wake up.
87,Alice missed her flight. Alice didn't wake up.,Alice didn't wake up.,Alice missed her flight.,True, I missed my flight. Alice didn't wake up., Alice missed her flight. Alice didn't wake up., Alice missed her flight. Alice didn't wake up., Alice missed her flight. Alice didn't wake up.
88,The floor was wet. The man sued.,The floor was wet.,The man sued.,False, The man sued., The floor was wet. The man sued., The floor was wet. The man sued., A man was covered in sticky red goo. The floor was wet. The man sued.
89,The man sued. The floor was wet.,The floor was wet.,The man sued.,True, The floor was wet., Sunlight filled the room. The man sued. The floor was wet., The man sued. The floor was wet., The man sued. The floor was wet.
90,It rained. The picnic was cancelled.,It rained.,The picnic was cancelled.,False, It rained. The picnic was cancelled., It rained. The picnic was cancelled., It rained. The picnic was cancelled., It rained. The picnic was cancelled.
91,The picnic was cancelled. It rained.,It rained.,The picnic was cancelled.,True, It rained., The picnic was cancelled. It rained., The picnic was cancelled. It rained., It rained.
92,The girl didn't wear her sweater. The girl caught a cold.,The girl didn't wear her sweater.,The girl caught a cold.,False," The girl didn't wear her sweater.

The girl caught a cold.", The girl didn't wear her sweater. The girl caught a cold., A girl didn't wear her sweater. The girl caught a cold., The girl didn't wear her sweater. The girl caught a cold.
93,The girl caught a cold. The girl didn't wear her sweater.,The girl didn't wear her sweater.,The girl caught a cold.,True, A girl caught a cold. The girl didn't wear her sweater., The girl caught a cold. The girl didn't wear her sweater., The girl caught a cold. The girl didn't wear her sweater., Sunlight filled the room. The girl caught a cold.
94,The man got lost in the woods. A search party was assembled.,The man got lost in the woods.,A search party was assembled.,False, A search party was assembled., A search party was assembled.," A search party was assembled.

The man was lost in the woods. A search party was", A search party was assembled.
95,A search party was assembled. The man got lost in the woods.,The man got lost in the woods.,A search party was assembled.,True, A search party was assembled. The man got lost in the woods., A search party was assembled. The man got lost in the woods., A search party was assembled. The man got lost in the woods., A search party was assembled. The man got lost in the woods.
96,Ted went out drinking. Ted had a hangover.,Ted went out drinking.,Ted had a hangover.,False, Ted went out drinking. Ted had a hangover., Ted went out drinking. Ted had a hangover., Ted went out drinking., Ted went out drinking.
97,Ted had a hangover. Ted went out drinking.,Ted went out drinking.,Ted had a hangover.,True, Ted had a hangover., Ted had a hangover. Ted went out drinking.," Ted had a hangover.

Ted went out drinking.", Ted had a hangover. Ted went out drinking.
98,Alice ate the last cookie. Bob opened the jar and was frustrated.,Alice ate the last cookie.,Bob opened the jar and was frustrated.,False, Alice ate the last cookie. Bob opened the jar and was frustrated.," Bob opened the jar and was frustrated.

The man got lost in the woods and was frustrated", Bob opened the jar and was frustrated., Alice ate the last cookie. Bob opened the jar and was frustrated.
99,Bob opened the jar and was frustrated. Alice ate the last cookie.,Alice ate the last cookie.,Bob opened the jar and was frustrated.,True,"

Alice ate the last cookie.", Bob opened the jar and was frustrated. Alice ate the last cookie., Bob opened the jar and was frustrated. Alice ate the last cookie., Bob opened the jar and was frustrated. Alice ate the last cookie.
100,Jimmy took the last piece of cake. Mom rinsed the tray.,Jimmy took the last piece of cake.,Mom rinsed the tray.,False, Jimmy took the last piece of cake. Mom rinsed the tray.," Jimmy took the last piece of cake.

The picnic was cancelled.", Jimmy took the last piece of cake. Mom rinsed the tray.," Jimmy took the last piece of cake.

The ship capsized. The wind blew strong."
101,Mom rinsed the tray. Jimmy took the last piece of cake.,Jimmy took the last piece of cake.,Mom rinsed the tray.,True, Mom rinsed the tray. Jimmy took the last piece of cake., Mom rinsed the tray. Jimmy took the last piece of cake., Mom rinsed the tray. Jimmy took the last piece of cake., Jimmy took the last piece of cake.
