prompts,correct_answers,cause_answers,effect_answers
The girl had a nightmare. The girl woke up covered in cold sweat.,The girl had a nightmare.,"

The sentence ""The girl had a nightmare"" is the cause of the other sentence, ""The girl woke up covered","

The sentence ""The girl had a nightmare"" is the effect of the other."
The girl woke up covered in cold sweat. The girl had a nightmare.,The girl had a nightmare.,"

The sentence ""The girl had a nightmare"" is the cause of the other sentence ""The girl woke up covered in","

The sentence ""The girl woke up covered in cold sweat"" is the effect of the other."
It started raining. The driver turned the wipers on.,It started raining.,"

The sentence ""It started raining"" is the cause of the other sentence, ""The driver turned the wipers on","

The sentence ""The driver turned the wipers on"" is the effect of the other."
The driver turned the wipers on. It started raining.,It started raining.,"

The sentence ""It started raining"" is the cause of the other sentence.","

The sentence ""It started raining"" is the effect of the other sentence, ""The driver turned the wipers on"
A watermelon exploded. A man was covered in sticky red goo.,A watermelon exploded.,"

A watermelon exploded.","

A watermelon exploded. A man was covered in sticky red goo.

The effect of the other sentence"
A man was covered in sticky red goo. A watermelon exploded.,A watermelon exploded.,"

The sentence that is the cause of the other is ""A watermelon exploded.""","

The sentence ""A watermelon exploded"" is the effect of the other."
She noticed that she was out of toilet paper. She went to the store and bought toilet paper.,She noticed that she was out of toilet paper.,"

The sentence ""She went to the store and bought toilet paper"" is the cause of the other sentence.","

The sentence ""She went to the store and bought toilet paper"" is the effect of the other."
She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper.,"

The sentence ""She went to the store and bought toilet paper"" is the cause of the other sentence.","

The first sentence is the effect of the other."
A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth.,"

The sentence ""A large object hit the Earth"" is the cause of the other sentence, ""The dinosaurs became extinct","

The sentence ""The dinosaurs became extinct"" is the effect of the other sentence."
The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth.,"

The sentence ""A large object hit the Earth"" is the cause of the other sentence, ""The dinosaurs became extinct","

The sentence ""The dinosaurs became extinct"" is the effect of the other sentence, ""A large object hit the Earth"
The bottle was left open. The soda went flat.,The bottle was left open.,"

The sentence that is the cause of the other is ""The bottle was left open.""","

The sentence ""The soda went flat"" is the effect of the other sentence, ""The bottle was left open."""
The soda went flat. The bottle was left open.,The bottle was left open.,"

The sentence ""The bottle was left open"" is the cause of the other.","

The sentence ""The bottle was left open"" is the effect of the other."
The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery.,"

The sentence that is the cause of the other is ""George plugged the laptop charger in.""","

The sentence that is the effect of the other is ""George plugged the laptop charger in."""
George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery.,"

The sentence that is the cause of the other is ""The laptop ran out of battery.""","

The first sentence is the effect of the other."
The curtains were opened. Sunlight filled the room.,The curtains were opened.,"

The sentence that is the cause of the other is ""The curtains were opened.""","

The sentence ""Sunlight filled the room"" is the effect of the other sentence ""The curtains were opened."""
Sunlight filled the room. The curtains were opened.,The curtains were opened.,"

The sentence that opens the curtains is the cause of the sunlight filling the room.","

The sentence ""The curtains were opened"" is the effect of the other sentence, ""Sunlight filled the room."""
The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers.,"

The sentence ""The insect pollinated the tomato flowers"" is the cause of the other sentence, ""Tomatoes grew","

The sentence ""Tomatoes grew on the vine"" is the effect of the other sentence, ""The insect pollinated"
Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers.,"

The sentence ""The insect pollinated the tomato flowers"" is the cause of the other sentence, ""Tomatoes grew","

The sentence ""Tomatoes grew on the vine"" is the effect of the other sentence."
The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street.,"

The sentence ""The girl stepped onto the street"" is the cause of the other sentence ""The driver hit the brakes","

The sentence ""The driver hit the brakes"" is the effect of the other."
The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street.,"

The sentence ""The driver hit the brakes"" is the cause of the other sentence ""The girl stepped onto the street","

The sentence ""The driver hit the brakes"" is the effect of the other."
There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction.,"

The performer ran off the stage because there was a wardrobe malfunction.","

The performer ran off the stage because there was a wardrobe malfunction."
The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction.,"

The sentence ""There was a wardrobe malfunction"" is the cause of the other sentence ""The performer ran off the stage","

The performer ran off the stage."
"A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light.",A bird hit the engine.,"

The bird hitting the engine is the cause of the ""fasten seatbelts"" light turning on.","

The sentence ""The pilot turned on the ""fasten seatbelts"" light"" is the effect of the other"
"The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.",A bird hit the engine.,"

The bird hitting the engine is the cause of the ""fasten seatbelts"" light turning on.","

The bird hitting the engine is the effect of the fasten seatbelts light being turned on."
The milk was left outside the fridge over night. The man sipped the milk and spit it out.,The milk was left outside the fridge over night.,"

The milk was left outside the fridge over night.","

The milk was left outside the fridge over night. The man sipped the milk and spit it out.

"
The man sipped the milk and spit it out. The milk was left outside the fridge over night.,The milk was left outside the fridge over night.,"

The sentence that is the cause of the other is ""The milk was left outside the fridge over night.""","

The milk was left outside the fridge over night."
The man couldn't hear what the woman was saying. The man turned down the music volume.,The man couldn't hear what the woman was saying.,"

The man turning down the music volume is the cause of the woman being able to talk to him.","

The sentence ""The man turned down the music volume"" is the effect of the other."
The man turned down the music volume. The man couldn't hear what the woman was saying.,The man couldn't hear what the woman was saying.,"

The man turned down the music volume because he couldn't hear what the woman was saying.","

The man turned down the music volume."
The power was out for days. The meat spoiled.,The power was out for days.,"

The sentence ""The meat spoiled"" is the cause of the other sentence ""The power was out for days.""","

The sentence ""The meat spoiled"" is the effect of the other sentence ""The power was out for days."""
The meat spoiled. The power was out for days.,The power was out for days.,"

The meat spoiled because the power was out for days.","

The meat spoiled is the effect of the power being out for days."
The gardener planted a seed. A flower grew.,The gardener planted a seed.,"

The gardener planted a seed. A flower grew.

The sentence ""The gardener planted a seed""","

The sentence ""A flower grew"" is the effect of the other."
A flower grew. The gardener planted a seed.,The gardener planted a seed.,"

The sentence that is the cause of the other is ""The gardener planted a seed.""","

The sentence ""A flower grew"" is the effect of the other sentence, ""The gardener planted a seed."""
The team won the game. The team won the championship.,The team won the game.,"

The sentence ""The team won the championship"" is the cause of the other.","

The sentence ""The team won the championship"" is the effect of the other."
The team won the championship. The team won the game.,The team won the game.,"

The sentence ""The team won the game"" is the cause of the other.","

The sentence ""The team won the game"" is the effect of the other."
The door was locked. The man climbed in through the window.,The door was locked.,"

The man climbed in through the window.","

The man climbed in through the window, which was locked."
The man climbed in through the window. The door was locked.,The door was locked.,"

The man climbed in through the window because the door was locked.","

The man climbed in through the window; the door was locked."
The wind blew strong. The ship capsized.,The wind blew strong.,"

The sentence ""The wind blew strong"" is the cause of the other sentence.","

The sentence ""The wind blew strong"" is the effect of the other."
The ship capsized. The wind blew strong.,The wind blew strong.,"

The sentence ""The ship capsized"" is the cause of the other sentence ""The wind blew strong.""","

The sentence ""The ship capsized"" is the effect of the other."
The man robbed a gas station. The man went to jail.,The man robbed a gas station.,"

The man robbed a gas station, which caused him to go to jail.","

The man went to jail is the effect of the man robbed a gas station."
The man went to jail. The man robbed a gas station.,The man robbed a gas station.,"

The man robbed a gas station, which is the cause of him going to jail.","

The man went to jail is the effect of the other."
Jill won the lawsuit against Acme. Acme paid Jill's legal fees.,Jill won the lawsuit against Acme.,"

The sentence ""Acme paid Jill's legal fees"" is the cause of the other sentence, ""Jill won","

The effect of the other sentence is that Jill won the lawsuit against Acme."
Acme paid Jill's legal fees. Jill won the lawsuit against Acme.,Jill won the lawsuit against Acme.,"

The sentence ""Acme paid Jill's legal fees"" is the cause of the other sentence ""Jill won the","

The effect of the other sentence is that Acme paid Jill's legal fees."
There was a snowstorm. School was cancelled.,There was a snowstorm.,"

The sentence ""School was cancelled"" is the cause of the other.","

The sentence ""School was cancelled"" is the effect of the other."
School was cancelled. There was a snowstorm.,There was a snowstorm.,"

The sentence ""School was cancelled. There was a snowstorm."" is the cause of the other.","

The sentence ""School was cancelled. There was a snowstorm."" is the effect of the other."
The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.,The tenants noticed mold on the bathroom ceiling.,"

The tenants noticed mold on the bathroom ceiling.

The tenants contacted their landlord.","

The sentence ""The tenants noticed mold on the bathroom ceiling"" is the effect of the other."
The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.,The tenants noticed mold on the bathroom ceiling.,"

The sentence ""The tenants contacted their landlord"" is the cause of the other.","

The sentence ""The tenants contacted their landlord"" is the effect of the other."
I studied hard. I got an A on the test.,I studied hard.,"

The sentence ""I got an A on the test"" is the cause of the other sentence ""I studied hard.""","

The sentence ""I got an A on the test"" is the effect of the other sentence ""I studied hard."""
I got an A on the test. I studied hard.,I studied hard.,"

The sentence ""I got an A on the test"" is the cause of the other sentence ""I studied hard.""","

The first sentence is the cause and the second sentence is the effect."
The boy threw a rock. The window broke.,The boy threw a rock.,"

The sentence that is the cause of the other is ""The boy threw a rock.""","

The sentence ""The window broke"" is the effect of the other."
The window broke. The boy threw a rock.,The boy threw a rock.,"

The sentence that is the cause of the other is ""The boy threw a rock.""","

The sentence ""The window broke"" is the effect of the other."
The driver ran a red light. The driver was pulled over and was fined.,The driver ran a red light.,"

The sentence ""The driver was fined"" is the cause of the other.","

The driver was fined for running a red light."
The driver was pulled over and was fined. The driver ran a red light.,The driver ran a red light.,"

The driver was fined because he ran a red light.","

The driver was fined for running a red light."
The girl skipped school. The girl got detention.,The girl skipped school.,"

The sentence ""The girl skipped school"" is the cause of the other sentence ""The girl got detention.""","

The sentence ""The girl skipped school"" is the effect of the other."
The girl got detention. The girl skipped school.,The girl skipped school.,"

The girl got detention because she skipped school.","

The girl got detention is the effect of the other."
I flipped the switch. Light filled the room.,I flipped the switch.,"

The sentence ""I flipped the switch"" is the cause of the other sentence, ""Light filled the room.""","

The sentence ""I flipped the switch"" is the effect of the other sentence, ""Light filled the room."""
Light filled the room. I flipped the switch.,I flipped the switch.,"

The sentence ""I flipped the switch"" is the cause of the other sentence.","

The sentence ""I flipped the switch"" is the effect of the other sentence."
I pulled the dog's tail. The dog bit me.,I pulled the dog's tail.,"

The sentence ""I pulled the dog's tail"" is the cause of the other sentence.","

The sentence ""The dog bit me"" is the effect of the other."
The dog bit me. I pulled the dog's tail.,I pulled the dog's tail.,"

The sentence ""I pulled the dog's tail"" is the cause of the other.","

The sentence ""I pulled the dog's tail"" is the effect of the other."
School was on break. The family went on vacation.,School was on break.,"

The family went on vacation because school was on break.","

The family went on vacation. School was on break."
The family went on vacation. School was on break.,School was on break.,"

The family went on vacation. School was on break.

The family went on vacation because school was on break","

The family went on vacation. School was on break.

The family's vacation caused school to be on break"
The air conditioner broke. The family went to the beach.,The air conditioner broke.,"

The air conditioner broke is the cause of the family going to the beach.","

The family went to the beach because the air conditioner broke."
The family went to the beach. The air conditioner broke.,The air conditioner broke.,"

The family went to the beach. The air conditioner broke.

The air conditioner breaking is the cause","

The family went to the beach. The air conditioner broke.

The air conditioner breaking is the effect"
The girl had a fever. Mom gave the girl fever medicine.,The girl had a fever.,"

The sentence ""Mom gave the girl fever medicine"" is the cause of the other.","

The sentence ""Mom gave the girl fever medicine"" is the effect of the other."
Mom gave the girl fever medicine. The girl had a fever.,The girl had a fever.,"

The sentence ""The girl had a fever"" is the cause of the other sentence ""Mom gave the girl fever medicine","

The first sentence is the effect of the other."
The bread was dry. We made French toast.,The bread was dry.,"

The bread was dry.","

The bread was dry. We made French toast.

The sentence ""We made French toast"" is the effect"
We made French toast. The bread was dry.,The bread was dry.,"

The bread was dry.","

The bread was dry."
The company's posted strong earnings. The company's stock went up.,The company's posted strong earnings.,"

The company's stock went up because the company had strong earnings.","

The company's stock went up is the effect of the company's strong earnings."
The company's stock went up. The company's posted strong earnings.,The company's posted strong earnings.,"

The company's stock went up because the company's posted strong earnings.","

The company's stock went up because the company posted strong earnings."
My clothes got dirty. I put my clothes in the washing machine.,My clothes got dirty.,"

The sentence ""I put my clothes in the washing machine"" is the cause of the other sentence ""my clothes got","

The first sentence is the cause of the second sentence."
I put my clothes in the washing machine. My clothes got dirty.,My clothes got dirty.,"

The sentence ""My clothes got dirty"" is the cause of the other.","

The sentence ""My clothes got dirty"" is the effect of the other."
My friend got a promotion. My friend celebrated with their family.,My friend got a promotion.,"

The promotion of my friend is the cause of their celebration with their family.","

The sentence ""My friend celebrated with their family"" is the effect of the other."
My friend celebrated with their family. My friend got a promotion.,My friend got a promotion.,"

My friend's promotion is the cause of their family celebration.","

My friend's promotion is the effect of their family's celebration."
The basketball player was shoved. The basketball player took a free throw.,The basketball player was shoved.,"

The basketball player was shoved.","

The basketball player took a free throw."
The basketball player took a free throw. The basketball player was shoved.,The basketball player was shoved.,"

The basketball player was shoved, which caused him to take a free throw.","

The basketball player was shoved, so he took a free throw."
Alice didn't wake up. Alice missed her flight.,Alice didn't wake up.,"

The sentence ""Alice didn't wake up"" is the cause of the other sentence.","

The sentence ""Alice didn't wake up"" is the effect of the other sentence."
Alice missed her flight. Alice didn't wake up.,Alice didn't wake up.,"

The sentence ""Alice didn't wake up"" is the cause of the other.","

The sentence ""Alice missed her flight"" is the effect of the other sentence ""Alice didn't wake up."""
The floor was wet. The man sued.,The floor was wet.,"

The floor was wet.","

The floor was wet, so the man sued."
The man sued. The floor was wet.,The floor was wet.,"

The sentence ""The floor was wet"" is the cause of the other.","

The man sued because the floor was wet."
It rained. The picnic was cancelled.,It rained.,"

The sentence ""The picnic was cancelled."" is the cause of the other.","

The sentence ""The picnic was cancelled."" is the effect of the other sentence, ""It rained."""
The picnic was cancelled. It rained.,It rained.,"

The sentence ""The picnic was cancelled. It rained."" is the cause of the other.","

The picnic was cancelled because it rained."
The girl didn't wear her sweater. The girl caught a cold.,The girl didn't wear her sweater.,"

The sentence ""The girl didn't wear her sweater"" is the cause of the other sentence, ""The girl caught","

The sentence ""The girl caught a cold"" is the effect of the other."
The girl caught a cold. The girl didn't wear her sweater.,The girl didn't wear her sweater.,"

The sentence ""The girl caught a cold"" is the cause of the other sentence ""The girl didn't wear her","

The sentence ""The girl caught a cold"" is the effect of the other."
The man got lost in the woods. A search party was assembled.,The man got lost in the woods.,"

The sentence ""A search party was assembled"" is the cause of the other sentence, ""The man got lost in","

The sentence ""A search party was assembled"" is the effect of the other."
A search party was assembled. The man got lost in the woods.,The man got lost in the woods.,"

The man got lost in the woods.","

The man got lost in the woods. A search party was assembled."
Ted went out drinking. Ted had a hangover.,Ted went out drinking.,"

The sentence ""Ted had a hangover"" is the cause of the other.","

The first sentence is the cause of the second sentence."
Ted had a hangover. Ted went out drinking.,Ted went out drinking.,"

The sentence ""Ted went out drinking"" is the cause of the other.","

The first sentence is the cause of the second."
Alice ate the last cookie. Bob opened the jar and was frustrated.,Alice ate the last cookie.,"

The sentence that is the cause of the other is ""Bob opened the jar and was frustrated.""","

The sentence ""Bob opened the jar and was frustrated"" is the effect of the other."
Bob opened the jar and was frustrated. Alice ate the last cookie.,Alice ate the last cookie.,"

The sentence that is the cause of the other is ""Alice ate the last cookie.""","

The sentence ""Alice ate the last cookie"" is the effect of the other."
Jimmy took the last piece of cake. Mom rinsed the tray.,Jimmy took the last piece of cake.,"

The sentence ""Jimmy took the last piece of cake"" is the cause of the other sentence ""Mom rinsed","

The sentence ""Jimmy took the last piece of cake"" is the effect of the sentence ""Mom rinsed the"
Mom rinsed the tray. Jimmy took the last piece of cake.,Jimmy took the last piece of cake.,"

The sentence ""Jimmy took the last piece of cake"" is the cause of the other sentence ""Mom rinsed","

The sentence ""Jimmy took the last piece of cake"" is the effect of the other sentence, ""Mom rins"
