,prompts,correct_answers,answers
13,"The girl had a nightmare because the girl woke up covered in cold sweat.
The girl woke up covered in cold sweat because the girl had a nightmare.",The girl woke up covered in cold sweat because the girl had a nightmare.,"

The sentence that gets cause and effect right is ""The girl woke up covered in cold sweat"
14,"The driver turned the wipers on because it started raining.
It started raining because the driver turned the wipers on.",The driver turned the wipers on because it started raining.,"

The sentence that gets cause and effect right is ""It started raining because the driver turned the"
15,"It started raining because the driver turned the wipers on.
The driver turned the wipers on because it started raining.",The driver turned the wipers on because it started raining.,"

The sentence that gets cause and effect right is ""The driver turned the wipers on because"
16,"A man was covered in sticky red goo because a watermelon exploded.
A watermelon exploded because a man was covered in sticky red goo.",A man was covered in sticky red goo because a watermelon exploded.,"

A watermelon exploded because a man was covered in sticky red goo."
17,"A watermelon exploded because a man was covered in sticky red goo.
A man was covered in sticky red goo because a watermelon exploded.",A man was covered in sticky red goo because a watermelon exploded.,"

A watermelon exploded because a man was covered in sticky red goo."
18,"She went to the store and bought toilet paper because she noticed that she was out of toilet paper.
She noticed that she was out of toilet paper because she went to the store and bought toilet paper.",She went to the store and bought toilet paper because she noticed that she was out of toilet paper.,"

The sentence that gets cause and effect right is ""She noticed that she was out of toilet"
19,"She noticed that she was out of toilet paper because she went to the store and bought toilet paper.
She went to the store and bought toilet paper because she noticed that she was out of toilet paper.",She went to the store and bought toilet paper because she noticed that she was out of toilet paper.,"

The sentence that gets cause and effect right is ""She went to the store and bought toilet"
20,"The dinosaurs became extinct because a large object hit the Earth.
A large object hit the Earth because the dinosaurs became extinct.",The dinosaurs became extinct because a large object hit the Earth.,"

The sentence that gets cause and effect right is ""A large object hit the Earth because the"
21,"A large object hit the Earth because the dinosaurs became extinct.
The dinosaurs became extinct because a large object hit the Earth.",The dinosaurs became extinct because a large object hit the Earth.,"

The sentence that gets cause and effect right is ""The dinosaurs became extinct because a large object"
22,"The soda went flat because the bottle was left open.
The bottle was left open because the soda went flat.",The soda went flat because the bottle was left open.,"

The sentence that gets cause and effect right is ""The bottle was left open because the soda"
23,"The bottle was left open because the soda went flat.
The soda went flat because the bottle was left open.",The soda went flat because the bottle was left open.,"

The sentence that gets cause and effect right is ""The soda went flat because the bottle was"
24,"George plugged the laptop charger in because the laptop ran out of battery.
The laptop ran out of battery because George plugged the laptop charger in.",George plugged the laptop charger in because the laptop ran out of battery.,"

The sentence that gets cause and effect right is ""The laptop ran out of battery because George"
25,"The laptop ran out of battery because George plugged the laptop charger in.
George plugged the laptop charger in because the laptop ran out of battery.",George plugged the laptop charger in because the laptop ran out of battery.,"

The sentence that gets cause and effect right is ""George plugged the laptop charger in because the"
26,"Sunlight filled the room because the curtains were opened.
The curtains were opened because sunlight filled the room.",Sunlight filled the room because the curtains were opened.,"

The sentence that gets cause and effect right is ""The curtains were opened because sunlight filled the"
27,"The curtains were opened because sunlight filled the room.
Sunlight filled the room because the curtains were opened.",Sunlight filled the room because the curtains were opened.,"

The sentence that gets cause and effect right is ""Sunlight filled the room because the curtains"
28,"Tomatoes grew on the vine because the insect pollinated the tomato flowers.
The insect pollinated the tomato flowers because tomatoes grew on the vine.",Tomatoes grew on the vine because the insect pollinated the tomato flowers.,"

The sentence that gets cause and effect right is ""The insect pollinated the tomato flowers because"
29,"The insect pollinated the tomato flowers because tomatoes grew on the vine.
Tomatoes grew on the vine because the insect pollinated the tomato flowers.",Tomatoes grew on the vine because the insect pollinated the tomato flowers.,"

The sentence that gets cause and effect right is ""Tomatoes grew on the vine because the"
30,"The driver hit the brakes because the girl stepped onto the street.
The girl stepped onto the street because the driver hit the brakes.",The driver hit the brakes because the girl stepped onto the street.,"

The sentence that gets cause and effect right is ""The girl stepped onto the street because the"
31,"The girl stepped onto the street because the driver hit the brakes.
The driver hit the brakes because the girl stepped onto the street.",The driver hit the brakes because the girl stepped onto the street.,"

The driver hit the brakes because the girl stepped onto the street."
32,"The performer ran off the stage because there was a wardrobe malfunction.
There was a wardrobe malfunction because the performer ran off the stage.",The performer ran off the stage because there was a wardrobe malfunction.,"

The sentence that gets cause and effect right is ""The performer ran off the stage because there"
33,"There was a wardrobe malfunction because the performer ran off the stage.
The performer ran off the stage because there was a wardrobe malfunction.",The performer ran off the stage because there was a wardrobe malfunction.,"

The sentence that gets cause and effect right is ""The performer ran off the stage because there"
34,"The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine.
A bird hit the engine because the pilot turned on the ""fasten seatbelts"" light.","The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine.","

The sentence that gets cause and effect right is ""A bird hit the engine because the pilot"
35,"A bird hit the engine because the pilot turned on the ""fasten seatbelts"" light.
The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine.","The pilot turned on the ""fasten seatbelts"" light because a bird hit the engine.","

The sentence that gets cause and effect right is ""The pilot turned on the ""fasten"
36,"The man sipped the milk and spit it out because the milk was left outside the fridge over night.
The milk was left outside the fridge over night because the man sipped the milk and spit it out.",The man sipped the milk and spit it out because the milk was left outside the fridge over night.,"

The sentence with the cause and effect in the correct order is ""The man sipped the"
37,"The milk was left outside the fridge over night because the man sipped the milk and spit it out.
The man sipped the milk and spit it out because the milk was left outside the fridge over night.",The man sipped the milk and spit it out because the milk was left outside the fridge over night.,"

The milk was left outside the fridge over night, so the man sipped the milk and"
38,"The man turned down the music volume because the man couldn't hear what the woman was saying.
The man couldn't hear what the woman was saying because the man turned down the music volume.",The man turned down the music volume because the man couldn't hear what the woman was saying.,"

The sentence that gets cause and effect right is ""The man couldn't hear what the woman"
39,"The man couldn't hear what the woman was saying because the man turned down the music volume.
The man turned down the music volume because the man couldn't hear what the woman was saying.",The man turned down the music volume because the man couldn't hear what the woman was saying.,"

The man turned down the music volume because the man couldn't hear what the woman was saying"
40,"The meat spoiled because the power was out for days.
The power was out for days because the meat spoiled.",The meat spoiled because the power was out for days.,"

The meat spoiled because the power was out for days."
41,"The power was out for days because the meat spoiled.
The meat spoiled because the power was out for days.",The meat spoiled because the power was out for days.,"

The sentence that gets cause and effect right is ""The meat spoiled because the power was out"
42,"A flower grew because the gardener planted a seed.
The gardener planted a seed because a flower grew.",A flower grew because the gardener planted a seed.,"

The sentence that gets cause and effect right is ""The gardener planted a seed because a"
43,"The gardener planted a seed because a flower grew.
A flower grew because the gardener planted a seed.",A flower grew because the gardener planted a seed.,"

The sentence that gets cause and effect right is ""A flower grew because the gardener planted"
44,"The team won the championship because the team won the game.
The team won the game because the team won the championship.",The team won the championship because the team won the game.,"

The sentence that gets cause and effect right is ""The team won the game because the team"
45,"The team won the game because the team won the championship.
The team won the championship because the team won the game.",The team won the championship because the team won the game.,"

The sentence that gets cause and effect right is ""The team won the championship because the team"
46,"The man climbed in through the window because the door was locked.
The door was locked because the man climbed in through the window.",The man climbed in through the window because the door was locked.,"

The sentence that gets cause and effect right is ""The door was locked because the man climbed"
47,"The door was locked because the man climbed in through the window.
The man climbed in through the window because the door was locked.",The man climbed in through the window because the door was locked.,"

The sentence that gets cause and effect right is ""The man climbed in through the window because"
48,"The ship capsized because the wind blew strong.
The wind blew strong because the ship capsized.",The ship capsized because the wind blew strong.,"

The sentence that gets cause and effect right is ""The wind blew strong because the ship caps"
49,"The wind blew strong because the ship capsized.
The ship capsized because the wind blew strong.",The ship capsized because the wind blew strong.,"

The sentence that gets cause and effect right is ""The ship capsized because the wind blew"
50,"The man went to jail because the man robbed a gas station.
The man robbed a gas station because the man went to jail.",The man went to jail because the man robbed a gas station.,"

The man robbed a gas station because he needed money to bail his friend out of jail."
51,"The man robbed a gas station because the man went to jail.
The man went to jail because the man robbed a gas station.",The man went to jail because the man robbed a gas station.,"

The sentence that gets cause and effect right is ""The man robbed a gas station because the"
52,"Acme paid Jill's legal fees because Jill won the lawsuit against Acme.
Jill won the lawsuit against Acme because acme paid Jill's legal fees.",Acme paid Jill's legal fees because Jill won the lawsuit against Acme.,"

The sentence that gets cause and effect right is ""Jill won the lawsuit against Acme"
53,"Jill won the lawsuit against Acme because acme paid Jill's legal fees.
Acme paid Jill's legal fees because Jill won the lawsuit against Acme.",Acme paid Jill's legal fees because Jill won the lawsuit against Acme.,"

The sentence that gets cause and effect right is ""Acme paid Jill's legal fees because"
54,"School was cancelled because there was a snowstorm.
There was a snowstorm because school was cancelled.",School was cancelled because there was a snowstorm.,"

The sentence that gets cause and effect right is ""There was a snowstorm because school was"
55,"There was a snowstorm because school was cancelled.
School was cancelled because there was a snowstorm.",School was cancelled because there was a snowstorm.,"

The sentence that gets cause and effect right is ""School was cancelled because there was a snow"
56,"The tenants contacted their landlord because the tenants noticed mold on the bathroom ceiling.
The tenants noticed mold on the bathroom ceiling because the tenants contacted their landlord.",The tenants contacted their landlord because the tenants noticed mold on the bathroom ceiling.,"

The sentence with the cause and effect in the correct order is ""The tenants noticed mold on"
57,"The tenants noticed mold on the bathroom ceiling because the tenants contacted their landlord.
The tenants contacted their landlord because the tenants noticed mold on the bathroom ceiling.",The tenants contacted their landlord because the tenants noticed mold on the bathroom ceiling.,"

The sentence with the cause and effect in the correct order is ""The tenants contacted their landlord"
58,"I got an A on the test because i studied hard.
I studied hard because i got an A on the test.",I got an A on the test because i studied hard.,"

The sentence that gets cause and effect right is ""I studied hard because i got an A"
59,"I studied hard because i got an A on the test.
I got an A on the test because i studied hard.",I got an A on the test because i studied hard.,"

The sentence that gets cause and effect right is ""I got an A on the test because"
60,"The window broke because the boy threw a rock.
The boy threw a rock because the window broke.",The window broke because the boy threw a rock.,"

The window broke because the boy threw a rock."
61,"The boy threw a rock because the window broke.
The window broke because the boy threw a rock.",The window broke because the boy threw a rock.,"

The window broke because the boy threw a rock."
62,"The driver was pulled over and was fined because the driver ran a red light.
The driver ran a red light because the driver was pulled over and was fined.",The driver was pulled over and was fined because the driver ran a red light.,"

The sentence that gets cause and effect right is ""The driver ran a red light because the"
63,"The driver ran a red light because the driver was pulled over and was fined.
The driver was pulled over and was fined because the driver ran a red light.",The driver was pulled over and was fined because the driver ran a red light.,"

The sentence that gets cause and effect right is ""The driver was pulled over and was fined"
64,"The girl got detention because the girl skipped school.
The girl skipped school because the girl got detention.",The girl got detention because the girl skipped school.,"

The sentence that gets cause and effect right is ""The girl skipped school because the girl got"
65,"The girl skipped school because the girl got detention.
The girl got detention because the girl skipped school.",The girl got detention because the girl skipped school.,"

The sentence that gets cause and effect right is ""The girl got detention because the girl skipped"
66,"Light filled the room because i flipped the switch.
I flipped the switch because light filled the room.",Light filled the room because i flipped the switch.,"

The sentence ""I flipped the switch because light filled the room"" gets cause and effect right"
67,"I flipped the switch because light filled the room.
Light filled the room because i flipped the switch.",Light filled the room because i flipped the switch.,"

The sentence ""I flipped the switch because light filled the room"" gets cause and effect right"
68,"The dog bit me because i pulled the dog's tail.
I pulled the dog's tail because the dog bit me.",The dog bit me because i pulled the dog's tail.,"

The sentence that gets cause and effect right is ""I pulled the dog's tail because the"
69,"I pulled the dog's tail because the dog bit me.
The dog bit me because i pulled the dog's tail.",The dog bit me because i pulled the dog's tail.,"

The sentence that gets cause and effect right is ""The dog bit me because i pulled the"
70,"The family went on vacation because school was on break.
School was on break because the family went on vacation.",The family went on vacation because school was on break.,"

The family went on vacation because school was on break."
71,"School was on break because the family went on vacation.
The family went on vacation because school was on break.",The family went on vacation because school was on break.,"

The sentence that gets cause and effect right is ""The family went on vacation because school was"
72,"The family went to the beach because the air conditioner broke.
The air conditioner broke because the family went to the beach.",The family went to the beach because the air conditioner broke.,"

The family went to the beach because the air conditioner broke."
73,"The air conditioner broke because the family went to the beach.
The family went to the beach because the air conditioner broke.",The family went to the beach because the air conditioner broke.,"

The sentence that gets cause and effect right is ""The family went to the beach because the"
74,"Mom gave the girl fever medicine because the girl had a fever.
The girl had a fever because mom gave the girl fever medicine.",Mom gave the girl fever medicine because the girl had a fever.,"

The sentence that gets cause and effect right is ""The girl had a fever because mom gave"
75,"The girl had a fever because mom gave the girl fever medicine.
Mom gave the girl fever medicine because the girl had a fever.",Mom gave the girl fever medicine because the girl had a fever.,"

The sentence that gets cause and effect right is ""Mom gave the girl fever medicine because the"
76,"We made French toast because the bread was dry.
The bread was dry because we made French toast.",We made French toast because the bread was dry.,"

The sentence that gets cause and effect right is ""The bread was dry because we made French"
77,"The bread was dry because we made French toast.
We made French toast because the bread was dry.",We made French toast because the bread was dry.,"

The sentence that gets cause and effect right is ""We made French toast because the bread was"
78,"The company's stock went up because the company's posted strong earnings.
The company's posted strong earnings because the company's stock went up.",The company's stock went up because the company's posted strong earnings.,"

The company's stock went up because the company's posted strong earnings."
79,"The company's posted strong earnings because the company's stock went up.
The company's stock went up because the company's posted strong earnings.",The company's stock went up because the company's posted strong earnings.,"

The sentence that gets cause and effect right is ""The company's stock went up because the"
80,"I put my clothes in the washing machine because my clothes got dirty.
My clothes got dirty because i put my clothes in the washing machine.",I put my clothes in the washing machine because my clothes got dirty.,"

The sentence that gets cause and effect right is ""My clothes got dirty because I put my"
81,"My clothes got dirty because i put my clothes in the washing machine.
I put my clothes in the washing machine because my clothes got dirty.",I put my clothes in the washing machine because my clothes got dirty.,"

The sentence that gets cause and effect right is ""I put my clothes in the washing machine"
82,"My friend celebrated with their family because my friend got a promotion.
My friend got a promotion because my friend celebrated with their family.",My friend celebrated with their family because my friend got a promotion.,"

The sentence that gets cause and effect right is ""My friend got a promotion because my friend"
83,"My friend got a promotion because my friend celebrated with their family.
My friend celebrated with their family because my friend got a promotion.",My friend celebrated with their family because my friend got a promotion.,"

The sentence that gets cause and effect right is ""My friend celebrated with their family because my"
84,"The basketball player took a free throw because the basketball player was shoved.
The basketball player was shoved because the basketball player took a free throw.",The basketball player took a free throw because the basketball player was shoved.,"

The basketball player was shoved because the basketball player took a free throw."
85,"The basketball player was shoved because the basketball player took a free throw.
The basketball player took a free throw because the basketball player was shoved.",The basketball player took a free throw because the basketball player was shoved.,"

The basketball player was shoved because the basketball player took a free throw."
86,"Alice missed her flight because Alice didn't wake up.
Alice didn't wake up because Alice missed her flight.",Alice missed her flight because Alice didn't wake up.,"

The sentence that gets cause and effect right is ""Alice didn't wake up because Alice missed"
87,"Alice didn't wake up because Alice missed her flight.
Alice missed her flight because Alice didn't wake up.",Alice missed her flight because Alice didn't wake up.,"

The sentence that gets cause and effect right is ""Alice didn't wake up because Alice missed"
88,"The man sued because the floor was wet.
The floor was wet because the man sued.",The man sued because the floor was wet.,"

The sentence that gets cause and effect right is ""The floor was wet because the man sued"
89,"The floor was wet because the man sued.
The man sued because the floor was wet.",The man sued because the floor was wet.,"

The sentence that gets cause and effect right is ""The man sued because the floor was wet"
90,"The picnic was cancelled because it rained.
It rained because the picnic was cancelled.",The picnic was cancelled because it rained.,"

The sentence that gets cause and effect right is ""It rained because the picnic was cancelled"
91,"It rained because the picnic was cancelled.
The picnic was cancelled because it rained.",The picnic was cancelled because it rained.,"

The sentence that gets cause and effect right is ""The picnic was cancelled because it rained"
92,"The girl caught a cold because the girl didn't wear her sweater.
The girl didn't wear her sweater because the girl caught a cold.",The girl caught a cold because the girl didn't wear her sweater.,"

The sentence that gets cause and effect right is ""The girl didn't wear her sweater because"
93,"The girl didn't wear her sweater because the girl caught a cold.
The girl caught a cold because the girl didn't wear her sweater.",The girl caught a cold because the girl didn't wear her sweater.,"

The sentence that gets cause and effect right is ""The girl caught a cold because the girl"
94,"A search party was assembled because the man got lost in the woods.
The man got lost in the woods because a search party was assembled.",A search party was assembled because the man got lost in the woods.,"

The sentence that gets cause and effect right is ""The man got lost in the woods because"
95,"The man got lost in the woods because a search party was assembled.
A search party was assembled because the man got lost in the woods.",A search party was assembled because the man got lost in the woods.,"

The sentence that gets cause and effect right is ""A search party was assembled because the man"
96,"Ted had a hangover because Ted went out drinking.
Ted went out drinking because Ted had a hangover.",Ted had a hangover because Ted went out drinking.,"

The sentence that gets cause and effect right is ""Ted went out drinking because Ted had a"
97,"Ted went out drinking because Ted had a hangover.
Ted had a hangover because Ted went out drinking.",Ted had a hangover because Ted went out drinking.,"

The sentence that gets cause and effect right is ""Ted had a hangover because Ted went"
98,"Bob opened the jar and was frustrated because Alice ate the last cookie.
Alice ate the last cookie because Bob opened the jar and was frustrated.",Bob opened the jar and was frustrated because Alice ate the last cookie.,"

The sentence that gets cause and effect right is ""Alice ate the last cookie because Bob opened"
99,"Alice ate the last cookie because Bob opened the jar and was frustrated.
Bob opened the jar and was frustrated because Alice ate the last cookie.",Bob opened the jar and was frustrated because Alice ate the last cookie.,"

The sentence that gets cause and effect right is ""Bob opened the jar and was frustrated because"
100,"Mom rinsed the tray because Jimmy took the last piece of cake.
Jimmy took the last piece of cake because mom rinsed the tray.",Mom rinsed the tray because Jimmy took the last piece of cake.,"

The sentence that gets cause and effect right is ""Jimmy took the last piece of cake because"
101,"Jimmy took the last piece of cake because mom rinsed the tray.
Mom rinsed the tray because Jimmy took the last piece of cake.",Mom rinsed the tray because Jimmy took the last piece of cake.,"

The sentence that gets cause and effect right is ""Mom rinsed the tray because Jimmy"
