,sequence,answer_cause,answer_effect,switched,responses_cause,responses_effect,responses_cause_ss,responses_effect_ss
25,George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery.,George plugged the laptop charger in.,True, George plugged the laptop charger in. The laptop ran out of battery., George plugged the laptop charger in. The laptop ran out of battery., George plugged the laptop charger in. The laptop ran out of battery., George plugged the laptop charger in. The laptop ran out of battery.
26,The curtains were opened. Sunlight filled the room.,The curtains were opened.,Sunlight filled the room.,False," The man got lost in the woods.

The man got lost in the woods. A search", The girl caught a cold. The curtains were opened. Sunlight filled the room.," The curtains were opened.

The curtains were opened, causing the room to fill with sunlight.", The girl woke up covered in cold sweat. The curtains were opened. Sunlight filled the room.
27,Sunlight filled the room. The curtains were opened.,The curtains were opened.,Sunlight filled the room.,True, The curtains were opened., The curtains were opened., It started raining. The driver turned the wipers on., The vase shattered on the floor. The curtains were opened.
28,The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers.,Tomatoes grew on the vine.,False, The insect pollinated the tomato flowers. Tomatoes grew on the vine.," Tomatoes grew on the vine.

The insect pollinated the tomato flowers. Tomatoes grew"," Tomatoes grew on the vine.

The insect pollinated the tomato flowers.", The family went to the beach. The insect pollinated the tomato flowers. Tomatoes grew on the
29,Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers.,Tomatoes grew on the vine.,True, Tomatoes grew on the vine. The insect pollinated the tomato flowers.," The insect pollinated the tomato flowers.

The insect pollinated the tomato flowers.", Tomatoes grew on the vine. The insect pollinated the tomato flowers., Tomatoes grew on the vine. The insect pollinated the tomato flowers.
30,The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street.,The driver hit the brakes.,False, The girl stepped onto the street. The driver hit the brakes., The girl stepped onto the street. The driver hit the brakes., The girl stepped onto the street. The driver hit the brakes., The girl stepped onto the street. The driver hit the brakes.
31,The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street.,The driver hit the brakes.,True, The driver hit the brakes. The girl stepped onto the street.," The driver was pulled over and was fined.
The driver hit the brakes. The girl stepped off", The driver hit the brakes. The girl stepped onto the street., The vase shattered on the floor. The driver hit the brakes. The girl stepped onto the street
32,There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction.,The performer ran off the stage.,False," There was a wardrobe malfunction.

The performer ran off the stage.", There was a wardrobe malfunction. The performer ran off the stage., There was a wardrobe malfunction. The performer ran off the stage., There was a wardrobe malfunction. The performer ran off the stage.
33,The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction.,The performer ran off the stage.,True, The performer ran off the stage. There was a wardrobe malfunction., The performer ran off the stage. There was a wardrobe malfunction.," There was a wardrobe malfunction.

The performer ran off the stage. There was a wardrobe malfunction"," There was a wardrobe malfunction.

The performer ran off the stage. The driver hit the brakes"
34,"A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light.",A bird hit the engine.,"The pilot turned on the ""fasten seatbelts"" light.",False," The laptop ran out of battery.

The bird hit the engine. The pilot turned on the"," A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light."," The pilot turned on the ""fasten seatbelts"" light.

The bird hit the"," The family went to the beach. A bird hit the engine. The pilot turned on the ""fast"
35,"The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.",A bird hit the engine.,"The pilot turned on the ""fasten seatbelts"" light.",True," The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine."," The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine."," A large object hit the Earth.
The pilot turned on the ""fasten seatbelts"""," The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine."
36,The milk was left outside the fridge over night. The man sipped the milk and spit it out.,The milk was left outside the fridge over night.,The man sipped the milk and spit it out.,False," The man sipped the milk and spat it out.

The man sipped the milk and"," The milk was left outside the fridge over night.
The man sipped the milk and spat it"," The milk was left outside the fridge over night.
The man sipped the milk and spat it"," The man turned down the music volume.

The milk was left outside the fridge over night."
37,The man sipped the milk and spit it out. The milk was left outside the fridge over night.,The milk was left outside the fridge over night.,The man sipped the milk and spit it out.,True," The milk was left outside the fridge over night.

The man sipped the milk and spit", The man sipped the milk and spit it out. The milk was left outside the fridge over night," The man sipped the milk and spit it out.

The milk was left outside the fridge", The man sipped the milk and spit it out. The milk was left outside the fridge over night
38,The man couldn't hear what the woman was saying. The man turned down the music volume.,The man couldn't hear what the woman was saying.,The man turned down the music volume.,False, The man couldn't hear what the woman was saying. The man turned down the music volume., The man couldn't hear what the woman was saying. The man turned down the music volume., The man couldn't hear what the woman was saying. The man turned down the music volume., The man couldn't hear what the woman was saying. The man turned down the music volume.
39,The man turned down the music volume. The man couldn't hear what the woman was saying.,The man couldn't hear what the woman was saying.,The man turned down the music volume.,True," The man turned down the music volume.

The man turned down the music volume."," The man turned down the music volume.

The woman couldn't hear what the man was saying"," A large object hit the Earth.

The large object hit the Earth."," The man turned down the music volume.
The woman couldn't hear what the man was saying."
40,The power was out for days. The meat spoiled.,The power was out for days.,The meat spoiled.,False, The power was out for days. The meat spoiled.," The meat spoiled.

The power was out for days. The meat spoiled.", The power was out for days. The meat spoiled.," The basketball player took a free throw.
The power was out for days. The meat spoiled."
41,The meat spoiled. The power was out for days.,The power was out for days.,The meat spoiled.,True, The meat spoiled. The power was out for days., The meat spoiled. The power was out for days., The meat spoiled. The power was out for days.," The meat spoiled. The power was out for days.

The meat spoiled. The power was"
42,The gardener planted a seed. A flower grew.,The gardener planted a seed.,A flower grew.,False," A man accidently pushed the vase off a counter.
The gardener planted a seed."," A flower grew.

The gardener planted a seed. The flower grew.", The gardener planted a seed. A flower grew., The gardener planted a seed. A flower grew.
43,A flower grew. The gardener planted a seed.,The gardener planted a seed.,A flower grew.,True, A flower grew. The gardener planted a seed., Alice missed her flight. A flower grew. The gardener planted a seed., A flower grew. The gardener planted a seed., A flower grew. The gardener planted a seed.
44,The team won the game. The team won the championship.,The team won the game.,The team won the championship.,False, Someone fainted. The team won the game. The team won the championship.," The team won the game.

The company's stock went up. The team won the championship", The team won the game.," We made French toast.

The team won the game."
45,The team won the championship. The team won the game.,The team won the game.,The team won the championship.,True, The team won the championship. The team won the game.," A man was covered in sticky red goo.

The team won the championship."," My friend got a promotion.
The team won the championship. The team won the game."," Sunlight filled the room.
The team won the championship."
46,The door was locked. The man climbed in through the window.,The door was locked.,The man climbed in through the window.,False, The door was locked. The man climbed in through the window.," The man climbed in through the window.
The door was locked. The man climbed out the window"," The man climbed in through the window.
The man climbed in through the window."," The man climbed in through the window.

The man climbed in through the window."
47,The man climbed in through the window. The door was locked.,The door was locked.,The man climbed in through the window.,True, The man climbed in through the window. The door was locked., The man turned down the music volume. The man climbed in through the window. The door was locked," A watermelon exploded.
The man climbed in through the window. The door was unlocked."," The man climbed in through the window. The door was locked.

The man climbed in through"
48,The wind blew strong. The ship capsized.,The wind blew strong.,The ship capsized.,False," A man accidently pushed the vase off a counter.
The wind blew strong. The ship", The wind blew strong. The ship capsized., The wind blew strong. The ship capsized.," The window broke.
The wind blew strong. The ship capsized."
49,The ship capsized. The wind blew strong.,The wind blew strong.,The ship capsized.,True, The ship capsized. The wind blew strong., The ship capsized. The wind blew strong.," The child hurt their knee.
The ship capsized. The wind blew strong."," The wind blew strong.

The ship capsized. The wind blew strong."
50,The man robbed a gas station. The man went to jail.,The man robbed a gas station.,The man went to jail.,False, The man robbed a gas station. The man went to jail.," The man robbed a gas station. The man went to jail.

The man robbed a gas", The man robbed a gas station. The man went to jail.," The man robbed a gas station.
The man went to jail."
51,The man went to jail. The man robbed a gas station.,The man robbed a gas station.,The man went to jail.,True, The man went to jail. The man robbed a gas station., The man went to jail. The man robbed a gas station.," There was a loud noise.

The man went to jail.", The man went to jail. The man robbed a gas station.
52,Jill won the lawsuit against Acme. Acme paid Jill's legal fees.,Jill won the lawsuit against Acme.,Acme paid Jill's legal fees.,False, Acme paid Jill's legal fees., Jill won the lawsuit against Acme. Acme paid Jill's legal fees., Acme paid Jill's legal fees., Bob opened the jar and was frustrated. Jill won the lawsuit against Acme. Acme paid Jill
53,Acme paid Jill's legal fees. Jill won the lawsuit against Acme.,Jill won the lawsuit against Acme.,Acme paid Jill's legal fees.,True, Acme paid Jill's legal fees. Jill won the lawsuit against Acme., Acme paid Jill's legal fees. Jill won the lawsuit against Acme., Acme paid Jill's legal fees. Jill won the lawsuit against Acme., Acme paid Jill's legal fees. Jill won the lawsuit against Acme.
54,There was a snowstorm. School was cancelled.,There was a snowstorm.,School was cancelled.,False, The gardener planted a seed. There was a snowstorm. School was cancelled., School was cancelled., There was a snowstorm. School was cancelled.," She went to the store and bought toilet paper.

The effect of the first sentence is that"
55,School was cancelled. There was a snowstorm.,There was a snowstorm.,School was cancelled.,True, School was cancelled. There was a snowstorm., We made French toast. School was cancelled. There was a snowstorm., School was cancelled. There was a snowstorm., School was cancelled. There was a snowstorm.
56,The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.,The tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord.,False," The tenants noticed mold on the bathroom ceiling.
The landlord contacted the tenants about the mold."," The tenants contacted their landlord.

The tenants contacted their landlord."," The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.

The tenants noticed"," The tenants noticed mold on the bathroom ceiling.
The landlord contacted the tenants about the mold."
57,The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.,The tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord.,True," The tenants contacted their landlord.
The tenants contacted the police.", The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.," The boy threw a rock.
The tenants contacted their landlord. The tenants noticed mold on the bathroom", The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.
58,I studied hard. I got an A on the test.,I studied hard.,I got an A on the test.,False, I studied hard. I got an A on the test.," I studied hard. I got an A on the test.

The first sentence is the effect", I studied hard. I got an A on the test., Someone called 911. I studied hard. I got an A on the test.
59,I got an A on the test. I studied hard.,I studied hard.,I got an A on the test.,True," I got an A on the test. I studied hard.

The company's stock went up", The vase shattered on the floor. I got an A on the test. I studied hard., Jill won the lawsuit against Acme. I got an A on the test. I studied hard., I got an A on the test. I studied hard.
60,The boy threw a rock. The window broke.,The boy threw a rock.,The window broke.,False, The boy threw a rock. The window broke., The boy threw a rock. The window broke., The boy threw a rock. The window broke., The boy threw a rock. The window broke.
61,The window broke. The boy threw a rock.,The boy threw a rock.,The window broke.,True," The boy threw a rock.
The window broke."," A man was covered in sticky red goo.
The window broke. The boy threw a rock", There was a wardrobe malfunction. The performer ran off the stage. The window broke. The boy threw," The window broke. The boy threw a rock.

The window broke. The boy threw a"
62,The driver ran a red light. The driver was pulled over and was fined.,The driver ran a red light.,The driver was pulled over and was fined.,False, The child hurt their knee. The driver ran a red light. The driver was pulled over and was," The driver ran a red light.
The driver was pulled over and was fined.", The driver ran a red light. The driver was pulled over and was fined., The driver ran a red light. The driver was pulled over and was fined.
63,The driver was pulled over and was fined. The driver ran a red light.,The driver ran a red light.,The driver was pulled over and was fined.,True, The driver was pulled over and was fined. The driver ran a red light., The window broke. The driver was pulled over and was fined. The driver ran a red light., The driver was pulled over and was fined. The driver ran a red light.," The driver was pulled over and was fined. The driver ran a red light.

The driver"
64,The girl skipped school. The girl got detention.,The girl skipped school.,The girl got detention.,False, The girl skipped school. The girl got detention.," She skipped school.
The girl got detention.", The girl skipped school. The girl got detention., Alice missed her flight. The girl skipped school. The girl got detention.
65,The girl got detention. The girl skipped school.,The girl skipped school.,The girl got detention.,True," My friend got a promotion.
The girl got detention. The girl skipped school.", The company's stock went up. The girl got detention. The girl skipped school.," Jimmy took the last piece of cake.
The girl got detention. The girl skipped school.", The girl got detention. The girl skipped school.
66,I flipped the switch. Light filled the room.,I flipped the switch.,Light filled the room.,False, The man robbed a gas station. I flipped the switch., I flipped the switch. Light filled the room., I flipped the switch. Light filled the room.," My friend celebrated with their family.

The light filled the room."
67,Light filled the room. I flipped the switch.,I flipped the switch.,Light filled the room.,True," I flipped the switch.

The light filled the room. I flipped the switch."," I flipped the switch.

The light filled the room. I flipped the switch.", It started raining. I flipped the switch.," I flipped the switch.

The light filled the room. The switch was flipped."
68,I pulled the dog's tail. The dog bit me.,I pulled the dog's tail.,The dog bit me.,False, The company's posted strong earnings. I pulled the dog's tail. The dog bit me., I pulled the dog's tail. The dog bit me., I pulled the dog's tail. The dog bit me.," I pulled the dog's tail.
The dog bit me."
69,The dog bit me. I pulled the dog's tail.,I pulled the dog's tail.,The dog bit me.,True," I pulled the dog's tail.

The dog bit me. I ran off the stage."," The child started crying.
The dog bit me. I pulled the dog's tail."," There was a snowstorm.
I pulled the dog's tail."," The dog bit me. I pulled the dog's tail.

The man robbed a gas station"
70,School was on break. The family went on vacation.,School was on break.,The family went on vacation.,False, School was on break. The family went on vacation., School was on break. The family went on vacation., School was on break. The family went on vacation., School was on break. The family went on vacation.
71,The family went on vacation. School was on break.,School was on break.,The family went on vacation.,True, School was on break., School was on break., The family went on vacation. School was on break., The family went on vacation. School was on break.
72,The air conditioner broke. The family went to the beach.,The air conditioner broke.,The family went to the beach.,False, The air conditioner broke. The family went to the beach.," The family went to the beach.

The family went to the beach. The air conditioner"," The air conditioner broke. The family went to the beach.

The family went to the"," The vase shattered on the floor.

The air conditioner broke. The family went to"
73,The family went to the beach. The air conditioner broke.,The air conditioner broke.,The family went to the beach.,True, The family went to the beach. The air conditioner broke., The family went to the beach. The air conditioner broke., The family went to the beach. The air conditioner broke.," The family went to the beach. The air conditioner broke.

The family went to the"
74,The girl had a fever. Mom gave the girl fever medicine.,The girl had a fever.,Mom gave the girl fever medicine.,False, The girl had a fever. Mom gave the girl fever medicine., The girl had a fever. Mom gave the girl fever medicine.," The girl had a fever. Mom gave the girl fever medicine.

The girl had a fever", The girl had a fever. Mom gave the girl fever medicine.
75,Mom gave the girl fever medicine. The girl had a fever.,The girl had a fever.,Mom gave the girl fever medicine.,True, Mom gave the girl fever medicine. The girl had a fever., Mom gave the girl fever medicine. The girl had a fever., I pulled the dog's tail. Mom gave the girl fever medicine. The girl had a fever., Mom gave the girl fever medicine. The girl had a fever.
76,The bread was dry. We made French toast.,The bread was dry.,We made French toast.,False," The insect pollinated the tomato flowers.

The bread was dry. We made French toast.", We made French toast., The bread was dry. We made French toast.," A man was covered in sticky red goo.

The bread was dry. We made French"
77,We made French toast. The bread was dry.,The bread was dry.,We made French toast.,True," We made French toast. The bread was dry.

The bread was dry because we made French"," I put my clothes in the washing machine.

We made French toast. The bread was wet"," The tenants noticed mold on the bathroom ceiling.

The bread was dry."," We made French toast. The bread was dry.

The bread was dry."
78,The company's posted strong earnings. The company's stock went up.,The company's posted strong earnings.,The company's stock went up.,False," Alice ate the last cookie.

The company's posted strong earnings. The company's stock went", The company's posted strong earnings. The company's stock went up., The company's posted strong earnings. The company's stock went up.," Tomatoes grew on the vine.
The company's posted strong earnings. The company's stock went"
79,The company's stock went up. The company's posted strong earnings.,The company's posted strong earnings.,The company's stock went up.,True, The company's stock went up. The company's posted strong earnings.," The company's stock went up.
The company's posted strong earnings."," The company's stock went up.

The company's posted strong earnings."," The company's stock went up.
The company's posted strong earnings."
80,My clothes got dirty. I put my clothes in the washing machine.,My clothes got dirty.,I put my clothes in the washing machine.,False, The company's posted strong earnings. My clothes got dirty. I put my clothes in the washing machine, My clothes got dirty. I put my clothes in the washing machine., My clothes got dirty. I put my clothes in the washing machine., My clothes got dirty. I put my clothes in the washing machine.
81,I put my clothes in the washing machine. My clothes got dirty.,My clothes got dirty.,I put my clothes in the washing machine.,True," My clothes got dirty.

The dog bit me. I pulled the dog's tail. The"," Mom gave the girl fever medicine.

I put my clothes in the washing machine. My clothes", A large object hit the Earth. My clothes got dirty.," I put my clothes in the washing machine. My clothes got dirty.

The child hurt their"
82,My friend got a promotion. My friend celebrated with their family.,My friend got a promotion.,My friend celebrated with their family.,False, The girl had a fever. Mom gave the girl fever medicine., The man turned down the music volume. My friend got a promotion. My friend celebrated with their family, My friend got a promotion. My friend celebrated with their family., A flower grew. My friend got a promotion. My friend celebrated with their family.
83,My friend celebrated with their family. My friend got a promotion.,My friend got a promotion.,My friend celebrated with their family.,True, My friend celebrated with their family. My friend got a promotion.," Ted had a hangover.

My friend celebrated with their family. My friend got a promotion", My friend celebrated with their family. My friend got a promotion., My friend celebrated with their family. My friend got a promotion.
84,The basketball player was shoved. The basketball player took a free throw.,The basketball player was shoved.,The basketball player took a free throw.,False," The basketball player was shoved.
The basketball player made a free throw."," A man was covered in sticky red goo.
The basketball player was shoved. The basketball player"," The basketball player was shoved. The basketball player took a free throw.

The basketball player was"," I put my clothes in the washing machine.
The basketball player was shoved. The basketball player missed"
85,The basketball player took a free throw. The basketball player was shoved.,The basketball player was shoved.,The basketball player took a free throw.,True," The basketball player took a free throw. The basketball player was shoved.

The basketball player took"," The basketball player took a free throw.
The basketball player was shoved."," The basketball player took a free throw.
The basketball player was shoved."," The basketball player took a free throw. The basketball player was shoved.

The basketball player took"
86,Alice didn't wake up. Alice missed her flight.,Alice didn't wake up.,Alice missed her flight.,False, The laptop ran out of battery. George plugged the laptop charger in.," The pilot turned on the ""fasten seatbelts"" light. Alice didn't wake up.", The curtains were opened. Alice didn't wake up., The soda went flat. Alice didn't wake up. Alice missed her flight.
87,Alice missed her flight. Alice didn't wake up.,Alice didn't wake up.,Alice missed her flight.,True, I studied hard. Alice missed her flight. Alice didn't wake up., Mom rinsed the tray. Alice missed her flight., The man got lost in the woods. A search party was assembled. Alice missed her flight., Alice missed her flight. Alice didn't wake up.
88,The floor was wet. The man sued.,The floor was wet.,The man sued.,False," The girl had a fever.

The floor was wet. The man sued."," The man sued.

The man sued.", The floor was wet. The man sued.," A man was covered in sticky red goo.

The floor was wet."
89,The man sued. The floor was wet.,The floor was wet.,The man sued.,True, The man sued. The floor was wet.," Sunlight filled the room.
The man sued. The floor was wet.", The man sued. The floor was wet.," The man sued. The floor was wet.

The man sued. The floor was wet."
90,It rained. The picnic was cancelled.,It rained.,The picnic was cancelled.,False, I studied hard. It rained. The picnic was cancelled., It rained. The picnic was cancelled., It rained. The picnic was cancelled.," The pilot turned on the ""fasten seatbelts"" light.
It rained. The"
91,The picnic was cancelled. It rained.,It rained.,The picnic was cancelled.,True," It rained.
The picnic was cancelled. There was a snowstorm."," The basketball player took a free throw.
The basketball player was shoved. The picnic was cancelled."," The child hurt their knee.
The picnic was cancelled. It rained.", The picnic was cancelled. It rained.
92,The girl didn't wear her sweater. The girl caught a cold.,The girl didn't wear her sweater.,The girl caught a cold.,False," I pulled the dog's tail.
The girl didn't wear her sweater. The dog bit her"," The girl didn't wear her sweater. The girl caught a cold.

The girl didn't", The girl didn't wear her sweater. The girl caught a cold., The driver turned the wipers on. The girl didn't wear her sweater. The girl caught a
93,The girl caught a cold. The girl didn't wear her sweater.,The girl didn't wear her sweater.,The girl caught a cold.,True," The girl caught a cold. The girl didn't wear her sweater.

The girl caught a"," The girl caught a cold.

The girl didn't wear her sweater.", The girl caught a cold. The girl didn't wear her sweater., The girl caught a cold. The girl didn't wear her sweater.
94,The man got lost in the woods. A search party was assembled.,The man got lost in the woods.,A search party was assembled.,False," Jill won the lawsuit against Acme.
The man got lost in the woods. A search party"," A search party was assembled.

The search party was assembled."," The man got lost in the woods.
A search party was assembled.", The man got lost in the woods. A search party was assembled.
95,A search party was assembled. The man got lost in the woods.,The man got lost in the woods.,A search party was assembled.,True, A search party was assembled. The man got lost in the woods., A search party was assembled. The man got lost in the woods., A search party was assembled. The man got lost in the woods., A search party was assembled. The man got lost in the woods.
96,Ted went out drinking. Ted had a hangover.,Ted went out drinking.,Ted had a hangover.,False, There was a wardrobe malfunction. Ted went out drinking. Ted had a hangover., The girl woke up covered in cold sweat. Ted went out drinking. Ted had a hangover., Ted went out drinking. Ted had a hangover., Mom rinsed the tray. Ted went out drinking. Ted had a hangover.
97,Ted had a hangover. Ted went out drinking.,Ted went out drinking.,Ted had a hangover.,True, Ted had a hangover. Ted went out drinking., The man turned down the music volume. Ted had a hangover. Ted went out drinking., I studied hard. Ted had a hangover. Ted went out drinking., The boy lifted his eyes from the book. Ted had a hangover. Ted went out drinking.
