prompts,correct_answers,answers
School was cancelled because there was a snowstorm. There was a snowstorm because school was cancelled.,School was cancelled because there was a snowstorm.,"

The school was cancelled because there was a snowstorm. The snowstorm caused the school to"
There was a snowstorm because school was cancelled. School was cancelled because there was a snowstorm.,School was cancelled because there was a snowstorm.,"

The snowstorm caused the school to be cancelled."
The tenants contacted their landlord because the tenants noticed mold on the bathroom ceiling. The tenants noticed mold on the bathroom ceiling because the tenants contacted their landlord.,The tenants contacted their landlord because the tenants noticed mold on the bathroom ceiling.,"

The tenants contacted their landlord because the tenants noticed mold on the bathroom ceiling. The tenants noticed"
The tenants noticed mold on the bathroom ceiling because the tenants contacted their landlord. The tenants contacted their landlord because the tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord because the tenants noticed mold on the bathroom ceiling.,"

The tenants noticed mold on the bathroom ceiling because the tenants contacted their landlord."
I got an A on the test because i studied hard. I studied hard because i got an A on the test.,I got an A on the test because i studied hard.,"

I got an A on the test because I studied hard."
I studied hard because i got an A on the test. I got an A on the test because i studied hard.,I got an A on the test because i studied hard.,"

The cause of the effect is the study."
The window broke because the boy threw a rock. The boy threw a rock because the window broke.,The window broke because the boy threw a rock.,"

The window broke because the boy threw a rock. The boy threw a rock because the window"
The boy threw a rock because the window broke. The window broke because the boy threw a rock.,The window broke because the boy threw a rock.,"

The rock caused the window to break."
The driver was pulled over and was fined because the driver ran a red light. The driver ran a red light because the driver was pulled over and was fined.,The driver was pulled over and was fined because the driver ran a red light.,"

The sentence that gets cause and effect right is the sentence that says ""the driver was pulled"
The driver ran a red light because the driver was pulled over and was fined. The driver was pulled over and was fined because the driver ran a red light.,The driver was pulled over and was fined because the driver ran a red light.,"

The sentence that gets cause and effect right is the sentence that says ""the driver was pulled"
The girl got detention because the girl skipped school. The girl skipped school because the girl got detention.,The girl got detention because the girl skipped school.,"

The girl got detention because the girl skipped school."
The girl skipped school because the girl got detention. The girl got detention because the girl skipped school.,The girl got detention because the girl skipped school.,"

The girl skipped school because the girl got detention. The girl got detention because the girl skipped"
Light filled the room because i flipped the switch. I flipped the switch because light filled the room.,Light filled the room because i flipped the switch.,"

The sentence ""I flipped the switch because light filled the room"" gets cause and effect right"
I flipped the switch because light filled the room. Light filled the room because i flipped the switch.,Light filled the room because i flipped the switch.,"

The light filled the room because I flipped the switch."
The dog bit me because i pulled the dog's tail. I pulled the dog's tail because the dog bit me.,The dog bit me because i pulled the dog's tail.,"

The dog bit me because I pulled the dog's tail."
I pulled the dog's tail because the dog bit me. The dog bit me because i pulled the dog's tail.,The dog bit me because i pulled the dog's tail.,"

The sentence ""I pulled the dog's tail because the dog bit me"" gets cause and"
The family went on vacation because school was on break. School was on break because the family went on vacation.,The family went on vacation because school was on break.,"

The family went on vacation because school was on break. School was on break because the family"
School was on break because the family went on vacation. The family went on vacation because school was on break.,The family went on vacation because school was on break.,"

The family went on vacation because school was on break. The family went on vacation because the"
The family went to the beach because the air conditioner broke. The air conditioner broke because the family went to the beach.,The family went to the beach because the air conditioner broke.,"
The family went to the beach because the air conditioner broke. The air conditioner broke because"
The air conditioner broke because the family went to the beach. The family went to the beach because the air conditioner broke.,The family went to the beach because the air conditioner broke.,"

The air conditioner broke because the family went to the beach."
Mom gave the girl fever medicine because the girl had a fever. The girl had a fever because mom gave the girl fever medicine.,Mom gave the girl fever medicine because the girl had a fever.,"

The sentence ""The girl had a fever because mom gave the girl fever medicine"" gets cause"
The girl had a fever because mom gave the girl fever medicine. Mom gave the girl fever medicine because the girl had a fever.,Mom gave the girl fever medicine because the girl had a fever.,"

The girl had a fever because mom gave her fever medicine. Mom gave the girl fever medicine"
We made French toast because the bread was dry. The bread was dry because we made French toast.,We made French toast because the bread was dry.,"

The cause of the bread being dry was because we made French toast."
The bread was dry because we made French toast. We made French toast because the bread was dry.,We made French toast because the bread was dry.,"

The sentence ""The bread was dry because we made French toast."" gets cause and effect right"
The company's stock went up because the company's posted strong earnings. The company's posted strong earnings because the company's stock went up.,The company's stock went up because the company's posted strong earnings.,"

The company's stock went up because the company's posted strong earnings."
The company's posted strong earnings because the company's stock went up. The company's stock went up because the company's posted strong earnings.,The company's stock went up because the company's posted strong earnings.,"

The company's stock went up because the company's posted strong earnings."
I put my clothes in the washing machine because my clothes got dirty. My clothes got dirty because i put my clothes in the washing machine.,I put my clothes in the washing machine because my clothes got dirty.,"

The sentence ""My clothes got dirty because I put my clothes in the washing machine."" gets"
My clothes got dirty because i put my clothes in the washing machine. I put my clothes in the washing machine because my clothes got dirty.,I put my clothes in the washing machine because my clothes got dirty.,"

The sentence ""I put my clothes in the washing machine because my clothes got dirty"" gets"
My friend celebrated with their family because my friend got a promotion. My friend got a promotion because my friend celebrated with their family.,My friend celebrated with their family because my friend got a promotion.,"

The promotion got cause and effect right because my friend celebrated with their family."
My friend got a promotion because my friend celebrated with their family. My friend celebrated with their family because my friend got a promotion.,My friend celebrated with their family because my friend got a promotion.,"

The sentence ""My friend got a promotion because my friend celebrated with their family"" gets cause"
The basketball player took a free throw because the basketball player was shoved. The basketball player was shoved because the basketball player took a free throw.,The basketball player took a free throw because the basketball player was shoved.,"

The basketball player took a free throw because the basketball player was shoved."
The basketball player was shoved because the basketball player took a free throw. The basketball player took a free throw because the basketball player was shoved.,The basketball player took a free throw because the basketball player was shoved.,"

The basketball player was shoved because the basketball player took a free throw."
Alice missed her flight because Alice didn't wake up. Alice didn't wake up because Alice missed her flight.,Alice missed her flight because Alice didn't wake up.,"

Alice missed her flight because she didn't wake up."
Alice didn't wake up because Alice missed her flight. Alice missed her flight because Alice didn't wake up.,Alice missed her flight because Alice didn't wake up.,"

The sentence ""Alice didn't wake up because Alice missed her flight."" gets cause and effect"
The man sued because the floor was wet. The floor was wet because the man sued.,The man sued because the floor was wet.,"

The man sued because the floor was wet. The floor was wet because the man sued."
The floor was wet because the man sued. The man sued because the floor was wet.,The man sued because the floor was wet.,"

The man sued because the floor was wet."
The picnic was cancelled because it rained. It rained because the picnic was cancelled.,The picnic was cancelled because it rained.,"

The picnic was cancelled because it rained. It rained because the picnic was cancelled."
It rained because the picnic was cancelled. The picnic was cancelled because it rained.,The picnic was cancelled because it rained.,"

The picnic was cancelled because it rained."
The girl caught a cold because the girl didn't wear her sweater. The girl didn't wear her sweater because the girl caught a cold.,The girl caught a cold because the girl didn't wear her sweater.,"

The girl caught a cold because she didn't wear her sweater."
The girl didn't wear her sweater because the girl caught a cold. The girl caught a cold because the girl didn't wear her sweater.,The girl caught a cold because the girl didn't wear her sweater.,"

The girl didn't wear her sweater because the girl caught a cold, and the girl caught"
A search party was assembled because the man got lost in the woods. The man got lost in the woods because a search party was assembled.,A search party was assembled because the man got lost in the woods.,"

The search party was assembled because the man got lost in the woods. The man got lost"
The man got lost in the woods because a search party was assembled. A search party was assembled because the man got lost in the woods.,A search party was assembled because the man got lost in the woods.,"

The man got lost in the woods because a search party was assembled, and a search party"
Ted had a hangover because Ted went out drinking. Ted went out drinking because Ted had a hangover.,Ted had a hangover because Ted went out drinking.,"

Ted went out drinking because he had a hangover."
Ted went out drinking because Ted had a hangover. Ted had a hangover because Ted went out drinking.,Ted had a hangover because Ted went out drinking.,"

The sentence ""Ted went out drinking because he had a hangover"" gets cause and effect"
Bob opened the jar and was frustrated because Alice ate the last cookie. Alice ate the last cookie because Bob opened the jar and was frustrated.,Bob opened the jar and was frustrated because Alice ate the last cookie.,"

The sentence ""The jar was frustrated because Alice ate the last cookie."" gets cause and effect"
Alice ate the last cookie because Bob opened the jar and was frustrated. Bob opened the jar and was frustrated because Alice ate the last cookie.,Bob opened the jar and was frustrated because Alice ate the last cookie.,"

The sentence ""The sentence ""The last cookie was eaten because Bob opened the jar"" gets"
Mom rinsed the tray because Jimmy took the last piece of cake. Jimmy took the last piece of cake because mom rinsed the tray.,Mom rinsed the tray because Jimmy took the last piece of cake.,"

The sentence ""Jimmy took the last piece of cake because mom rinsed the tray"""
Jimmy took the last piece of cake because mom rinsed the tray. Mom rinsed the tray because Jimmy took the last piece of cake.,Mom rinsed the tray because Jimmy took the last piece of cake.,"

Jimmy took the last piece of cake because mom rinsed the tray."
