prompts,correct_answers,cause_answers,effect_answers,cause_answers_ex_switched,effect_answers_ex_switched
She noticed that she was out of toilet paper. She went to the store and bought toilet paper.,She noticed that she was out of toilet paper., She noticed that she was out of toilet paper., She noticed that she was out of toilet paper., She went to the store and bought toilet paper., She went to the store and bought toilet paper.
She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper., She went to the store and bought toilet paper., She went to the store and bought toilet paper., She noticed that she was out of toilet paper., She noticed that she was out of toilet paper.
A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth., The large object hit the Earth., The large object hit the Earth., The dinosaurs became extinct., The dinosaurs became extinct.
The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth., The large object hit the Earth., The dinosaurs became extinct., A large object hit the Earth., A large object hit the Earth.
The bottle was left open. The soda went flat.,The bottle was left open., The bottle was left open., The bottle was left open., The soda went flat., The soda went flat.
The soda went flat. The bottle was left open.,The bottle was left open., The soda went flat., The soda went flat., The bottle was left open., The soda went flat.
The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery., George plugged the laptop charger in., George plugged the laptop charger in., George plugged the laptop charger in., George plugged the laptop charger in.
George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery., George plugged the laptop charger in., George plugged the laptop charger in., The laptop ran out of battery., The laptop ran out of battery.
The curtains were opened. Sunlight filled the room.,The curtains were opened., The curtains were opened., The curtains were opened., Sunlight filled the room., Sunlight filled the room.
Sunlight filled the room. The curtains were opened.,The curtains were opened., Sunlight filled the room., Sunlight filled the room., The curtains were opened., The curtains were opened.
The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers., The insect pollinated the tomato flowers., The insect pollinated the tomato flowers., The insect pollinated the tomato flowers., Tomatoes grew on the vine.
Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers., The insect pollinated the tomato flowers., The insect pollinated the tomato flowers., The insect pollinated the tomato flowers., The insect pollinated the tomato flowers.
The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street., The girl stepped onto the street., The girl stepped onto the street., The girl stepped onto the street., The driver hit the brakes.
The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street., The driver hit the brakes., The driver hit the brakes., The girl stepped onto the street., The girl stepped onto the street.
There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction., The performer ran off the stage., The performer ran off the stage., The performer ran off the stage., The performer ran off the stage.
The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction., There was a wardrobe malfunction., The performer ran off the stage., There was a wardrobe malfunction., There was a wardrobe malfunction.
"A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light.",A bird hit the engine., The bird hit the engine., The bird hit the engine., The bird hit the engine.," The pilot turned on the ""fasten seatbelts"" light."
"The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.",A bird hit the engine., The bird hit the engine., The bird hit the engine., A bird hit the engine., The bird hit the engine.
The milk was left outside the fridge over night. The man sipped the milk and spit it out.,The milk was left outside the fridge over night., The milk was left outside the fridge over night., The milk was left outside the fridge over night., The milk was left outside the fridge over night., The milk was left outside the fridge over night.
The man sipped the milk and spit it out. The milk was left outside the fridge over night.,The milk was left outside the fridge over night., The milk was left outside the fridge over night., The milk was left outside the fridge over night., The milk was left outside the fridge over night., The milk was left outside the fridge over night.
The man couldn't hear what the woman was saying. The man turned down the music volume.,The man couldn't hear what the woman was saying., The man turned down the music volume., The man couldn't hear what the woman was saying., The man turned down the music volume., The man turned down the music volume.
The man turned down the music volume. The man couldn't hear what the woman was saying.,The man couldn't hear what the woman was saying., The man turned down the music volume., The man turned down the music volume., The man couldn't hear what the woman was saying., The man couldn't hear what the woman was saying.
The power was out for days. The meat spoiled.,The power was out for days., The meat spoiled., The meat spoiled., The meat spoiled., The meat spoiled.
The meat spoiled. The power was out for days.,The power was out for days., The meat spoiled., The meat spoiled., The power was out for days., The meat spoiled.
The gardener planted a seed. A flower grew.,The gardener planted a seed., The gardener planted a seed., The gardener planted a seed., The gardener planted a seed., A flower grew.
A flower grew. The gardener planted a seed.,The gardener planted a seed., The gardener planted a seed., The gardener planted a seed., The gardener planted a seed., The gardener planted a seed.
The team won the game. The team won the championship.,The team won the game., The team won the game., The team won the game., The team won the championship., The team won the championship.
The team won the championship. The team won the game.,The team won the game., The team won the game., The team won the championship., The team won the game., The team won the game.
The door was locked. The man climbed in through the window.,The door was locked., The door was locked., The door was locked., The man climbed in through the window., The man climbed in through the window.
The man climbed in through the window. The door was locked.,The door was locked., The man climbed in through the window., The man climbed in through the window., The door was locked., The door was locked.
The wind blew strong. The ship capsized.,The wind blew strong., The wind blew strong., The wind blew strong., The wind blew strong., The ship capsized.
The ship capsized. The wind blew strong.,The wind blew strong., The ship capsized., The ship capsized., The wind blew strong., The wind blew strong.
The man robbed a gas station. The man went to jail.,The man robbed a gas station., The man robbed a gas station., The man robbed a gas station., The man went to jail., The man went to jail.
The man went to jail. The man robbed a gas station.,The man robbed a gas station., The man robbed a gas station., The man went to jail., The man robbed a gas station., The man robbed a gas station.
Jill won the lawsuit against Acme. Acme paid Jill's legal fees.,Jill won the lawsuit against Acme., Jill won the lawsuit against Acme., Jill won the lawsuit against Acme., Acme paid Jill's legal fees., Acme paid Jill's legal fees.
Acme paid Jill's legal fees. Jill won the lawsuit against Acme.,Jill won the lawsuit against Acme., Jill won the lawsuit against Acme., Jill won the lawsuit against Acme., Jill won the lawsuit against Acme., Jill won the lawsuit against Acme.
There was a snowstorm. School was cancelled.,There was a snowstorm., There was a snowstorm., School was cancelled., School was cancelled., School was cancelled.
School was cancelled. There was a snowstorm.,There was a snowstorm., School was cancelled., School was cancelled., There was a snowstorm., School was cancelled.
The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.,The tenants noticed mold on the bathroom ceiling., The tenants noticed mold on the bathroom ceiling., The tenants noticed mold on the bathroom ceiling., The tenants contacted their landlord., The tenants contacted their landlord.
The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.,The tenants noticed mold on the bathroom ceiling., The tenants contacted their landlord., The tenants contacted their landlord., The tenants noticed mold on the bathroom ceiling., The tenants noticed mold on the bathroom ceiling.
I studied hard. I got an A on the test.,I studied hard., I studied hard., I got an A on the test., I got an A on the test., I got an A on the test.
I got an A on the test. I studied hard.,I studied hard., I got an A on the test., I got an A on the test., I studied hard., I studied hard.
The boy threw a rock. The window broke.,The boy threw a rock., The boy threw a rock., The window broke., The window broke., The window broke.
The window broke. The boy threw a rock.,The boy threw a rock., The window broke., The window broke., The boy threw a rock., The window broke.
The driver ran a red light. The driver was pulled over and was fined.,The driver ran a red light., The driver ran a red light., The driver ran a red light., The driver was pulled over and was fined., The driver was pulled over and was fined.
The driver was pulled over and was fined. The driver ran a red light.,The driver ran a red light., The driver ran a red light., The driver ran a red light., The driver ran a red light., The driver ran a red light.
The girl skipped school. The girl got detention.,The girl skipped school., The girl skipped school., The girl skipped school., The girl got detention., The girl got detention.
The girl got detention. The girl skipped school.,The girl skipped school., The girl skipped school., The girl got detention., The girl skipped school., The girl skipped school.
I flipped the switch. Light filled the room.,I flipped the switch., I flipped the switch., I flipped the switch., I flipped the switch., Light filled the room.
Light filled the room. I flipped the switch.,I flipped the switch., I flipped the switch., Light filled the room., I flipped the switch., I flipped the switch.
I pulled the dog's tail. The dog bit me.,I pulled the dog's tail., I pulled the dog's tail., The dog bit me., The dog bit me., The dog bit me.
The dog bit me. I pulled the dog's tail.,I pulled the dog's tail., The dog bit me., The dog bit me., I pulled the dog's tail., I pulled the dog's tail.
School was on break. The family went on vacation.,School was on break., School was on break., School was on break., The family went on vacation., The family went on vacation.
The family went on vacation. School was on break.,School was on break., The family went on vacation., The family went on vacation., School was on break., School was on break.
The air conditioner broke. The family went to the beach.,The air conditioner broke., The air conditioner broke., The air conditioner broke., The family went to the beach., The family went to the beach.
The family went to the beach. The air conditioner broke.,The air conditioner broke., The air conditioner broke., The family went to the beach., The air conditioner broke., The air conditioner broke.
The girl had a fever. Mom gave the girl fever medicine.,The girl had a fever., The girl had a fever., The girl had a fever., Mom gave the girl fever medicine., Mom gave the girl fever medicine.
Mom gave the girl fever medicine. The girl had a fever.,The girl had a fever., Mom gave the girl fever medicine., The girl had a fever., The girl had a fever., The girl had a fever.
The bread was dry. We made French toast.,The bread was dry., The bread was dry., The bread was dry., We made French toast., We made French toast.
We made French toast. The bread was dry.,The bread was dry., The bread was dry., The bread was dry., The bread was dry., The bread was dry.
The company's posted strong earnings. The company's stock went up.,The company's posted strong earnings., The company's stock went up., The company's stock went up., The company's stock went up., The company's stock went up.
The company's stock went up. The company's posted strong earnings.,The company's posted strong earnings., The company's stock went up., The company's stock went up., The company's posted strong earnings., The company's posted strong earnings.
My clothes got dirty. I put my clothes in the washing machine.,My clothes got dirty., I put my clothes in the washing machine., My clothes got dirty., I put my clothes in the washing machine., I put my clothes in the washing machine.
I put my clothes in the washing machine. My clothes got dirty.,My clothes got dirty., I put my clothes in the washing machine., My clothes got dirty., My clothes got dirty., My clothes got dirty.
My friend got a promotion. My friend celebrated with their family.,My friend got a promotion., My friend got a promotion., My friend got a promotion., My friend celebrated with their family., My friend celebrated with their family.
My friend celebrated with their family. My friend got a promotion.,My friend got a promotion., My friend got a promotion., My friend got a promotion., My friend got a promotion., My friend got a promotion.
The basketball player was shoved. The basketball player took a free throw.,The basketball player was shoved., The basketball player was shoved., The basketball player was shoved., The basketball player took a free throw., The basketball player took a free throw.
The basketball player took a free throw. The basketball player was shoved.,The basketball player was shoved., The basketball player was shoved., The basketball player was shoved., The basketball player was shoved., The basketball player was shoved.
Alice didn't wake up. Alice missed her flight.,Alice didn't wake up., Alice didn't wake up., Alice didn't wake up., Alice missed her flight., Alice missed her flight.
Alice missed her flight. Alice didn't wake up.,Alice didn't wake up., Alice didn't wake up., Alice missed her flight., Alice didn't wake up., Alice didn't wake up.
The floor was wet. The man sued.,The floor was wet., The floor was wet., The floor was wet., The floor was wet., The man sued.
The man sued. The floor was wet.,The floor was wet., The floor was wet., The man sued., The floor was wet., The floor was wet.
It rained. The picnic was cancelled.,It rained., It rained., The picnic was cancelled., The picnic was cancelled., The picnic was cancelled.
The picnic was cancelled. It rained.,It rained., It rained., The picnic was cancelled., It rained., It rained.
The girl didn't wear her sweater. The girl caught a cold.,The girl didn't wear her sweater., The girl didn't wear her sweater., The girl didn't wear her sweater., The girl caught a cold., The girl caught a cold.
The girl caught a cold. The girl didn't wear her sweater.,The girl didn't wear her sweater., The girl caught a cold., The girl caught a cold., The girl didn't wear her sweater., The girl didn't wear her sweater.
The man got lost in the woods. A search party was assembled.,The man got lost in the woods., The man got lost in the woods., The man got lost in the woods., A search party was assembled., A search party was assembled.
A search party was assembled. The man got lost in the woods.,The man got lost in the woods., The man got lost in the woods., The man got lost in the woods., The man got lost in the woods., The man got lost in the woods.
Ted went out drinking. Ted had a hangover.,Ted went out drinking., Ted went out drinking., Ted went out drinking., Ted had a hangover., Ted had a hangover.
Ted had a hangover. Ted went out drinking.,Ted went out drinking., Ted went out drinking., Ted had a hangover., Ted went out drinking., Ted went out drinking.
Alice ate the last cookie. Bob opened the jar and was frustrated.,Alice ate the last cookie., Alice ate the last cookie., Alice ate the last cookie., Alice ate the last cookie., Alice ate the last cookie.
Bob opened the jar and was frustrated. Alice ate the last cookie.,Alice ate the last cookie., Alice ate the last cookie., Alice ate the last cookie., Alice ate the last cookie., Alice ate the last cookie.
Jimmy took the last piece of cake. Mom rinsed the tray.,Jimmy took the last piece of cake., Mom rinsed the tray., Mom rinsed the tray., Mom rinsed the tray., Mom rinsed the tray.
Mom rinsed the tray. Jimmy took the last piece of cake.,Jimmy took the last piece of cake., Mom rinsed the tray., Mom rinsed the tray., Jimmy took the last piece of cake., Jimmy took the last piece of cake.
