prompts,correct_answers,cause_answers,effect_answers
The driver turned the wipers on. It started raining.,It started raining.," The driver turned the wipers on. It started raining.
Question"," ""The driver turned the wipers on.""
Question: Which sentence"
A watermelon exploded. A man was covered in sticky red goo.,A watermelon exploded.," The man was covered in goo.
Question: Which sentence is"," ""The watermelon exploded.""
Question: Which sentence is the effect"
A man was covered in sticky red goo. A watermelon exploded.,A watermelon exploded.," The man was covered in sticky red goo.
Question: Which", The effect of the other is the same as the effect of the first
She noticed that she was out of toilet paper. She went to the store and bought toilet paper.,She noticed that she was out of toilet paper.," The cause of the other is the other.
Question: Which sentence"," ""The effect of the other is that the other is not the same"
She went to the store and bought toilet paper. She noticed that she was out of toilet paper.,She noticed that she was out of toilet paper.," ""I went to the store and bought toilet paper. I noticed that"," ""The effect of the other is that the other is not the same"
A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth.," The dinosaurs became extinct.
Question: Which sentence is the cause of"," The effect of the other is that the dinosaurs became extinct.
Question"
The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth.," The dinosaurs became extinct. A large object hit the Earth.
Question"," The effect of the other is that the dinosaurs became extinct.
Question"
The bottle was left open. The soda went flat.,The bottle was left open.," The bottle was left open. The soda went flat.
Question:"," ""The bottle was left open.""
Question: Which sentence is the"
The soda went flat. The bottle was left open.,The bottle was left open.," The soda went flat.
Question: Which sentence is the cause of"," ""The soda went flat.""
Question: Which sentence is the effect"
The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery., The laptop ran out of battery. George plugged the laptop charger in.,"_________

Question: Which sentence is the effect of the other?"
George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery.," The other is caused by the other.
Question: Which sentence is"," ""The effect of the other is that the other is not the same"
The curtains were opened. Sunlight filled the room.,The curtains were opened.," ""The curtains were opened.""
Question: Which sentence is the cause"," ""The curtains were opened.""
Question: Which sentence is the effect"
Sunlight filled the room. The curtains were opened.,The curtains were opened.," ""The sun is the cause of the other.""
Question: Which"," ""The sun was shining, and the sky was blue.""
Question"
The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers.," The tomato flowers were pollinated by the insect.
Question: Which", The effect of the other is that the effect of the other is that
Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers.," The tomato plant is a pollinator.
Question: Which sentence is", The effect of the other is that the effect of the other is that
The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street.," The girl stepped onto the street. The driver hit the brakes.
"," The effect of the other is the effect of the first sentence.
"
The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street.," The driver hit the brakes.
Question: Which sentence is the cause", The effect of the other is the same as the effect of the first
There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction.," The other sentence is the cause of the other.
Question: Which", The effect of the other is that the performer ran off the stage.
The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction.," The performer ran off the stage.
Question: Which sentence is the"," ""The performer ran off the stage.""
Question: Which sentence is"
"A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light.",A bird hit the engine.," ""The pilot turned on the seatbelts.""
Question: Which"," ""The pilot turned on the seatbelts.""
Question: Which"
"The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.",A bird hit the engine.," ""The pilot turned on the ""fasten seatbelts"" light"," ""The pilot turned on the ""fasten seatbelts"" light"
The milk was left outside the fridge over night. The man sipped the milk and spit it out.,The milk was left outside the fridge over night.," ""The milk was left outside the fridge over night. The man s"," ""The milk was left outside the fridge over night. The man s"
The man sipped the milk and spit it out. The milk was left outside the fridge over night.,The milk was left outside the fridge over night.," ""The man sipped the milk and spit it out.""
Question"," ""The man sipped the milk and spit it out.""
Question"
The man couldn't hear what the woman was saying. The man turned down the music volume.,The man couldn't hear what the woman was saying., The man couldn't hear what the woman was saying. The man turned," ""The man couldn't hear what the woman was saying.""
Question"
The man turned down the music volume. The man couldn't hear what the woman was saying.,The man couldn't hear what the woman was saying.," The man turned down the music volume.
Question: Which sentence is"," ""The man turned down the music volume.""
Question: Which sentence"
The power was out for days. The meat spoiled.,The power was out for days.," The power was out for days. The meat spoiled.
Question:"," The effect of the other is the same.
Question: Which sentence"
The meat spoiled. The power was out for days.,The power was out for days.," The power was out for days.
Question: Which sentence is the"," The effect of the other is the same.
Question: Which sentence"
The gardener planted a seed. A flower grew.,The gardener planted a seed.," The gardener planted a seed. A flower grew.
Question:"," The effect of the other is the effect of the seed.
Question"
A flower grew. The gardener planted a seed.,The gardener planted a seed.," The seed is the cause of the other.
Question: Which sentence"," The effect of the other is the effect of the first.
Question"
The team won the game. The team won the championship.,The team won the game.,"__________
Question: Which sentence is the cause of the other?
","__________
Question: Which sentence is the effect of the other?
"
The team won the championship. The team won the game.,The team won the game.,"_________
Question: Which sentence is the cause of the other?
","__________
Question: Which sentence is the effect of the other?
"
The door was locked. The man climbed in through the window.,The door was locked.," The man climbed in through the window.
Question: Which sentence is"," The effect of the other is the same.
Question: Which sentence"
The man climbed in through the window. The door was locked.,The door was locked.," The man climbed in through the window.
Question: Which sentence is", The effect of the other is the same as the effect of the first
The wind blew strong. The ship capsized.,The wind blew strong.," The ship capsized.
Question: Which sentence is the cause of"," The ship capsized.
Question: Which sentence is the effect of"
The ship capsized. The wind blew strong.,The wind blew strong.," The ship capsized. The wind blew strong.
Question: Which"," The ship capsized. The wind blew strong.
Question: Which"
The man robbed a gas station. The man went to jail.,The man robbed a gas station.," The man robbed a gas station. The man went to jail.
"," The effect of the other is the same.
Question: Which sentence"
The man went to jail. The man robbed a gas station.,The man robbed a gas station.," The man went to jail. The man robbed a gas station.
"," The man went to jail. The man robbed a gas station.
"
Jill won the lawsuit against Acme. Acme paid Jill's legal fees.,Jill won the lawsuit against Acme.," The cause of the other is the sentence.
Question: Which sentence", The effect of the other sentence is that the sentence is not a sentence
Acme paid Jill's legal fees. Jill won the lawsuit against Acme.,Jill won the lawsuit against Acme.," ""The cause of the other sentence is that the plaintiff was not allowed"," The effect of the sentence is that the sentence is a sentence.
"
There was a snowstorm. School was cancelled.,There was a snowstorm.," The snowstorm.
Question: Which sentence is the cause of the", The effect of the other is that the effect of the other is that
School was cancelled. There was a snowstorm.,There was a snowstorm.,"_______________
Question: Which sentence is the cause of the other?
","__________
Question: Which sentence is the effect of the other?
"
The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.,The tenants noticed mold on the bathroom ceiling., The tenant noticed mold on the bathroom ceiling. The tenants contacted their landlord, The tenant noticed mold on the bathroom ceiling. The tenants contacted their landlord
The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.,The tenants noticed mold on the bathroom ceiling.,"__________
Question: Which sentence is the cause of the other?
", The tenant contacted their landlord. The tenants noticed mold on the bathroom ceiling
I studied hard. I got an A on the test.,I studied hard.," The cause of the other is the other.
Question: Which sentence", The effect of the other is that the other is more likely to be
I got an A on the test. I studied hard.,I studied hard., The cause of the other is the sentence that is the cause of the," The effect of the other is the effect of the other.
Question"
The boy threw a rock. The window broke.,The boy threw a rock.," The boy threw a rock.
Question: Which sentence is the cause"," The boy threw a rock. The window broke.
Question: Which"
The window broke. The boy threw a rock.,The boy threw a rock.," The boy threw a rock.
Question: Which sentence is the cause", The effect of the other is the same as the effect of the first
The driver ran a red light. The driver was pulled over and was fined.,The driver ran a red light.,"_______________
Question: Which sentence is the cause of the other?
","_______________
Question: Which sentence is the effect of the other?
"
The driver was pulled over and was fined. The driver ran a red light.,The driver ran a red light., The driver was pulled over and was fined. The driver ran a red," The driver was fined. The driver ran a red light.
Question"
The girl skipped school. The girl got detention.,The girl skipped school.," The girl skipped school. The girl got detention.
Question: Which"," The girl skipped school. The girl got detention.
Question: Which"
The girl got detention. The girl skipped school.,The girl skipped school.," The girl got detention. The girl skipped school.
Question: Which"," The girl got detention. The girl skipped school.
Question: Which"
I flipped the switch. Light filled the room.,I flipped the switch.," ""The light was on.""
Question: Which sentence is the cause"," ""The light was a light, and the other was a light."""
Light filled the room. I flipped the switch.,I flipped the switch.," ""The cause of the other is the other.""
Question: Which"," ""The effect of the other is that the other is the effect of"
I pulled the dog's tail. The dog bit me.,I pulled the dog's tail.," The dog bit me.
Question: Which sentence is the cause of"," The effect of the other is the effect of the other.
Question"
The dog bit me. I pulled the dog's tail.,I pulled the dog's tail.," The dog bit me.
Question: Which sentence is the cause of"," The effect of the other is the effect of the dog.
Question"
School was on break. The family went on vacation.,School was on break.,"_________
Question: Which sentence is the cause of the other?
","_________
Question: Which sentence is the effect of the other?
"
The family went on vacation. School was on break.,School was on break.," The cause of the other is the family going on vacation.
Question"," ""The family went on vacation. School was on break. Question:"
The air conditioner broke. The family went to the beach.,The air conditioner broke.," The air conditioner broke.
Question: Which sentence is the cause"," The effect of the other is the effect of the other.
Question"
The family went to the beach. The air conditioner broke.,The air conditioner broke.," The air conditioner broke.
Question: Which sentence is the cause", The effect of the other is that the family went to the beach.
The girl had a fever. Mom gave the girl fever medicine.,The girl had a fever.," The girl had a fever. Mom gave the girl fever medicine.
"," The girl had a fever. Mom gave the girl fever medicine.
"
Mom gave the girl fever medicine. The girl had a fever.,The girl had a fever.," The girl had a fever.
Question: Which sentence is the cause", The effect of the other is the same as the effect of the first
The bread was dry. We made French toast.,The bread was dry.," The bread was dry. We made French toast.
Question: Which"," The effect of the other is the effect of the other.
Question"
We made French toast. The bread was dry.,The bread was dry.," The cause of the other is the other.
Question: Which sentence", The effect of the other is that the effect of the other is that
The company's posted strong earnings. The company's stock went up.,The company's posted strong earnings., The company's posted strong earnings. The company's stock went up., The effect of the other sentence is the same as the effect of the
The company's stock went up. The company's posted strong earnings.,The company's posted strong earnings., The company's stock went up. The company's posted strong earnings., The company's stock went up. The company's posted strong earnings.
My clothes got dirty. I put my clothes in the washing machine.,My clothes got dirty.," The clothes got dirty.
Question: Which sentence is the cause of"," ""I put my clothes in the washing machine.""
Question: Which"
I put my clothes in the washing machine. My clothes got dirty.,My clothes got dirty.," The cause of the other is the other.
Question: Which sentence", The effect of the other is the same as the effect of the first
My friend got a promotion. My friend celebrated with their family.,My friend got a promotion.," The cause of the other is the other.
Question: Which sentence"," The effect of the other is the effect of the first sentence.
"
My friend celebrated with their family. My friend got a promotion.,My friend got a promotion.," The cause of the other is the other.
Question: Which sentence"," The effect of the other is the effect of the other.
Question"
The basketball player was shoved. The basketball player took a free throw.,The basketball player was shoved., The basketball player was shoved. The basketball player took a free throw.,"_________
Question: Which sentence is the effect of the other?
"
The basketball player took a free throw. The basketball player was shoved.,The basketball player was shoved., The basketball player took a free throw. The basketball player was shoved., The basketball player took a free throw. The basketball player was shoved.
Alice didn't wake up. Alice missed her flight.,Alice didn't wake up.," ""I miss my flight.""
Question: Which sentence is the cause"," ""The effect of the other is that the other is not the same"
Alice missed her flight. Alice didn't wake up.,Alice didn't wake up.," ""The cause of the other is that the other is a girl."""," ""The effect of the other is that the other is not the same"
The floor was wet. The man sued.,The floor was wet.," The cause of the other is the fact that the man sued.
", The effect of the other is the same as the effect of the first
The man sued. The floor was wet.,The floor was wet.," The man sued. The floor was wet.
Question: Which sentence", The effect of the other is the same as the effect of the first
It rained. The picnic was cancelled.,It rained.," The rain.
Question: Which sentence is the cause of the other", The effect of the other is that the effect of the other is that
The picnic was cancelled. It rained.,It rained.," The picnic was cancelled.
Question: Which sentence is the cause of", The effect of the other is that the effect of the other is that
The girl didn't wear her sweater. The girl caught a cold.,The girl didn't wear her sweater., The girl didn't wear her sweater. The girl caught a cold.," ""The girl didn't wear her sweater.""
Question: Which sentence"
The girl caught a cold. The girl didn't wear her sweater.,The girl didn't wear her sweater., The girl caught a cold. The girl didn't wear her sweater.," ""The girl caught a cold.""
Question: Which sentence is the"
The man got lost in the woods. A search party was assembled.,The man got lost in the woods., The man got lost in the woods. A search party was assembled., The man got lost in the woods. A search party was assembled.
A search party was assembled. The man got lost in the woods.,The man got lost in the woods.," The man got lost in the woods.
Question: Which sentence is", The effect of the other is the same as the effect of the first
Ted went out drinking. Ted had a hangover.,Ted went out drinking.," ""Ted went out drinking. Ted had a hangover.""
Question"," ""Ted went out drinking. Ted had a hangover.""
Question"
Ted had a hangover. Ted went out drinking.,Ted went out drinking.," ""Ted went out drinking.""
Question: Which sentence is the cause"," ""Ted went out drinking.""
Question: Which sentence is the effect"
Alice ate the last cookie. Bob opened the jar and was frustrated.,Alice ate the last cookie., The cause of the other is the cause of the cause of the cause, The effect of the other is that the effect of the other is that
Bob opened the jar and was frustrated. Alice ate the last cookie.,Alice ate the last cookie., The cause of the other is the cause of the cause of the cause," ""The effect of the other is that the other is more likely to"
Jimmy took the last piece of cake. Mom rinsed the tray.,Jimmy took the last piece of cake.," ""The cause of the other is that the other is a good person"," ""The effect of the other is that the other is not the same"
Mom rinsed the tray. Jimmy took the last piece of cake.,Jimmy took the last piece of cake.," ""The cause of the other is that the other is a good person"," ""The effect of the other is that the other is not the same"
