,sequence,answer_cause,answer_effect,switched,responses_cause,responses_effect
20,A large object hit the Earth. The dinosaurs became extinct.,A large object hit the Earth.,The dinosaurs became extinct.,False,"

A large object hit the Earth.","

The dinosaurs became extinct."
21,The dinosaurs became extinct. A large object hit the Earth.,A large object hit the Earth.,The dinosaurs became extinct.,True,"
A large object hit the Earth.","

The dinosaurs became extinct."
22,The bottle was left open. The soda went flat.,The bottle was left open.,The soda went flat.,False,"

The bottle was left open.","

The soda went flat."
23,The soda went flat. The bottle was left open.,The bottle was left open.,The soda went flat.,True,"

The bottle was left open.","

The soda went flat."
24,The laptop ran out of battery. George plugged the laptop charger in.,The laptop ran out of battery.,George plugged the laptop charger in.,False,"

The laptop ran out of battery. George plugged the laptop charger in.","
George plugged the laptop charger in."
25,George plugged the laptop charger in. The laptop ran out of battery.,The laptop ran out of battery.,George plugged the laptop charger in.,True,"

The laptop ran out of battery.","
George plugged the laptop charger in."
26,The curtains were opened. Sunlight filled the room.,The curtains were opened.,Sunlight filled the room.,False,"

The curtains were opened.","

Sunlight filled the room."
27,Sunlight filled the room. The curtains were opened.,The curtains were opened.,Sunlight filled the room.,True,"

The curtains were opened.","
Sunlight filled the room."
28,The insect pollinated the tomato flowers. Tomatoes grew on the vine.,The insect pollinated the tomato flowers.,Tomatoes grew on the vine.,False,"

The insect pollinated the tomato flowers.","

Tomatoes grew on the vine."
29,Tomatoes grew on the vine. The insect pollinated the tomato flowers.,The insect pollinated the tomato flowers.,Tomatoes grew on the vine.,True,"

The insect pollinated the tomato flowers.","

Tomatoes grew on the vine. The insect pollinated the tomato flowers."
30,The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street.,The driver hit the brakes.,False,"

The girl stepped onto the street.","

The driver hit the brakes."
31,The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street.,The driver hit the brakes.,True,"

The girl stepped onto the street.","

The girl stepped onto the street. The driver hit the brakes."
32,There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction.,The performer ran off the stage.,False,"

There was a wardrobe malfunction. The performer ran off the stage.","

The performer ran off the stage."
33,The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction.,The performer ran off the stage.,True,"
There was a wardrobe malfunction.","

The performer ran off the stage."
34,"A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light.",A bird hit the engine.,"The pilot turned on the ""fasten seatbelts"" light.",False,"

A bird hit the engine.","

The pilot turned on the ""fasten seatbelts"" light."
35,"The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.",A bird hit the engine.,"The pilot turned on the ""fasten seatbelts"" light.",True,"

A bird hit the engine.","

A bird hit the engine.
The pilot turned on the ""fasten seatbelts"
36,The milk was left outside the fridge over night. The man sipped the milk and spit it out.,The milk was left outside the fridge over night.,The man sipped the milk and spit it out.,False,"

The milk was left outside the fridge over night.","

The milk was left outside the fridge over night."
37,The man sipped the milk and spit it out. The milk was left outside the fridge over night.,The milk was left outside the fridge over night.,The man sipped the milk and spit it out.,True,"

The milk was left outside the fridge over night.","

The milk was left outside the fridge over night."
38,The man couldn't hear what the woman was saying. The man turned down the music volume.,The man couldn't hear what the woman was saying.,The man turned down the music volume.,False,"

The man turned down the music volume.","
The man turned down the music volume."
39,The man turned down the music volume. The man couldn't hear what the woman was saying.,The man couldn't hear what the woman was saying.,The man turned down the music volume.,True,"
The man couldn't hear what the woman was saying.","

The man turned down the music volume."
40,The power was out for days. The meat spoiled.,The power was out for days.,The meat spoiled.,False,"

The meat spoiled.","

The meat spoiled."
41,The meat spoiled. The power was out for days.,The power was out for days.,The meat spoiled.,True,"

The meat spoiled.","

The meat spoiled."
42,The gardener planted a seed. A flower grew.,The gardener planted a seed.,A flower grew.,False,"

The gardener planted a seed.","
A flower grew."
43,A flower grew. The gardener planted a seed.,The gardener planted a seed.,A flower grew.,True,"

The gardener planted a seed.","

A flower grew."
44,The team won the game. The team won the championship.,The team won the game.,The team won the championship.,False,"

The team won the game.","
The team won the championship."
45,The team won the championship. The team won the game.,The team won the game.,The team won the championship.,True,"

The team won the game.","

The team won the game."
46,The door was locked. The man climbed in through the window.,The door was locked.,The man climbed in through the window.,False,"

The man climbed in through the window.","

The man climbed in through the window."
47,The man climbed in through the window. The door was locked.,The door was locked.,The man climbed in through the window.,True,"

The door was locked.","

The man climbed in through the window."
48,The wind blew strong. The ship capsized.,The wind blew strong.,The ship capsized.,False,"

The wind blew strong.","

The ship capsized."
49,The ship capsized. The wind blew strong.,The wind blew strong.,The ship capsized.,True,"

The wind blew strong.","

The ship capsized."
50,The man robbed a gas station. The man went to jail.,The man robbed a gas station.,The man went to jail.,False,"

The man robbed a gas station.","
The man went to jail."
51,The man went to jail. The man robbed a gas station.,The man robbed a gas station.,The man went to jail.,True,"
The man robbed a gas station.","

The man went to jail."
52,Jill won the lawsuit against Acme. Acme paid Jill's legal fees.,Jill won the lawsuit against Acme.,Acme paid Jill's legal fees.,False,"

Jill won the lawsuit against Acme.","

Acme paid Jill's legal fees."
53,Acme paid Jill's legal fees. Jill won the lawsuit against Acme.,Jill won the lawsuit against Acme.,Acme paid Jill's legal fees.,True,"

Jill won the lawsuit against Acme.","

Jill won the lawsuit against Acme."
54,There was a snowstorm. School was cancelled.,There was a snowstorm.,School was cancelled.,False,"

School was cancelled.","
School was cancelled."
55,School was cancelled. There was a snowstorm.,There was a snowstorm.,School was cancelled.,True,"

School was cancelled. There was a snowstorm.","

School was cancelled."
56,The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.,The tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord.,False,"
The tenants noticed mold on the bathroom ceiling.
The landlord came to paint the mold.","

The tenants contacted their landlord."
57,The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.,The tenants noticed mold on the bathroom ceiling.,The tenants contacted their landlord.,True,"
The tenants noticed mold on the bathroom ceiling.","
The tenants noticed mold on the bathroom ceiling."
58,I studied hard. I got an A on the test.,I studied hard.,I got an A on the test.,False,"
I got an A on the test.","
I got an A on the test."
59,I got an A on the test. I studied hard.,I studied hard.,I got an A on the test.,True,"
I got an A on the test.","
I got an A on the test."
60,The boy threw a rock. The window broke.,The boy threw a rock.,The window broke.,False,"

The boy threw a rock. The window broke.","

The window broke."
61,The window broke. The boy threw a rock.,The boy threw a rock.,The window broke.,True,"
The boy threw a rock.","

The window broke."
62,The driver ran a red light. The driver was pulled over and was fined.,The driver ran a red light.,The driver was pulled over and was fined.,False,"

The driver ran a red light.","

The driver was pulled over and was fined."
63,The driver was pulled over and was fined. The driver ran a red light.,The driver ran a red light.,The driver was pulled over and was fined.,True,"

The driver ran a red light.","

The driver ran a red light."
64,The girl skipped school. The girl got detention.,The girl skipped school.,The girl got detention.,False,"
The girl skipped school.","
The girl got detention."
65,The girl got detention. The girl skipped school.,The girl skipped school.,The girl got detention.,True,"

The girl skipped school.","

The girl got detention."
66,I flipped the switch. Light filled the room.,I flipped the switch.,Light filled the room.,False,"

I flipped the switch.","
Light filled the room."
67,Light filled the room. I flipped the switch.,I flipped the switch.,Light filled the room.,True,"

I flipped the switch.","

Light filled the room."
68,I pulled the dog's tail. The dog bit me.,I pulled the dog's tail.,The dog bit me.,False,"

The dog bit me.","
The dog bit me."
69,The dog bit me. I pulled the dog's tail.,I pulled the dog's tail.,The dog bit me.,True,"

I pulled the dog's tail.","

The dog bit me."
70,School was on break. The family went on vacation.,School was on break.,The family went on vacation.,False,"

School was on break.","

The family went on vacation."
71,The family went on vacation. School was on break.,School was on break.,The family went on vacation.,True,"

School was on break.","

School was on break."
72,The air conditioner broke. The family went to the beach.,The air conditioner broke.,The family went to the beach.,False,"

The family went to the beach.","

The family went to the beach."
73,The family went to the beach. The air conditioner broke.,The air conditioner broke.,The family went to the beach.,True,"

The air conditioner broke.","

The air conditioner broke."
74,The girl had a fever. Mom gave the girl fever medicine.,The girl had a fever.,Mom gave the girl fever medicine.,False,"

The girl had a fever. Mom gave the girl fever medicine.","

The girl had a fever."
75,Mom gave the girl fever medicine. The girl had a fever.,The girl had a fever.,Mom gave the girl fever medicine.,True,"
The girl had a fever.","
The girl had a fever."
76,The bread was dry. We made French toast.,The bread was dry.,We made French toast.,False,"

The bread was dry.","

We made French toast."
77,We made French toast. The bread was dry.,The bread was dry.,We made French toast.,True,"
The bread was dry.","

The bread was dry."
78,The company's posted strong earnings. The company's stock went up.,The company's posted strong earnings.,The company's stock went up.,False,"

The company's stock went up.","

The company's stock went up."
79,The company's stock went up. The company's posted strong earnings.,The company's posted strong earnings.,The company's stock went up.,True,"

The company's stock went up.","

The company's stock went up."
80,My clothes got dirty. I put my clothes in the washing machine.,My clothes got dirty.,I put my clothes in the washing machine.,False,"

My clothes got dirty.","

I put my clothes in the washing machine."
81,I put my clothes in the washing machine. My clothes got dirty.,My clothes got dirty.,I put my clothes in the washing machine.,True,"
My clothes got dirty.","

My clothes got dirty."
82,My friend got a promotion. My friend celebrated with their family.,My friend got a promotion.,My friend celebrated with their family.,False,"
My friend got a promotion.","

My friend celebrated with their family."
83,My friend celebrated with their family. My friend got a promotion.,My friend got a promotion.,My friend celebrated with their family.,True,"
My friend got a promotion.","

My friend got a promotion."
84,The basketball player was shoved. The basketball player took a free throw.,The basketball player was shoved.,The basketball player took a free throw.,False,"

The basketball player was shoved.","

The basketball player took a free throw."
85,The basketball player took a free throw. The basketball player was shoved.,The basketball player was shoved.,The basketball player took a free throw.,True,"
The basketball player was shoved.","

The basketball player was shoved."
86,Alice didn't wake up. Alice missed her flight.,Alice didn't wake up.,Alice missed her flight.,False,"

Alice didn't wake up.","

Alice missed her flight."
87,Alice missed her flight. Alice didn't wake up.,Alice didn't wake up.,Alice missed her flight.,True,"
Alice didn't wake up.","

Alice didn't wake up."
88,The floor was wet. The man sued.,The floor was wet.,The man sued.,False,"

The floor was wet.","

The man sued."
89,The man sued. The floor was wet.,The floor was wet.,The man sued.,True,"

The floor was wet.","

The floor was wet."
90,It rained. The picnic was cancelled.,It rained.,The picnic was cancelled.,False,"

It rained.","

The picnic was cancelled."
91,The picnic was cancelled. It rained.,It rained.,The picnic was cancelled.,True,"

The picnic was cancelled.","

The picnic was cancelled."
92,The girl didn't wear her sweater. The girl caught a cold.,The girl didn't wear her sweater.,The girl caught a cold.,False,"

The girl didn't wear her sweater.
The girl caught a cold.","

The girl caught a cold."
93,The girl caught a cold. The girl didn't wear her sweater.,The girl didn't wear her sweater.,The girl caught a cold.,True,"
The girl didn't wear her sweater.","

The girl caught a cold."
94,The man got lost in the woods. A search party was assembled.,The man got lost in the woods.,A search party was assembled.,False,"

The man got lost in the woods.","
A search party was assembled."
95,A search party was assembled. The man got lost in the woods.,The man got lost in the woods.,A search party was assembled.,True,"

The man got lost in the woods.","

The man got lost in the woods."
96,Ted went out drinking. Ted had a hangover.,Ted went out drinking.,Ted had a hangover.,False,"

Ted went out drinking.","

Ted had a hangover."
97,Ted had a hangover. Ted went out drinking.,Ted went out drinking.,Ted had a hangover.,True,"

Ted went out drinking.","

Ted had a hangover."
98,Alice ate the last cookie. Bob opened the jar and was frustrated.,Alice ate the last cookie.,Bob opened the jar and was frustrated.,False,"

Alice ate the last cookie.","

Bob opened the jar and was frustrated."
99,Bob opened the jar and was frustrated. Alice ate the last cookie.,Alice ate the last cookie.,Bob opened the jar and was frustrated.,True,"
Alice ate the last cookie.","

Alice ate the last cookie."
100,Jimmy took the last piece of cake. Mom rinsed the tray.,Jimmy took the last piece of cake.,Mom rinsed the tray.,False,"
Jimmy took the last piece of cake.","

Jimmy took the last piece of cake."
101,Mom rinsed the tray. Jimmy took the last piece of cake.,Jimmy took the last piece of cake.,Mom rinsed the tray.,True,"
Jimmy took the last piece of cake.","
Jimmy took the last piece of cake."
