prompts,correct_answers,cause_answers,effect_answers,cause_answers_ex_switched,effect_answers_ex_switched
The girl stepped onto the street. The driver hit the brakes.,The girl stepped onto the street.,"

The girl stepped onto the street. The driver hit the brakes.","
The girl stepped onto the street. The driver hit the brakes.", The girl stepped onto the street. The driver hit the brakes.,"
The girl stepped onto the street. The driver hit the brakes."
The driver hit the brakes. The girl stepped onto the street.,The girl stepped onto the street.,"

The driver hit the brakes. The girl stepped onto the street.","

The driver hit the brakes.","

The driver hit the brakes. The girl stepped onto the street.","

The driver hit the brakes. The girl stepped onto the street."
There was a wardrobe malfunction. The performer ran off the stage.,There was a wardrobe malfunction.,"

The child started crying when the performer ran off the stage.","

The performer ran off the stage.","
There was a wardrobe malfunction. The performer ran off the stage.","

The child started crying. The child hurt their knee."
The performer ran off the stage. There was a wardrobe malfunction.,There was a wardrobe malfunction.,"

The child hurt their knee.","

There was a wardrobe malfunction.", There was a wardrobe malfunction.,"

The performer ran off the stage. There was a wardrobe malfunction."
"A bird hit the engine. The pilot turned on the ""fasten seatbelts"" light.",A bird hit the engine.,"

The bird hit the engine. The pilot turned on the ""fast","

The pilot turned on the ""fasten seatbelts"" light","

The pilot turned on the ""fasten seatbelts"" light","

The bird hit the engine. The pilot turned on the ""fast"
"The pilot turned on the ""fasten seatbelts"" light. A bird hit the engine.",A bird hit the engine.,"

The pilot turned on the ""fasten seatbelts"" light","

The pilot turned on the ""fasten seatbelts"" light","

The pilot turned on the ""fasten seatbelts"" light","

The pilot turned on the ""fasten seatbelts"" light"
The milk was left outside the fridge over night. The man sipped the milk and spit it out.,The milk was left outside the fridge over night.,"

The man sipped the milk and spit it out.","
The man sipped the milk and spit it out.","
The man sipped the milk and spit it out.","

The man sipped the milk and spit it out."
The man sipped the milk and spit it out. The milk was left outside the fridge over night.,The milk was left outside the fridge over night.,"

The man sipped the milk and spit it out. The milk","
The man spit it out.","
The man left the milk outside the fridge over night.","

The man sipped the milk and spit it out. The milk"
The man couldn't hear what the woman was saying. The man turned down the music volume.,The man couldn't hear what the woman was saying.,"

The man couldn't hear what the woman was saying.","

The man turned down the music volume.","

The man turned down the music volume.","

The man couldn't hear what the woman was saying."
The man turned down the music volume. The man couldn't hear what the woman was saying.,The man couldn't hear what the woman was saying.,"

The man turned down the music volume. The man couldn't hear", The man couldn't hear what the woman was saying.,"

The man couldn't hear what the woman was saying.","

The man turned down the music volume. The man couldn't hear"
The power was out for days. The meat spoiled.,The power was out for days.,"

The power was out for days.","
The meat spoiled.", The meat spoiled.,"

The meat spoiled."
The meat spoiled. The power was out for days.,The power was out for days.,"

The child started crying.", The meat spoiled. The power was out for days., The meat spoiled. The power was out for days.,"

The meat spoiled. The power was out for days."
The gardener planted a seed. A flower grew.,The gardener planted a seed.,"

The gardener planted a seed. A flower grew.","

The flower grew.","

The gardener planted a seed. A flower grew.","

The gardener planted a seed. A flower grew."
A flower grew. The gardener planted a seed.,The gardener planted a seed.,"

The child started crying.","

The flower grew. The gardener planted a seed.","

The flower grew. The gardener planted a seed.","

The flower grew. The gardener planted a seed."
The team won the game. The team won the championship.,The team won the game.,"

The team won the game.","
The team won the game.","
The team won the game.","
The team won the game."
The team won the championship. The team won the game.,The team won the game.,"

The team won the championship.","
The team won the championship.","
The team won the championship.","
The team won the championship."
The door was locked. The man climbed in through the window.,The door was locked.,"

The door was locked. The man climbed in through the window.", The man climbed in through the window., The man climbed in through the window.,"
The man climbed in through the window."
The man climbed in through the window. The door was locked.,The door was locked.,"

The man climbed in through the window. The door was locked.", The man climbed in through the window. The door was locked.,"

The man climbed in through the window.","
The man climbed in through the window. The door was locked."
The wind blew strong. The ship capsized.,The wind blew strong.,"

The wind blew strong. The ship capsized.","

The wind blew strong.","

The wind blew strong. The ship capsized.","

The wind blew strong. The ship capsized."
The ship capsized. The wind blew strong.,The wind blew strong.,"

The child started crying.","

The wind blew strong.","

The wind blew strong.","

The child hurt their knee."
The man robbed a gas station. The man went to jail.,The man robbed a gas station.,"

The man robbed a gas station. The man went to jail.","

The man robbed a gas station. The man went to jail.","

The man robbed a gas station. The man went to jail.","

The man robbed a gas station. The man went to jail."
The man went to jail. The man robbed a gas station.,The man robbed a gas station.,"

The man went to jail. The man robbed a gas station.","

The man robbed a gas station.","

The man robbed a gas station.","
The man went to jail. The man robbed a gas station."
Jill won the lawsuit against Acme. Acme paid Jill's legal fees.,Jill won the lawsuit against Acme.,"

The child started crying.","

The child hurt their knee. The child started crying.","

The child started crying. The child hurt their knee.","

The child started crying. The child hurt their knee."
Acme paid Jill's legal fees. Jill won the lawsuit against Acme.,Jill won the lawsuit against Acme.,"

The child started crying.","

The child hurt their knee. The child started crying.","

The child started crying. The child hurt their knee.","

The child started crying. The child hurt their knee."
There was a snowstorm. School was cancelled.,There was a snowstorm.,"

The child started crying.","

The snowstorm. School was cancelled.","

There was a snowstorm. School was cancelled.","

The child started crying."
School was cancelled. There was a snowstorm.,There was a snowstorm.,"

The child started crying.","

School was cancelled. There was a snowstorm.","

The snowstorm.","

The child started crying."
The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord.,The tenants noticed mold on the bathroom ceiling.,"

The tenants contacted their landlord.","

The tenants contacted their landlord.","

The tenants contacted their landlord.","
The tenants noticed mold on the bathroom ceiling. The tenants contacted their landlord"
The tenants contacted their landlord. The tenants noticed mold on the bathroom ceiling.,The tenants noticed mold on the bathroom ceiling.,"

The tenants contacted their landlord. The tenants noticed mold on the bathroom","

The tenants contacted their landlord and noticed mold on the bathroom ceiling.","

The tenants contacted their landlord. The tenants noticed mold on the bathroom","

The tenants contacted their landlord. The tenants noticed mold on the bathroom"
I studied hard. I got an A on the test.,I studied hard.,"

The child started crying.","

The child got an A on the test.","
I got an A on the test.","
The child started crying."
I got an A on the test. I studied hard.,I studied hard.,"

The child started crying.","

The child got an A on the test.","
I studied hard and got an A on the test.","

The child started crying."
The boy threw a rock. The window broke.,The boy threw a rock.,"

The boy threw a rock. The window broke.", The window broke.,"
The boy threw a rock. The window broke.","

The boy threw a rock. The window broke."
The window broke. The boy threw a rock.,The boy threw a rock.,"

The window broke. The boy threw a rock.","

The window broke. The boy threw a rock.","

The boy threw a rock.","

The window broke. The boy threw a rock."
The driver ran a red light. The driver was pulled over and was fined.,The driver ran a red light.,"

The driver ran a red light. The driver was pulled over and","

The driver ran a red light.","

The driver ran a red light. The driver was pulled over and","

The driver ran a red light. The driver was pulled over and"
The driver was pulled over and was fined. The driver ran a red light.,The driver ran a red light.,"

The driver was pulled over and was fined. The driver ran a","

The driver ran a red light.", The driver ran a red light.,"
The driver was pulled over and was fined. The driver ran a red"
The girl skipped school. The girl got detention.,The girl skipped school.,"

The girl skipped school. The girl got detention.","

The girl got detention.","

The girl skipped school. The girl got detention.","

The girl skipped school. The girl got detention."
The girl got detention. The girl skipped school.,The girl skipped school.,"

The girl got detention. The girl skipped school.","

The girl skipped school.","

The girl got detention. The girl skipped school.","

The girl got detention. The girl skipped school."
I flipped the switch. Light filled the room.,I flipped the switch.,"

The child started crying.","

The child started crying.","

The child hurt their knee.","

The child started crying."
Light filled the room. I flipped the switch.,I flipped the switch.,"

The child started crying when I flipped the switch.","

The light filled the room. I flip the switch.","

The light filled the room. I flip the switch.","

The child started crying."
I pulled the dog's tail. The dog bit me.,I pulled the dog's tail.,"

The child started crying.","

The dog bit me.","

The dog bit me.","

The child started crying."
The dog bit me. I pulled the dog's tail.,I pulled the dog's tail.,"

The child started crying.","

The dog bit me. I pulled the dog's tail.","
I pulled the dog's tail.","

The dog bit me. I pulled the dog's tail."
School was on break. The family went on vacation.,School was on break.,"

The family went on vacation.","

The family went on vacation.","

The family went on vacation.","

The family went on vacation."
The family went on vacation. School was on break.,School was on break.,"

The family went on vacation.","

The family went on vacation.","

The family went on vacation.","

The family went on vacation."
The air conditioner broke. The family went to the beach.,The air conditioner broke.,"

The air conditioner broke.","

The air conditioner broke.","

The family went to the beach.","

The air conditioner broke."
The family went to the beach. The air conditioner broke.,The air conditioner broke.,"

The family went to the beach. The air conditioner broke.","

The family went to the beach. The air conditioner broke.","

The family went to the beach. The air conditioner broke.","

The family went to the beach. The air conditioner broke."
The girl had a fever. Mom gave the girl fever medicine.,The girl had a fever.,"

The girl had a fever. Mom gave the girl fever medicine.","

The girl had a fever. Mom gave the girl fever medicine.","

The girl had a fever. Mom gave the girl fever medicine.","

The girl had a fever. Mom gave the girl fever medicine."
Mom gave the girl fever medicine. The girl had a fever.,The girl had a fever.,"

The child started crying.","

The girl had a fever.","

The girl had a fever.","

The girl had a fever."
The bread was dry. We made French toast.,The bread was dry.,"

The bread was dry. We made French toast.","

The bread was dry.","

The bread was dry. We made French toast.","

The bread was dry. We made French toast."
We made French toast. The bread was dry.,The bread was dry.,"

The child started crying.","

The bread was dry.","

The bread was dry.","

The bread was dry."
The company's posted strong earnings. The company's stock went up.,The company's posted strong earnings.,"

The company's stock went up.","

The company's stock went up.","

The company's stock went up.","

The company's stock went up."
The company's stock went up. The company's posted strong earnings.,The company's posted strong earnings.,"

The company's stock went up.","
The company's stock went up.","

The company's strong earnings led to a rise in the company's","

The company's stock went up."
My clothes got dirty. I put my clothes in the washing machine.,My clothes got dirty.,"

The child started crying.","

My clothes got dirty. I put my clothes in the washing machine","

My clothes got dirty. I put my clothes in the washing machine","

The child started crying."
I put my clothes in the washing machine. My clothes got dirty.,My clothes got dirty.,"

The child started crying.","

The child hurt their knee.","

The child started crying.","
The child started crying."
My friend got a promotion. My friend celebrated with their family.,My friend got a promotion.,"

The child started crying.","

The child hurt their knee. The child started crying.","
My friend celebrated with their family.","

The child started crying. The child hurt their knee."
My friend celebrated with their family. My friend got a promotion.,My friend got a promotion.,"

The child started crying.","

The child hurt their knee. The child started crying.","
My friend got a promotion.","

The child started crying. The child hurt their knee."
The basketball player was shoved. The basketball player took a free throw.,The basketball player was shoved.,"

The basketball player was shoved. The basketball player took a free throw","
The basketball player took a free throw.","
The basketball player took a free throw.","
The basketball player was shoved. The basketball player took a free throw."
The basketball player took a free throw. The basketball player was shoved.,The basketball player was shoved.,"

The basketball player took a free throw.","
The basketball player took a free throw. The basketball player was shoved.","
The basketball player was shoved.","
The basketball player took a free throw. The basketball player was shoved."
Alice didn't wake up. Alice missed her flight.,Alice didn't wake up.,"

The child started crying.","

The child hurt their knee. The child started crying.","

The child started crying. The child hurt their knee.","

The child started crying."
Alice missed her flight. Alice didn't wake up.,Alice didn't wake up.,"

The child started crying.","

The child missed their flight.","

The child missed their flight. Alice didn't wake up.","

The child started crying."
The floor was wet. The man sued.,The floor was wet.,"

The floor was wet. The man sued.", The man sued., The man sued.,"
The man sued."
The man sued. The floor was wet.,The floor was wet.,"

The man sued. The floor was wet.","

The floor was wet.","

The floor was wet.","

The man sued. The floor was wet."
It rained. The picnic was cancelled.,It rained.,"

The child started crying.","

The picnic was cancelled.","

The picnic was cancelled.","

The child started crying."
The picnic was cancelled. It rained.,It rained.,"

The picnic was cancelled.", The picnic was cancelled.,"

The picnic was cancelled.","

The picnic was cancelled."
The girl didn't wear her sweater. The girl caught a cold.,The girl didn't wear her sweater.,"

The girl didn't wear her sweater.", The girl caught a cold., The girl caught a cold.,"

The girl didn't wear her sweater."
The girl caught a cold. The girl didn't wear her sweater.,The girl didn't wear her sweater.,"

The girl caught a cold.","

The girl caught a cold.", The girl didn't wear her sweater.,"

The girl caught a cold."
The man got lost in the woods. A search party was assembled.,The man got lost in the woods.,"

The man got lost in the woods. A search party was assembled","

The man got lost in the woods. A search party was assembled","

The man got lost in the woods. A search party was assembled","

The man got lost in the woods. A search party was assembled"
A search party was assembled. The man got lost in the woods.,The man got lost in the woods.,"

The man got lost in the woods.","

The man got lost in the woods.","

The man got lost in the woods.","

The man got lost in the woods."
Ted went out drinking. Ted had a hangover.,Ted went out drinking.,"

The child started crying.","

The child hurt their knee. The child started crying.","

The child started crying. The child hurt their knee.","
The child started crying. The child hurt their knee."
Ted had a hangover. Ted went out drinking.,Ted went out drinking.,"

The child started crying.","

The child hurt their knee. The child started crying.", Ted went out drinking.,"

The child started crying. The child hurt their knee."
Alice ate the last cookie. Bob opened the jar and was frustrated.,Alice ate the last cookie.,"

The child started crying.","

The child hurt their knee. The child started crying.","

The child started crying. The child hurt their knee.","

The child started crying."
Bob opened the jar and was frustrated. Alice ate the last cookie.,Alice ate the last cookie.,"

The child started crying.","

The child hurt their knee.","

The child started crying. The child hurt their knee.","

The child started crying."
Jimmy took the last piece of cake. Mom rinsed the tray.,Jimmy took the last piece of cake.,"

The child started crying.","

The child hurt their knee. The child started crying.","

The child started crying. The child hurt their knee.","

The child started crying. The child hurt their knee."
Mom rinsed the tray. Jimmy took the last piece of cake.,Jimmy took the last piece of cake.,"

The child started crying.","

The child hurt their knee. The child started crying.","

The child started crying. The child hurt their knee.","

The child started crying."
