sequence,first_color,second_color,final_color
The green ball hit the purple ball. The red ball hit the green ball. The purple ball fell in the hole.,red,green,purple
The red ball hit the green ball. The green ball hit the black ball. The black ball fell in the hole.,red,green,black
The green ball hit the black ball. The red ball hit the green ball. The black ball fell in the hole.,red,green,black
The red ball hit the green ball. The green ball hit the white ball. The white ball fell in the hole.,red,green,white
The green ball hit the white ball. The red ball hit the green ball. The white ball fell in the hole.,red,green,white
The red ball hit the brown ball. The brown ball hit the purple ball. The purple ball fell in the hole.,red,brown,purple
The brown ball hit the purple ball. The red ball hit the brown ball. The purple ball fell in the hole.,red,brown,purple
The red ball hit the brown ball. The brown ball hit the black ball. The black ball fell in the hole.,red,brown,black
The brown ball hit the black ball. The red ball hit the brown ball. The black ball fell in the hole.,red,brown,black
The red ball hit the brown ball. The brown ball hit the white ball. The white ball fell in the hole.,red,brown,white
The brown ball hit the white ball. The red ball hit the brown ball. The white ball fell in the hole.,red,brown,white
The red ball hit the purple ball. The purple ball hit the black ball. The black ball fell in the hole.,red,purple,black
The purple ball hit the black ball. The red ball hit the purple ball. The black ball fell in the hole.,red,purple,black
The red ball hit the purple ball. The purple ball hit the white ball. The white ball fell in the hole.,red,purple,white
The purple ball hit the white ball. The red ball hit the purple ball. The white ball fell in the hole.,red,purple,white
The red ball hit the black ball. The black ball hit the white ball. The white ball fell in the hole.,red,black,white
The black ball hit the white ball. The red ball hit the black ball. The white ball fell in the hole.,red,black,white
The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball fell in the hole.,green,brown,purple
The brown ball hit the purple ball. The green ball hit the brown ball. The purple ball fell in the hole.,green,brown,purple
The green ball hit the brown ball. The brown ball hit the black ball. The black ball fell in the hole.,green,brown,black
The brown ball hit the black ball. The green ball hit the brown ball. The black ball fell in the hole.,green,brown,black
The green ball hit the brown ball. The brown ball hit the white ball. The white ball fell in the hole.,green,brown,white
The brown ball hit the white ball. The green ball hit the brown ball. The white ball fell in the hole.,green,brown,white
The green ball hit the purple ball. The purple ball hit the black ball. The black ball fell in the hole.,green,purple,black
The purple ball hit the black ball. The green ball hit the purple ball. The black ball fell in the hole.,green,purple,black
The green ball hit the purple ball. The purple ball hit the white ball. The white ball fell in the hole.,green,purple,white
The purple ball hit the white ball. The green ball hit the purple ball. The white ball fell in the hole.,green,purple,white
The green ball hit the black ball. The black ball hit the white ball. The white ball fell in the hole.,green,black,white
The black ball hit the white ball. The green ball hit the black ball. The white ball fell in the hole.,green,black,white
The brown ball hit the purple ball. The purple ball hit the black ball. The black ball fell in the hole.,brown,purple,black
The purple ball hit the black ball. The brown ball hit the purple ball. The black ball fell in the hole.,brown,purple,black
The brown ball hit the purple ball. The purple ball hit the white ball. The white ball fell in the hole.,brown,purple,white
The purple ball hit the white ball. The brown ball hit the purple ball. The white ball fell in the hole.,brown,purple,white
The brown ball hit the black ball. The black ball hit the white ball. The white ball fell in the hole.,brown,black,white
The black ball hit the white ball. The brown ball hit the black ball. The white ball fell in the hole.,brown,black,white
The purple ball hit the black ball. The black ball hit the white ball. The white ball fell in the hole.,purple,black,white
The black ball hit the white ball. The purple ball hit the black ball. The white ball fell in the hole.,purple,black,white
