,sequence,switched,first_color,second_color,final_color,responses_first,responses_second,responses_final
42,The red ball hit the brown ball. The brown ball hit the white ball. The white ball fell in the hole.,False,red,brown,white," the brown ball
The purple ball hit the black ball. The black ball hit the white ball"," the brown ball
The white ball hit the black ball. The black ball hit the purple ball"," the white ball
The green ball hit the black ball. The black ball hit the white ball"
43,The brown ball hit the white ball. The red ball hit the brown ball. The white ball fell in the hole.,True,red,brown,white," the brown ball
The green ball hit the black ball. The black ball hit the white ball"," the brown ball
The red ball hit the black ball. The black ball hit the white ball"," the brown ball
The blue ball hit the white ball. The white ball hit the blue ball"
44,The red ball hit the purple ball. The purple ball hit the black ball. The black ball fell in the hole.,False,red,purple,black," the red ball
The red ball hit the black ball. The black ball hit the red ball"," the black ball
The blue ball hit the white ball. The white ball hit the red ball"," the black ball
The black ball hit the purple ball. The purple ball hit the white ball"
45,The purple ball hit the black ball. The red ball hit the purple ball. The black ball fell in the hole.,True,red,purple,black," the purple ball
The white ball hit the black ball. The black ball hit the purple ball"," the purple ball
The black ball hit the purple ball. The purple ball hit the black ball"," the purple ball
The black ball hit the purple ball. The red ball hit the black ball"
46,The red ball hit the purple ball. The purple ball hit the white ball. The white ball fell in the hole.,False,red,purple,white," the red ball
The blue ball hit the green ball. The green ball hit the purple ball"," the purple ball
The purple ball hit the black ball. The black ball hit the red ball"," the white ball
The purple ball hit the black ball. The black ball hit the white ball"
47,The purple ball hit the white ball. The red ball hit the purple ball. The white ball fell in the hole.,True,red,purple,white," the purple ball
The purple ball hit the white ball. The black ball hit the white ball"," the purple ball
The black ball hit the white ball. The brown ball hit the black ball"," the purple ball
The white ball hit the purple ball. The purple ball hit the white ball"
48,The red ball hit the black ball. The black ball hit the white ball. The white ball fell in the hole.,False,red,black,white," the red ball
The blue ball hit the black ball. The black ball hit the white ball"," the black ball
The blue ball hit the black ball. The black ball hit the white ball"," the white ball
The blue ball hit the black ball. The black ball hit the purple ball"
49,The black ball hit the white ball. The red ball hit the black ball. The white ball fell in the hole.,True,red,black,white," the black ball
The purple ball hit the white ball. The brown ball hit the black ball"," the black ball
The black ball hit the purple ball. The purple ball hit the black ball"," the black ball
The black ball hit the white ball. The red ball hit the black ball"
50,The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball fell in the hole.,False,green,brown,purple," the brown ball
The brown ball hit the black ball. The black ball hit the white ball"," the brown ball
The green ball hit the brown ball. The brown ball hit the purple ball"," the purple ball
The purple ball hit the black ball. The black ball hit the white ball"
51,The brown ball hit the purple ball. The green ball hit the brown ball. The purple ball fell in the hole.,True,green,brown,purple," the brown ball
The black ball hit the white ball. The white ball hit the black ball"," the brown ball
The purple ball hit the black ball. The black ball hit the purple ball"," the brown ball
The blue ball hit the brown ball. The purple ball hit the blue ball"
52,The green ball hit the brown ball. The brown ball hit the black ball. The black ball fell in the hole.,False,green,brown,black," the brown ball
The green ball hit the purple ball. The purple ball hit the white ball"," the brown ball
The black ball hit the purple ball. The purple ball hit the black ball"," the black ball
The purple ball hit the black ball. The black ball hit the white ball"
53,The brown ball hit the black ball. The green ball hit the brown ball. The black ball fell in the hole.,True,green,brown,black," the brown ball
The black ball hit the purple ball. The purple ball hit the white ball"," the black ball
The black ball hit the white ball. The purple ball hit the black ball"," the brown ball
The black ball hit the white ball. The brown ball hit the black ball"
54,The green ball hit the brown ball. The brown ball hit the white ball. The white ball fell in the hole.,False,green,brown,white," the brown ball
The green ball hit the black ball. The black ball hit the white ball"," the brown ball
The brown ball hit the white ball. The white ball hit the black ball"," the white ball
The green ball hit the black ball. The black ball hit the red ball"
55,The brown ball hit the white ball. The green ball hit the brown ball. The white ball fell in the hole.,True,green,brown,white," the brown ball
The purple ball hit the black ball. The black ball hit the purple ball"," the brown ball
The blue ball hit the black ball. The black ball hit the red ball"," the brown ball
The white ball hit the purple ball. The blue ball hit the white ball"
56,The green ball hit the purple ball. The purple ball hit the black ball. The black ball fell in the hole.,False,green,purple,black," the purple ball
The red ball hit the purple ball. The purple ball hit the black ball"," the black ball
The blue ball hit the red ball. The red ball hit the white ball"," the black ball
The blue ball hit the red ball. The red ball hit the white ball"
57,The purple ball hit the black ball. The green ball hit the purple ball. The black ball fell in the hole.,True,green,purple,black," the purple ball
The purple ball hit the white ball. The white ball hit the black ball"," the purple ball
The red ball hit the black ball. The black ball hit the red ball"," the purple ball
The purple ball hit the black ball. The green ball hit the purple ball"
58,The green ball hit the purple ball. The purple ball hit the white ball. The white ball fell in the hole.,False,green,purple,white," the white ball
The purple ball hit the white ball. The white ball hit the brown ball"," the purple ball
The red ball hit the white ball. The white ball hit the black ball"," the white ball
The blue ball hit the black ball. The black ball hit the white ball"
59,The purple ball hit the white ball. The green ball hit the purple ball. The white ball fell in the hole.,True,green,purple,white," the purple ball
The purple ball hit the white ball. The white ball hit the black ball"," the purple ball
The purple ball hit the white ball. The green ball hit the purple ball"," the purple ball
The purple ball hit the white ball. The black ball hit the black ball"
60,The green ball hit the black ball. The black ball hit the white ball. The white ball fell in the hole.,False,green,black,white," the black ball
The black ball hit the purple ball. The purple ball hit the white ball"," the black ball
The black ball hit the white ball. The white ball hit the red ball"," the white ball
The blue ball hit the black ball. The black ball hit the white ball"
61,The black ball hit the white ball. The green ball hit the black ball. The white ball fell in the hole.,True,green,black,white," the black ball
The purple ball hit the white ball. The blue ball hit the purple ball"," the black ball
The black ball hit the white ball. The green ball hit the black ball"," the black ball
The black ball hit the white ball. The red ball hit the black ball"
62,The brown ball hit the purple ball. The purple ball hit the black ball. The black ball fell in the hole.,False,brown,purple,black," the purple ball
The purple ball hit the black ball. The black ball hit the white ball"," the purple ball
The black ball hit the white ball. The purple ball hit the black ball"," the black ball
The black ball hit the white ball. The purple ball hit the black ball"
63,The purple ball hit the black ball. The brown ball hit the purple ball. The black ball fell in the hole.,True,brown,purple,black," the purple ball
The brown ball hit the black ball. The purple ball hit the white ball"," the purple ball
The purple ball hit the black ball. The black ball hit the white ball"," the purple ball
The purple ball hit the black ball. The black ball hit the white ball"
64,The brown ball hit the purple ball. The purple ball hit the white ball. The white ball fell in the hole.,False,brown,purple,white," the blue ball
The purple ball hit the black ball. The black ball hit the white ball"," the purple ball
The black ball hit the white ball. The white ball hit the black ball"," the white ball
The green ball hit the purple ball. The purple ball hit the black ball"
65,The purple ball hit the white ball. The brown ball hit the purple ball. The white ball fell in the hole.,True,brown,purple,white," the purple ball
The purple ball hit the white ball. The brown ball hit the purple ball"," the purple ball
The black ball hit the white ball. The brown ball hit the black ball"," the purple ball
The red ball hit the white ball. The white ball hit the purple ball"
66,The brown ball hit the black ball. The black ball hit the white ball. The white ball fell in the hole.,False,brown,black,white," the black ball
The blue ball hit the black ball. The black ball hit the white ball"," the black ball
The black ball hit the white ball. The white ball hit the blue ball"," the white ball
The black ball hit the purple ball. The purple ball hit the white ball"
67,The black ball hit the white ball. The brown ball hit the black ball. The white ball fell in the hole.,True,brown,black,white," the black ball
The red ball hit the black ball. The black ball hit the white ball"," the black ball
The black ball hit the white ball. The white ball hit the black ball"," the black ball
The black ball hit the white ball. The brown ball hit the black ball"
68,The purple ball hit the black ball. The black ball hit the white ball. The white ball fell in the hole.,False,purple,black,white," the purple ball
The blue ball hit the red ball. The red ball hit the white ball"," the black ball
The black ball hit the white ball. The white ball hit the red ball"," the white ball
The black ball hit the white ball. The white ball hit the blue ball"
69,The black ball hit the white ball. The purple ball hit the black ball. The white ball fell in the hole.,True,purple,black,white," the black ball
The brown ball hit the white ball. The white ball hit the black ball"," the black ball
The black ball hit the white ball. The purple ball hit the black ball"," the black ball
The black ball hit the white ball. The purple ball hit the black ball"
