,sequence,switched,first_word,second_word,final_word,responses_first,responses_second,responses_final,responses_first_ss,responses_second_ss,responses_final_ss
29,The plomp hit the dinglebob. The baz hit the plomp. The dinglebob fell in the hole.,True,baz,plomp,dinglebob, the baz, the plomp, the dinglebob, the baz, the plomp, the dinglebob
30,The fuu hit the schleep. The schleep hit the blubb. The blubb fell in the hole.,False,fuu,schleep,blubb, the fuu, the schleep, the blubb, the fuu, the schleep, the blubb
31,The schleep hit the blubb. The fuu hit the schleep. The blubb fell in the hole.,True,fuu,schleep,blubb, the fuu, the schleep, the blubb, the fuu, the fuu, the blubb
32,The fuu hit the schleep. The schleep hit the dling. The dling fell in the hole.,False,fuu,schleep,dling, the fuu, the schleep, the dling, the fuu, the schleep, the dling
33,The schleep hit the dling. The fuu hit the schleep. The dling fell in the hole.,True,fuu,schleep,dling, the fuu, the schleep, the dling, the fuu, the schleep, the dling
34,The fuu hit the schleep. The schleep hit the plomp. The plomp fell in the hole.,False,fuu,schleep,plomp, the fuu, the schleep, the plomp, the fuu, the schleep, the plomp
35,The schleep hit the plomp. The fuu hit the schleep. The plomp fell in the hole.,True,fuu,schleep,plomp, the fuu, the schleep, the plomp, the fuu, the fuu, the plomp
36,The fuu hit the schleep. The schleep hit the dinglebob. The dinglebob fell in the hole.,False,fuu,schleep,dinglebob, the fuu, the schleep, the dinglebob, the fuu, the schleep, the dinglebob
37,The schleep hit the dinglebob. The fuu hit the schleep. The dinglebob fell in the hole.,True,fuu,schleep,dinglebob, the fuu, the schleep, the dinglebob, the fuu, the schleep, the dinglebob
38,The fuu hit the blubb. The blubb hit the dling. The dling fell in the hole.,False,fuu,blubb,dling, the fuu, the blubb, the dling, the fuu, the blubb, the dling
39,The blubb hit the dling. The fuu hit the blubb. The dling fell in the hole.,True,fuu,blubb,dling, the fuu, the blubb, the dling, the fuu, the blubb, the dling
40,The fuu hit the blubb. The blubb hit the plomp. The plomp fell in the hole.,False,fuu,blubb,plomp, the fuu, the blubb, the plomp, the fuu, the blubb, the plomp
41,The blubb hit the plomp. The fuu hit the blubb. The plomp fell in the hole.,True,fuu,blubb,plomp, the fuu, the blubb, the plomp, the fuu, the blubb, the plomp
42,The fuu hit the blubb. The blubb hit the dinglebob. The dinglebob fell in the hole.,False,fuu,blubb,dinglebob, the fuu, the blubb, the dinglebob, the fuu, the blubb, the dinglebob
43,The blubb hit the dinglebob. The fuu hit the blubb. The dinglebob fell in the hole.,True,fuu,blubb,dinglebob, the fuu, the blubb, the dinglebob, the fuu, the blubb, the dinglebob
44,The fuu hit the dling. The dling hit the plomp. The plomp fell in the hole.,False,fuu,dling,plomp, the fuu, the dling, the plomp, the fuu, the dling, the plomp
45,The dling hit the plomp. The fuu hit the dling. The plomp fell in the hole.,True,fuu,dling,plomp, the fuu, the dling, the plomp, the fuu, the fuu, the plomp
46,The fuu hit the dling. The dling hit the dinglebob. The dinglebob fell in the hole.,False,fuu,dling,dinglebob, the fuu, the dling, the dinglebob, the fuu, the dling, the dinglebob
47,The dling hit the dinglebob. The fuu hit the dling. The dinglebob fell in the hole.,True,fuu,dling,dinglebob, the fuu, the dling, the dinglebob, the fuu, the dling, the dinglebob
48,The fuu hit the plomp. The plomp hit the dinglebob. The dinglebob fell in the hole.,False,fuu,plomp,dinglebob, the fuu, the plomp, the dinglebob, the fuu, the plomp, the dinglebob
49,The plomp hit the dinglebob. The fuu hit the plomp. The dinglebob fell in the hole.,True,fuu,plomp,dinglebob, the fuu, the plomp, the dinglebob, the fuu, the fuu, the dinglebob
50,The schleep hit the blubb. The blubb hit the dling. The dling fell in the hole.,False,schleep,blubb,dling, the schleep, the blubb, the dling, the schleep, the blubb, the dling
51,The blubb hit the dling. The schleep hit the blubb. The dling fell in the hole.,True,schleep,blubb,dling, the schleep, the blubb, the dling, the schleep, the blubb, the dling
52,The schleep hit the blubb. The blubb hit the plomp. The plomp fell in the hole.,False,schleep,blubb,plomp, the schleep, the blubb, the plomp, the schleep, the blubb, the plomp
53,The blubb hit the plomp. The schleep hit the blubb. The plomp fell in the hole.,True,schleep,blubb,plomp, the schleep, the blubb, the plomp, the schleep, the schleep, the plomp
54,The schleep hit the blubb. The blubb hit the dinglebob. The dinglebob fell in the hole.,False,schleep,blubb,dinglebob, the schleep, the blubb, the dinglebob, the schleep, the blubb, the dinglebob
55,The blubb hit the dinglebob. The schleep hit the blubb. The dinglebob fell in the hole.,True,schleep,blubb,dinglebob, the schleep, the blubb, the dinglebob, the schleep, the blubb, the dinglebob
56,The schleep hit the dling. The dling hit the plomp. The plomp fell in the hole.,False,schleep,dling,plomp, the schleep, the dling, the plomp, the schleep, the dling, the plomp
57,The dling hit the plomp. The schleep hit the dling. The plomp fell in the hole.,True,schleep,dling,plomp, the schleep, the dling, the plomp, the dling, the schleep, the plomp
58,The schleep hit the dling. The dling hit the dinglebob. The dinglebob fell in the hole.,False,schleep,dling,dinglebob, the schleep, the dling, the dinglebob, the schleep, the dling, the dinglebob
59,The dling hit the dinglebob. The schleep hit the dling. The dinglebob fell in the hole.,True,schleep,dling,dinglebob, the schleep, the dling, the dinglebob, the dling, the schleep, the dinglebob
60,The schleep hit the plomp. The plomp hit the dinglebob. The dinglebob fell in the hole.,False,schleep,plomp,dinglebob, the schleep, the plomp, the dinglebob, the schleep, the plomp, the dinglebob
61,The plomp hit the dinglebob. The schleep hit the plomp. The dinglebob fell in the hole.,True,schleep,plomp,dinglebob, the schleep, the plomp, the dinglebob, the schleep, the plomp, the dinglebob
62,The blubb hit the dling. The dling hit the plomp. The plomp fell in the hole.,False,blubb,dling,plomp, the blubb, the dling, the plomp, the dling, the dling, the plomp
63,The dling hit the plomp. The blubb hit the dling. The plomp fell in the hole.,True,blubb,dling,plomp, the blubb, the dling, the plomp, the blubb, the blubb, the plomp
64,The blubb hit the dling. The dling hit the dinglebob. The dinglebob fell in the hole.,False,blubb,dling,dinglebob, the blubb, the dling, the dinglebob, the blubb, the dling, the dinglebob
65,The dling hit the dinglebob. The blubb hit the dling. The dinglebob fell in the hole.,True,blubb,dling,dinglebob, the blubb, the dling, the dinglebob, the dling, the dling, the dinglebob
66,The blubb hit the plomp. The plomp hit the dinglebob. The dinglebob fell in the hole.,False,blubb,plomp,dinglebob, the blubb, the plomp, the dinglebob, the blubb, the plomp, the dinglebob
67,The plomp hit the dinglebob. The blubb hit the plomp. The dinglebob fell in the hole.,True,blubb,plomp,dinglebob, the blubb, the plomp, the dinglebob, the blubb, the plomp, the dinglebob
68,The dling hit the plomp. The plomp hit the dinglebob. The dinglebob fell in the hole.,False,dling,plomp,dinglebob, the dling, the plomp, the dinglebob, the dling, the plomp, the dinglebob
69,The plomp hit the dinglebob. The dling hit the plomp. The dinglebob fell in the hole.,True,dling,plomp,dinglebob, the dling, the plomp, the dinglebob, the dling, the plomp, the dinglebob
