,sequence,switched,first_word,second_word,final_word,responses_first,responses_second,responses_final,responses_first_ss,responses_second_ss,responses_final_ss
19,The blubb hit the dling. The baz hit the blubb. The dling fell in the hole.,True,baz,blubb,dling," the blubb
The dinglebob hit the plomp. The blubb hit the d"," the blubb
The fuu hit the blubb. The dinglebob hit the f"," the dling
The plomp hit the dinglebob. The fuu hit the pl"," the baz
The blubb hit the fuu. The fuu hit the blubb.", the blubb, the blubb
20,The baz hit the blubb. The blubb hit the plomp. The plomp fell in the hole.,False,baz,blubb,plomp, the baz, the plomp, the plomp," the baz
The schleep hit the blubb. The blubb hit the dingleb"," the blubb
The fuu hit the dinglebob. The dinglebob hit"," the plomp
The schleep hit the baz. The baz hit the schleep."
21,The blubb hit the plomp. The baz hit the blubb. The plomp fell in the hole.,True,baz,blubb,plomp," the baz
The fuu hit the dinglebob. The baz hit the f"," the blubb
The blubb hit the plomp. The fuu hit the blubb.", the plomp," the blubb, the blubb, the blubb"," the blubb
The blubb hit the dinglebob. The dinglebob fell", the blubb
22,The baz hit the blubb. The blubb hit the dinglebob. The dinglebob fell in the hole.,False,baz,blubb,dinglebob," the baz
The baz hit the blubb. The blubb hit the fuu.", the blubb, the dinglebob," the baz
The blubb hit the plomp. The plomp hit the dingleb", the blubb, the dinglebob
23,The blubb hit the dinglebob. The baz hit the blubb. The dinglebob fell in the hole.,True,baz,blubb,dinglebob, the blubb, the blubb, the dinglebob," the baz
The blubb hit the plomp. The plomp hit the dingleb", the blubb, the dinglebob
24,The baz hit the dling. The dling hit the plomp. The plomp fell in the hole.,False,baz,dling,plomp, the baz, the blubb, the plomp," the baz
The blubb hit the plomp. The fuu hit the blubb.", the dling, the plomp
25,The dling hit the plomp. The baz hit the dling. The plomp fell in the hole.,True,baz,dling,plomp," the baz
The fuu hit the schleep. The blubb hit the fuu.", the dling," the plomp
The plomp hit the dinglebob. The baz hit the pl"," the dling
The blubb hit the plomp. The plomp hit the dingleb", the dling, the dling
26,The baz hit the dling. The dling hit the dinglebob. The dinglebob fell in the hole.,False,baz,dling,dinglebob," the baz
The blubb hit the plomp. The plomp fell in the hole.", the dling, the dinglebob," the blubb
The blubb hit the fuu. The blubb hit the schleep."," the blubb
The blubb hit the plomp. The baz hit the blubb.", the dinglebob
27,The dling hit the dinglebob. The baz hit the dling. The dinglebob fell in the hole.,True,baz,dling,dinglebob, the baz," the dling
The blubb hit the plomp. The fuu hit the blubb."," the dinglebob
The blubb hit the plomp. The fuu hit the bl"," the baz
The blubb hit the plomp. The plomp hit the dingleb", the baz, the plomp
28,The baz hit the plomp. The plomp hit the dinglebob. The dinglebob fell in the hole.,False,baz,plomp,dinglebob, the baz," the plomp
The blubb hit the fuu. The fuu hit the dingleb", the dinglebob," the fuu
The blubb hit the dinglebob. The baz hit the bl", the baz," the plomp
The fuu hit the dinglebob. The blubb hit the f"
29,The plomp hit the dinglebob. The baz hit the plomp. The dinglebob fell in the hole.,True,baz,plomp,dinglebob," the baz
The fuu hit the blubb. The blubb hit the fuu."," the plomp
The fuu hit the plomp. The baz hit the fuu.", the plomp," the baz
The plomp hit the dinglebob. The baz hit the bl", the baz, the plomp
30,The fuu hit the schleep. The schleep hit the blubb. The blubb fell in the hole.,False,fuu,schleep,blubb," the fuu
The blubb hit the plomp. The plomp fell in the hole.", the blubb, the blubb, the blubb," the fuu
The blubb hit the fuu. The fuu hit the blubb.", the blubb
31,The schleep hit the blubb. The fuu hit the schleep. The blubb fell in the hole.,True,fuu,schleep,blubb, the fuu," the fuu
The blubb hit the fuu. The baz hit the blubb."," the dling
The blubb hit the dinglebob. The schleep hit the bl"," the schleep
The blubb hit the plomp. The plomp fell in the hole.", the fuu, the blubb
32,The fuu hit the schleep. The schleep hit the dling. The dling fell in the hole.,False,fuu,schleep,dling, the fuu, the dling, the dling," the fuu
The blubb hit the plomp. The fuu hit the blubb.", the fuu, the dling
33,The schleep hit the dling. The fuu hit the schleep. The dling fell in the hole.,True,fuu,schleep,dling, the fuu, the fuu, the dinglebob, the baz, the fuu, the dling
34,The fuu hit the schleep. The schleep hit the plomp. The plomp fell in the hole.,False,fuu,schleep,plomp," the fuu
The blubb hit the dinglebob. The dinglebob hit", the schleep, the plomp, the fuu," the fuu
The dling hit the plomp. The blubb hit the dling.", the plomp
35,The schleep hit the plomp. The fuu hit the schleep. The plomp fell in the hole.,True,fuu,schleep,plomp," the fuu
The dinglebob hit the plomp. The fuu hit the d", the plomp, the fuu," the schleep
The blubb hit the plomp. The plomp hit the dingleb", the blubb, the schleep
36,The fuu hit the schleep. The schleep hit the dinglebob. The dinglebob fell in the hole.,False,fuu,schleep,dinglebob," the fuu
The baz hit the plomp. The plomp hit the fuu.", the blubb, the dinglebob," the fuu
The blubb hit the plomp. The schleep hit the blubb."," the blubb
The blubb hit the plomp. The plomp hit the fuu.", the dinglebob
37,The schleep hit the dinglebob. The fuu hit the schleep. The dinglebob fell in the hole.,True,fuu,schleep,dinglebob," the fuu
The fuu hit the schleep. The dinglebob hit the pl", the fuu, the dinglebob," the blubb
The blubb hit the plomp. The plomp hit the dingleb"," the fuu
The fuu hit the dinglebob. The dinglebob hit", the dinglebob
38,The fuu hit the blubb. The blubb hit the dling. The dling fell in the hole.,False,fuu,blubb,dling," the fuu
The blubb hit the plomp. The plomp hit the hole.", the blubb, the dling," the fuu
The blubb hit the plomp. The plomp hit the dingleb"," the blubb
The blubb hit the plomp. The baz hit the blubb.", the dling
39,The blubb hit the dling. The fuu hit the blubb. The dling fell in the hole.,True,fuu,blubb,dling, the fuu, the fuu, the dinglebob, the blubb, the blubb, the blubb
40,The fuu hit the blubb. The blubb hit the plomp. The plomp fell in the hole.,False,fuu,blubb,plomp," the baz
The baz hit the blubb. The blubb hit the dingleb", the blubb, the plomp, the fuu," the blubb
The blubb hit the fuu. The fuu hit the blubb."," the plomp
The blubb hit the dinglebob. The dinglebob fell"
41,The blubb hit the plomp. The fuu hit the blubb. The plomp fell in the hole.,True,fuu,blubb,plomp, the fuu," the blubb
The blubb hit the plomp. The fuu hit the blubb.", the fuu," the baz
The dinglebob hit the blubb. The blubb hit the d", the blubb, the blubb
42,The fuu hit the blubb. The blubb hit the dinglebob. The dinglebob fell in the hole.,False,fuu,blubb,dinglebob," the fuu
The blubb hit the plomp. The plomp hit the dingleb", the blubb, the dinglebob, the fuu," the blubb
The blubb hit the plomp. The fuu hit the blubb.", the dinglebob
43,The blubb hit the dinglebob. The fuu hit the blubb. The dinglebob fell in the hole.,True,fuu,blubb,dinglebob," the fuu
The blubb hit the plomp. The fuu hit the blubb."," the fuu
The blubb hit the dinglebob. The dinglebob hit", the dinglebob," the blubb, the dinglebob, and the plomp", the fuu, the fuu
44,The fuu hit the dling. The dling hit the plomp. The plomp fell in the hole.,False,fuu,dling,plomp," the fuu
The blubb hit the fuu. The fuu hit the blubb.", the dling, the plomp, the blubb, the fuu," the plomp
The fuu hit the blubb. The blubb hit the fuu."
45,The dling hit the plomp. The fuu hit the dling. The plomp fell in the hole.,True,fuu,dling,plomp, the fuu, the fuu, the plomp," the baz
The baz hit the plomp. The fuu hit the blubb.", the fuu, the fuu
46,The fuu hit the dling. The dling hit the dinglebob. The dinglebob fell in the hole.,False,fuu,dling,dinglebob," the dling
The blubb hit the plomp. The plomp hit the baz.", the blubb, the dinglebob," the fuu
The schleep hit the plomp. The baz hit the schleep.", the fuu, the dinglebob
47,The dling hit the dinglebob. The fuu hit the dling. The dinglebob fell in the hole.,True,fuu,dling,dinglebob," the baz
The blubb hit the dinglebob. The blubb hit the f", the dling, the dling, the dling, the dling, the dinglebob
48,The fuu hit the plomp. The plomp hit the dinglebob. The dinglebob fell in the hole.,False,fuu,plomp,dinglebob, the fuu, the plomp, the dinglebob," the fuu
The blubb hit the plomp. The fuu hit the blubb."," the fuu
The blubb hit the dinglebob. The baz hit the bl", the plomp
49,The plomp hit the dinglebob. The fuu hit the plomp. The dinglebob fell in the hole.,True,fuu,plomp,dinglebob," the plomp
The dinglebob hit the plomp. The plomp fell in the", the fuu," the dinglebob
The blubb hit the dinglebob. The fuu hit"," the baz
The baz hit the fuu. The fuu hit the plomp.", the plomp, the plomp
50,The schleep hit the blubb. The blubb hit the dling. The dling fell in the hole.,False,schleep,blubb,dling, the schleep," the blubb
The baz hit the blubb. The blubb hit the dingleb", the dinglebob," the blubb
The plomp hit the dinglebob. The fuu hit the pl", the blubb," the blubb
The fuu hit the blubb. The baz hit the fuu."
51,The blubb hit the dling. The schleep hit the blubb. The dling fell in the hole.,True,schleep,blubb,dling, the blubb," the blubb
The blubb hit the plomp. The baz hit the blubb."," the dling
The fuu hit the plomp. The baz hit the fuu."," the blubb
The dinglebob hit the blubb. The blubb hit the pl", the blubb, the blubb
52,The schleep hit the blubb. The blubb hit the plomp. The plomp fell in the hole.,False,schleep,blubb,plomp, the schleep, the blubb, the plomp, the blubb," the blubb
The blubb hit the plomp. The plomp hit the dingleb"," the plomp
The fuu hit the dinglebob. The dinglebob hit"
53,The blubb hit the plomp. The schleep hit the blubb. The plomp fell in the hole.,True,schleep,blubb,plomp," the blubb
The fuu hit the plomp. The schleep hit the fuu."," the blubb
The fuu hit the blubb. The baz hit the fuu.", the plomp," the baz
The fuu hit the dinglebob. The dinglebob fell", the blubb, the blubb
54,The schleep hit the blubb. The blubb hit the dinglebob. The dinglebob fell in the hole.,False,schleep,blubb,dinglebob," the baz
The blubb hit the fuu. The fuu hit the blubb.", the blubb, the dinglebob," the blubb
The fuu hit the blubb. The blubb hit the dingleb"," the blubb
The plomp hit the dinglebob. The dinglebob hit", the dinglebob
55,The blubb hit the dinglebob. The schleep hit the blubb. The dinglebob fell in the hole.,True,schleep,blubb,dinglebob," the blubb
The fuu hit the blubb. The blubb hit the fuu.", the blubb, the dinglebob," the blubb
The blubb hit the fuu. The fuu hit the plomp.", the blubb, the blubb
56,The schleep hit the dling. The dling hit the plomp. The plomp fell in the hole.,False,schleep,dling,plomp," the baz
The baz hit the fuu. The fuu hit the plomp.", the plomp, the plomp, the blubb," the fuu
The fuu hit the blubb. The blubb hit the fuu."," the dling
The blubb hit the plomp. The fuu hit the blubb."
57,The dling hit the plomp. The schleep hit the dling. The plomp fell in the hole.,True,schleep,dling,plomp," the fuu
The plomp hit the dinglebob. The fuu hit the pl"," the schleep
The blubb hit the dling. The baz hit the schleep."," the plomp
The blubb hit the blubb. The fuu hit the blubb."," the dling
The fuu hit the blubb. The blubb hit the plomp.", the fuu, the plomp
58,The schleep hit the dling. The dling hit the dinglebob. The dinglebob fell in the hole.,False,schleep,dling,dinglebob, the blubb, the dinglebob, the dinglebob, the dling, the blubb, the dinglebob
59,The dling hit the dinglebob. The schleep hit the dling. The dinglebob fell in the hole.,True,schleep,dling,dinglebob," the dling
The blubb hit the plomp. The baz hit the plomp.", the dling," the plomp
The plomp hit the fuu. The baz hit the plomp."," the baz
The fuu hit the blubb. The blubb hit the blubb.", the dinglebob, the dinglebob
60,The schleep hit the plomp. The plomp hit the dinglebob. The dinglebob fell in the hole.,False,schleep,plomp,dinglebob," the fuu
The dling hit the baz. The baz hit the fuu.", the plomp, the dinglebob, the plomp, the blubb, the plomp
61,The plomp hit the dinglebob. The schleep hit the plomp. The dinglebob fell in the hole.,True,schleep,plomp,dinglebob, the fuu," the blubb
The fuu hit the blubb. The plomp hit the dingleb"," the plomp
The blubb hit the plomp. The fuu hit the blubb.", the plomp, the plomp, the plomp
62,The blubb hit the dling. The dling hit the plomp. The plomp fell in the hole.,False,blubb,dling,plomp, the blubb, the blubb, the plomp," the baz
The blubb hit the dinglebob. The fuu hit the bl", the blubb," the plomp
The blubb hit the dinglebob. The dinglebob hit"
63,The dling hit the plomp. The blubb hit the dling. The plomp fell in the hole.,True,blubb,dling,plomp," the blubb
The blubb hit the plomp. The fuu hit the blubb.", the dling," the plomp
The fuu hit the blubb. The baz hit the fuu."," the dling
The blubb hit the plomp. The plomp hit the fuu.", the blubb, the dling
64,The blubb hit the dling. The dling hit the dinglebob. The dinglebob fell in the hole.,False,blubb,dling,dinglebob," the fuu
The blubb hit the plomp. The plomp hit the hole.", the blubb, the dinglebob," the blubb
The blubb hit the plomp. The plomp hit the dingleb"," the dling
The blubb hit the plomp. The plomp hit the dingleb"," the dling
The blubb hit the plomp. The plomp hit the fuu."
65,The dling hit the dinglebob. The blubb hit the dling. The dinglebob fell in the hole.,True,blubb,dling,dinglebob," the blubb
The blubb hit the plomp. The fuu hit the schleep."," the blubb
The fuu hit the blubb. The baz hit the fuu."," the dinglebob
The fuu hit the dinglebob. The baz hit"," the baz
The blubb hit the plomp. The plomp fell in the hole.", the dling, the dinglebob
66,The blubb hit the plomp. The plomp hit the dinglebob. The dinglebob fell in the hole.,False,blubb,plomp,dinglebob, the blubb, the dinglebob, the dinglebob, the blubb," the blubb
The blubb hit the plomp. The plomp hit the fuu.", the plomp
67,The plomp hit the dinglebob. The blubb hit the plomp. The dinglebob fell in the hole.,True,blubb,plomp,dinglebob," the blubb
The plomp hit the dinglebob. The schleep hit the pl"," the plomp
The fuu hit the plomp. The blubb hit the fuu."," the plomp
The dling hit the plomp. The blubb hit the dling.", the plomp, the blubb, the plomp
68,The dling hit the plomp. The plomp hit the dinglebob. The dinglebob fell in the hole.,False,dling,plomp,dinglebob," the blubb
The blubb hit the fuu. The fuu hit the blubb.", the plomp, the dinglebob, the dling," the plomp
The blubb hit the dinglebob. The schleep hit the bl"," the plomp
The plomp hit the dinglebob. The dinglebob hit"
69,The plomp hit the dinglebob. The dling hit the plomp. The dinglebob fell in the hole.,True,dling,plomp,dinglebob," the plomp
The baz hit the schleep. The fuu hit the baz."," the plomp
The fuu hit the schleep. The baz hit the fuu."," the plomp
The fuu hit the plomp. The blubb hit the fuu."," the blubb
The baz hit the fuu. The fuu hit the dingleb", the plomp, the dinglebob
