sequence,switched,first_color,second_color,final_color
The blue ball hit the brown ball. The brown ball hit the white ball. The white ball fell in the hole.,False,blue,brown,white
The brown ball hit the white ball. The blue ball hit the brown ball. The white ball fell in the hole.,True,blue,brown,white
The blue ball hit the purple ball. The purple ball hit the black ball. The black ball fell in the hole.,False,blue,purple,black
The purple ball hit the black ball. The blue ball hit the purple ball. The black ball fell in the hole.,True,blue,purple,black
The blue ball hit the purple ball. The purple ball hit the white ball. The white ball fell in the hole.,False,blue,purple,white
The purple ball hit the white ball. The blue ball hit the purple ball. The white ball fell in the hole.,True,blue,purple,white
The blue ball hit the black ball. The black ball hit the white ball. The white ball fell in the hole.,False,blue,black,white
The black ball hit the white ball. The blue ball hit the black ball. The white ball fell in the hole.,True,blue,black,white
The red ball hit the green ball. The green ball hit the brown ball. The brown ball fell in the hole.,False,red,green,brown
The green ball hit the brown ball. The red ball hit the green ball. The brown ball fell in the hole.,True,red,green,brown
The red ball hit the green ball. The green ball hit the purple ball. The purple ball fell in the hole.,False,red,green,purple
The green ball hit the purple ball. The red ball hit the green ball. The purple ball fell in the hole.,True,red,green,purple
The red ball hit the green ball. The green ball hit the black ball. The black ball fell in the hole.,False,red,green,black
The green ball hit the black ball. The red ball hit the green ball. The black ball fell in the hole.,True,red,green,black
The red ball hit the green ball. The green ball hit the white ball. The white ball fell in the hole.,False,red,green,white
The green ball hit the white ball. The red ball hit the green ball. The white ball fell in the hole.,True,red,green,white
The red ball hit the brown ball. The brown ball hit the purple ball. The purple ball fell in the hole.,False,red,brown,purple
The brown ball hit the purple ball. The red ball hit the brown ball. The purple ball fell in the hole.,True,red,brown,purple
The red ball hit the brown ball. The brown ball hit the black ball. The black ball fell in the hole.,False,red,brown,black
The brown ball hit the black ball. The red ball hit the brown ball. The black ball fell in the hole.,True,red,brown,black
The red ball hit the brown ball. The brown ball hit the white ball. The white ball fell in the hole.,False,red,brown,white
The brown ball hit the white ball. The red ball hit the brown ball. The white ball fell in the hole.,True,red,brown,white
The red ball hit the purple ball. The purple ball hit the black ball. The black ball fell in the hole.,False,red,purple,black
The purple ball hit the black ball. The red ball hit the purple ball. The black ball fell in the hole.,True,red,purple,black
The red ball hit the purple ball. The purple ball hit the white ball. The white ball fell in the hole.,False,red,purple,white
The purple ball hit the white ball. The red ball hit the purple ball. The white ball fell in the hole.,True,red,purple,white
The red ball hit the black ball. The black ball hit the white ball. The white ball fell in the hole.,False,red,black,white
The black ball hit the white ball. The red ball hit the black ball. The white ball fell in the hole.,True,red,black,white
The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball fell in the hole.,False,green,brown,purple
The brown ball hit the purple ball. The green ball hit the brown ball. The purple ball fell in the hole.,True,green,brown,purple
The green ball hit the brown ball. The brown ball hit the black ball. The black ball fell in the hole.,False,green,brown,black
The brown ball hit the black ball. The green ball hit the brown ball. The black ball fell in the hole.,True,green,brown,black
The green ball hit the brown ball. The brown ball hit the white ball. The white ball fell in the hole.,False,green,brown,white
The brown ball hit the white ball. The green ball hit the brown ball. The white ball fell in the hole.,True,green,brown,white
The green ball hit the purple ball. The purple ball hit the black ball. The black ball fell in the hole.,False,green,purple,black
The purple ball hit the black ball. The green ball hit the purple ball. The black ball fell in the hole.,True,green,purple,black
The green ball hit the purple ball. The purple ball hit the white ball. The white ball fell in the hole.,False,green,purple,white
The purple ball hit the white ball. The green ball hit the purple ball. The white ball fell in the hole.,True,green,purple,white
The green ball hit the black ball. The black ball hit the white ball. The white ball fell in the hole.,False,green,black,white
The black ball hit the white ball. The green ball hit the black ball. The white ball fell in the hole.,True,green,black,white
The brown ball hit the purple ball. The purple ball hit the black ball. The black ball fell in the hole.,False,brown,purple,black
The purple ball hit the black ball. The brown ball hit the purple ball. The black ball fell in the hole.,True,brown,purple,black
The brown ball hit the purple ball. The purple ball hit the white ball. The white ball fell in the hole.,False,brown,purple,white
The purple ball hit the white ball. The brown ball hit the purple ball. The white ball fell in the hole.,True,brown,purple,white
The brown ball hit the black ball. The black ball hit the white ball. The white ball fell in the hole.,False,brown,black,white
The black ball hit the white ball. The brown ball hit the black ball. The white ball fell in the hole.,True,brown,black,white
The purple ball hit the black ball. The black ball hit the white ball. The white ball fell in the hole.,False,purple,black,white
The black ball hit the white ball. The purple ball hit the black ball. The white ball fell in the hole.,True,purple,black,white
