,sequence,shuffled,first_color,second_color,third_color,fourth_color,final_color,responses_first,responses_second,responses_third,responses_fourth,responses_final,responses_first_ss,responses_second_ss,responses_third_ss,responses_fourth_ss,responses_final_ss
19,The black ball hit the white ball. The blue ball hit the red ball. The purple ball hit the black ball. The red ball hit the purple ball. The white ball fell into the hole.,True,blue,red,purple,black,white, The blue ball., The purple ball., The purple ball., The purple ball., The white ball., The red ball., The purple ball., The black ball., The white ball., The white ball.
20,The blue ball hit the green ball. The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the black ball. The black ball fell into the hole.,False,blue,green,brown,purple,black, The blue ball., The green ball., The purple ball.,"

The purple ball.", The black ball., The blue ball., The green ball., The brown ball., The purple ball., The black ball.
21,The blue ball hit the green ball. The brown ball hit the purple ball. The purple ball hit the black ball. The green ball hit the brown ball. The black ball fell into the hole.,True,blue,green,brown,purple,black, The black ball., The green ball., The green ball., The brown ball., The black ball., The blue ball., The purple ball., The brown ball., The brown ball., The black ball.
22,The blue ball hit the green ball. The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the white ball. The white ball fell into the hole.,False,blue,green,brown,purple,white, The blue ball., The green ball., The brown ball., The purple ball., The white ball., The white ball., The green ball., The purple ball., The purple ball., The white ball.
23,The purple ball hit the white ball. The brown ball hit the purple ball. The green ball hit the brown ball. The blue ball hit the green ball. The white ball fell into the hole.,True,blue,green,brown,purple,white, The brown ball., The purple ball., The brown ball., The purple ball., The white ball., The purple ball., The purple ball., The brown ball., The brown ball., The white ball.
24,The blue ball hit the green ball. The green ball hit the brown ball. The brown ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,blue,green,brown,black,white, The blue ball., The green ball., The green ball., The brown ball., The white ball., The blue ball., The green ball., The brown ball., The brown ball., The white ball.
25,The black ball hit the white ball. The blue ball hit the green ball. The brown ball hit the black ball. The green ball hit the brown ball. The white ball fell into the hole.,True,blue,green,brown,black,white, The green ball., The black ball., The green ball., The green ball., The white ball., The black ball., The black ball., The black ball., The brown ball., The white ball.
26,The blue ball hit the green ball. The green ball hit the purple ball. The purple ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,blue,green,purple,black,white, The blue ball., The green ball., The purple ball., The purple ball., The white ball., The blue ball., The green ball., The purple ball., The purple ball., The white ball.
27,The blue ball hit the green ball. The purple ball hit the black ball. The green ball hit the purple ball. The black ball hit the white ball. The white ball fell into the hole.,True,blue,green,purple,black,white, The blue ball., The white ball., The purple ball., The purple ball., The white ball., The black ball., The white ball., The purple ball., The purple ball., The white ball.
28,The blue ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,blue,brown,purple,black,white, The blue ball., The brown ball., The purple ball., The purple ball., The white ball., The blue ball., The purple ball., The purple ball., The purple ball., The white ball.
29,The black ball hit the white ball. The purple ball hit the black ball. The brown ball hit the purple ball. The blue ball hit the brown ball. The white ball fell into the hole.,True,blue,brown,purple,black,white, The blue ball., The brown ball., The white ball., The brown ball., The white ball., The blue ball., The brown ball., The brown ball., The brown ball., The white ball.
30,The red ball hit the green ball. The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the black ball. The black ball fell into the hole.,False,red,green,brown,purple,black, The red ball., The green ball., The brown ball., The purple ball., The black ball., The red ball., The brown ball., The purple ball., The purple ball., The black ball.
31,The green ball hit the brown ball. The purple ball hit the black ball. The brown ball hit the purple ball. The red ball hit the green ball. The black ball fell into the hole.,True,red,green,brown,purple,black, The purple ball., The green ball., The green ball., The green ball., The black ball., The red ball., The green ball., The green ball., The purple ball., The black ball.
32,The red ball hit the green ball. The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the white ball. The white ball fell into the hole.,False,red,green,brown,purple,white, The red ball., The green ball., The purple ball., The purple ball., The white ball., The purple ball., The green ball., The brown ball., The purple ball., The white ball.
33,The red ball hit the green ball. The brown ball hit the purple ball. The purple ball hit the white ball. The green ball hit the brown ball. The white ball fell into the hole.,True,red,green,brown,purple,white, The red ball., The white ball., The brown ball., The purple ball., The white ball., The red ball., The green ball., The brown ball., The purple ball., The white ball.
34,The red ball hit the green ball. The green ball hit the brown ball. The brown ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,red,green,brown,black,white, The red ball., The green ball., The green ball., The brown ball., The white ball., The red ball., The brown ball., The brown ball., The brown ball., The white ball.
35,The brown ball hit the black ball. The green ball hit the brown ball. The black ball hit the white ball. The red ball hit the green ball. The white ball fell into the hole.,True,red,green,brown,black,white, The red ball., The black ball., The green ball., The green ball., The white ball., The red ball., The brown ball., The black ball., The black ball., The white ball.
36,The red ball hit the green ball. The green ball hit the purple ball. The purple ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,red,green,purple,black,white, The red ball., The purple ball., The purple ball., The purple ball., The white ball., The purple ball., The green ball., The purple ball., The purple ball., The white ball.
37,The green ball hit the purple ball. The black ball hit the white ball. The red ball hit the green ball. The purple ball hit the black ball. The white ball fell into the hole.,True,red,green,purple,black,white, The red ball., The purple ball., The purple ball., The black ball., The white ball., The red ball., The purple ball., The green ball., The purple ball., The white ball.
38,The red ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,red,brown,purple,black,white, The red ball., The brown ball., The purple ball., The purple ball., The white ball., The red ball., The brown ball., The purple ball., The purple ball., The white ball.
39,The red ball hit the brown ball. The brown ball hit the purple ball. The black ball hit the white ball. The purple ball hit the black ball. The white ball fell into the hole.,True,red,brown,purple,black,white, The red ball., The black ball., The black ball., The purple ball., The white ball., The purple ball., The purple ball., The purple ball., The purple ball., The white ball.
40,The green ball hit the brown ball. The brown ball hit the purple ball. The purple ball hit the black ball. The black ball hit the white ball. The white ball fell into the hole.,False,green,brown,purple,black,white, The green ball., The green ball., The purple ball., The purple ball., The white ball., The green ball., The brown ball., The purple ball., The purple ball., The white ball.
41,The green ball hit the brown ball. The black ball hit the white ball. The purple ball hit the black ball. The brown ball hit the purple ball. The white ball fell into the hole.,True,green,brown,purple,black,white, The green ball., The brown ball., The brown ball., The purple ball., The white ball., The black ball., The white ball., The brown ball., The purple ball., The white ball.
